,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.154171381194888,0,0.0185926127835054,0,0.159256534483706,0.180510199016003,0,0.506177307195456,0,0,0,0,0,0.0571291533425834,0,0,0,0,0.098180751153422,0,0,0,0,-0.00608843185400917,0,0,0,-0.0369678282267262,0,0,0,0,0,0,0,-0.312786762230458,0,0,0,0,0,0,0,0,0.0931091391709149,0,0,0,0,0
X002142.CH.EQUITY,0.0405824761786233,0,0,0.0903944270809577,0,0.487763835583938,0,0,0,0,0,-0.242801042784967,0,0,0,-0.0262613868646509,0,0,0,0,0,0,0.0572901205887143,0,0,0,0,0.0338431487497643,0,0,0,0,0,0,0,0,0.0522567864000535,0,0,0,0,0,0,0.339631995393377,0.0690692812515972,0,-0.266452847105406,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.083672760821255,0.0128744089294353,0,0.0754035908807059,8.67361737988404e-19,0.453111276015842,0,0,0,0,0.0287689693570414,0,0,0,0,0,0,0.051291039551663,0,0.0801180448462434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216886803370798,0,0,0,0,0,0,0,0.025285473051676,0
X600015.CH.EQUITY,0,0.051871850925643,0.178598402082323,0,0,0,0,0.251488016658602,0,0.00944695680515626,0.0861717235865103,0,0,0,0,0,0,0.0139399977642867,0,0,0,0,0,0,0,0,0.174466485799055,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0243343919059344,0,0,0,0,0,0,0,0,0.142864856977853,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.233422214073125,0,0,0,0,0.100528859227985,0,-1.38777878078145e-17,0.0930281464564489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.368994681081842,0,0,0.207330388772844,0.806341792579499,0,-0.283059506620522,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.0952424015505024
X600036.CH.EQUITY,0.198451929901212,0.197235881881586,0,0,0,0,0.0105647827425823,0.116103190657123,0,0,0,0,0,0.0377734624319088,0,0.186364803938065,0.0880204493934147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841321516548113,0,0,0,0,0.138694466078501,0,0,0,0
X600926.CH.EQUITY,0.00782538671312263,0.34132445256831,0.0570327088537594,-8.67361737988404e-19,0,0,0,0,0.0753814196121695,1.73472347597681e-18,3.46944695195361e-18,0,0,0,0.00413199605802342,0,0.244481592634867,0,0,0,0,0,-0.0832455008345345,0,0,0,0,0,0,0,0,0,0,0.0657553561091868,0,0,0,0.141963775935087,-0.0629394534967169,0,0,0,0,0,0,0,0,0,0.121367892769811,0,0
X601009.CH.EQUITY,0,0,0,0,0,0.195744871225349,0,0,0,0,0,0.00448776711432255,0,0.403899995052907,0.284541633017928,0,0,0,0.083073414263973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0234551623457125,0,-0.150172837135235,-1.73472347597681e-18,0,0,0.0687735881494368,0,0.0253415786267821,0,0,0.0647946089878468,4.33680868994202e-19
X601166.CH.EQUITY,0.139351604250201,0.0515088288211241,0,0.141098207955026,0,0,0.142427381287526,0,0,0,0.0703248884921815,0,0,0,0.300823035018517,0,0,0,0,0,0,0,0,0,-0.0363660954851674,0,0,0,0,0,0,0,0.0159526241834084,0,0,0,0.0179369349186818,0,0,0,0,0,0,0,0,0.0281668644141573,0,0,0,0,-0.0294063548998395
X601169.CH.EQUITY,-0.0281016066620221,0,0,0.10288437779302,0,0,0,0,0,0,0.280325777866939,0,0.123167712808564,0.0331833413771677,0,0,0,0.158061928618438,0.117509418364799,0,0,0,0,0,0,0.011898089688351,0.115532747920461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164038706228833,0,0,0
