,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0.152947858955514,0.0721386911586148,0,0,0,0,0,-0.0638210332600896,0,0,0,0,0,0,0,0,0,0,0,0,0.0372536595104717,0,0,0.010641092512734,0,0,0,0,0,0,0,0,0,0,0,0.0448707134794522,0,0.285423289767086,0,0.238822651489408,0,0,0,0,0,0
X002142.CH.EQUITY,0.0371354571836794,0,0,0.104724740526169,0,0.189389881495597,0,0.249160742255817,0,0,0,0,0,0,0.0553182624791631,0,0,0,0,0,0,0,0,0,0,-0.00834125065434824,0,0,0,0,0.139985431612527,0,0,0,0,0,-0.0856851509153568,0.0229220552108933,-0.115065313473852,0,0,0.198375354003433,0,0,0,0,0,0,-0.0345360495188152,-0.0141294092680307,0
X600000.CH.EQUITY,0.11866854450557,0,0,0.0669525433650706,0.197315533615389,0,0,0,0,0,0,0.315445153359934,0,-0.597531888991497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0887574401680658,0,0,0,0,0,0,0.1096831438909,0.231506238798697,0,0,-0.107486358689251,0,0.182857423863354,0,0,0.288145608206748,0,0,0,-0.0451772952874004,-0.0256354523990493,0,0
X600015.CH.EQUITY,0,0,0.0661307254890812,0,0,0,0,0,0.0806668287172905,0,0.0737437090800151,0.0690664519473333,0,0,0,0.0243823315601701,0.0242464615028417,0,0,0,0,0,0,0.576545081973136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265716636549965,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.0321520191320452,0,0,0,0,0,0,0.12664756539076,0.292956631589341,0.0664998634221691,0,0.142084776400024,0,0,0,0,0,0.015173866991229,0,0,0.295859902125421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630302576123895,0,0,0,0,0,0,-0.117486680368621,0,0,0
X600036.CH.EQUITY,0.531635230084923,0,0,0,0,0,0,0,0.152946919080948,0,0,0,0,0.0297527074534427,0.0759198358889736,0,0,0,0.00612515735123324,0,0,0,0.0269100182090981,0,0,0,0,0,0,-0.0551244210764248,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0.307233222065675,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.00125352125451229,-0.129418486706298,0,0,0,0,0.314927133846493,-0.122068848945599,0,0,0,0.199544319914428,0,0,0,0,-0.0508449901168029,0,0,0,0,0.110684690249235,0,0,0,0,0.45645517823258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0.540546328605656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180979677495005,0,0,0,0,0,0,0,0,-0.0214697615273621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0,0,0.116456277330891,0,0,0,0.487523006146421,0,0,0,0,0,0,0,0.0251864278165218,0,0,0,0,0,0.199732869851112,0,0,0,0,0,0,0,0.0157797196077721,0,0,0,0,0,0,0,0.00564423301997322,0.0649214520722497,0,0.0457407920120376,0,0,0,0,0.0128616369741505,0,0,0
X601166.CH.EQUITY,0,0,0,0,0.107596991080089,0.378180738800022,0,0,0,0,0,0.0463489202124839,0,0,0,0.12271658808761,0,0,0,0,0,0.0616294048426359,0,0,0,0,0.05610344239087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833584893636905,0,0.0855715188603063,0.0536793158888736,0,0,0,0,0,0,0
