,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.0674968949233037,0,0,0,0,0,0,0.0524994434774353,0,0,0,0,0,0,0,0.145424147945125,0,0,0,0,0,-0.0271462860109313,0,0,0,0,0.01816369370386,0,0,0,0,0,0,0,0.270986783185988,0,0,0,0.156689163540166,0,0.0467022470131364,0,0.0384698778476994,0.0298849602195513,0,0,0,0
X002142.CH.EQUITY,0.256423597075787,0,0,0,0,0.265554010197794,0,0,0,0,0,-0.0635712257555512,0,0,0,0.23766319772358,0.149101022550761,0,0,-0.0144747378407477,-0.083541083686989,-0.209386744557845,0.0730278987612884,0,-0.136087544845221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10344497906712,0,0.150143126546055,0,0,0,0.0576064753069331,-0.0151917071521662,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.165938933823142,0,0,0.542197614971633,0,0,0,0.123706294213161,0,0,0,0,0.112278678837369,0,0,0,0.0635311055005594,0.189629474901602,0,0.0473129155809141,0,0,0,0,0,0,0,-0.207026614453718,0,-0.00570458082426018,6.93889390390723e-18,0,-0.123480220763724,0,0,0,0,0,0,0,0,-0.00603135180917676,0,0
X600015.CH.EQUITY,0.0265299727986059,0,0.109495962703786,0,0,0,0,0,0.0397822106905707,0.44452667800119,0,0,0,0,0.158331164631548,0.0276073742858805,0,0.0370297283132958,0.0410985940973527,0,0,0,0,0,0,0,0,0,0,0,0.202078209561703,0,0,0.0740400118084246,0.0695949748789743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.176204573851241,0,0,0,0,0,0,0,0,0,0,0.103571212577695,0.27806706316685,0,0,0.263439533278681,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0855027209081154,0,0,0.125884332955813,0,0,0,0,0.0274170004756382,0,0,0.0186829488121372,0,0,0.137166477301036
X600036.CH.EQUITY,0,0,0.333067801772142,0,0,0,0.309359906951891,0,0,0,0,0,0.183017822254457,0,0.136484952049727,0,0,0,0.12332870085132,0,0,0,0,0,0,0.0915021878755382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159930337304676,0.148375791050116,0.00332212433770824,0,0,0,0,0
X600919.CH.EQUITY,0,-0.260390250233419,0,0,0,1.05937768741039,0,0,0,0,0,0.056936021221456,0,0,0,0,0,0,0,0.141706599385097,0,0,-0.175071122884147,0,0,0,0,0,0,0,0,0,0,0.0897809521196101,0.268152081570265,0,0,0,0,0,0,0,0,-0.771410525431831,0,0,0,0.113747523787459,0
X601009.CH.EQUITY,0,0,0,0,0,0,0,0,0.513038675700503,0,-0.214113470562221,0,0,0,0,0.0179775612931414,0,0,0.254517582251835,0.388101827816058,0,-0.342022270021156,0,0,0,0,0,0,0,0,0,0,0,0,0.301688157984317,-0.0524076005908875,0,0,0,0,0,0,0.0121711788635255,0,0,0,0,0.0989340420549783,0
X601166.CH.EQUITY,0,0,0.260098212736579,0.0111669660763808,0,0,0,0.227008492450774,0,0,0.0119617199681135,0.235750951374643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0665820925754813
X601169.CH.EQUITY,0,-0.0722294801746097,8.67361737988404e-19,1.39226765441004,0,-0.0487589063175379,0,-0.204115648921274,-0.171571538363593,0,0,0,0,0,0,0,0,0,0.0456512722084392,0,0,-0.124502766100653,0,0.0775182767164933,0,0,0,0,-0.0277739473345189,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.293857650488647,0,0,0,0,0,0
