,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.200499151449825,0,0.141209731362783,0,0,0,0.128231071348696,0,0,0.154077645469566,0,0,0,0,0,0,-0.0186247763934912,0,0,0,0,0,0.38045328596697,0,0,0,0,0,0.14700548653565,0,0,0,0,0,0,0,0,0,0,0,0,-0.0724332027398521,0,0,-0.132482046881421,0,0,0.00391799952550762
X002142.CH.EQUITY,0.405137345197692,0,0,0,0,0,0,0,0.0580591246678874,0,0.0209757951980445,0,0,0,0,0.287503943906478,0,-0.0492043806213942,0,-0.0192493353024691,0,-0.0923069966585867,0,0,0,0,0,0,0,0,0,0.0532064781115462,0,0,0,0,0,0,0,0,0,0,0,0.118086817964256,0,0.121253446024462,0,-0.0810668954258052,0
X600000.CH.EQUITY,0,0,0,0,0.0147484236263046,0.454668400886462,0.117551690374779,0,0,0.116357401436473,0,0,0,0,0,0,0,0.0763614969769118,0,0,0,0.303309125765532,0,0,0.0628747576680813,0,-0.183883405071565,0,0,0,0,0,0,0,0,0,0,-0.0148264948541511,0,0,0,0,0.180168849922467,0,0,0,-0.137924281731882,0,0
X600015.CH.EQUITY,0.1307804601613,0,0,0,0,0,0,0,0,0.450551229697758,0,0,0,0,0.0418097439756955,0,0.176984289302064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0981184767452258,0,0,0,0,0,0.134088737082721,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19
X600016.CH.EQUITY,0,0,0.117327910392389,0,0,0,0.0566198396478213,0,0,0,0,0,0,0,0,0,0.205571628011727,0.112589471666467,0,0,0,0,0,0,0,0,0,0,0.145252404427516,0,0,0,0,0,0,-0.66030287504809,0,0.0347033863789492,0,0,0,0,0,0,0,0.034773006992326,0.0527046780862006,3.46944695195361e-18,0.238912289493841
X600036.CH.EQUITY,0,0,0.520255370933963,0,0,0,0.264437267806634,0,0.0131564146386349,-0.203405885995558,0,0,0.0900122241585256,0,0.146308370134029,0,0,0,0,0,-0.118141379322565,0.0589461782701963,0,0,0,0,0,-0.00305628029826055,0,0,0,0,0,0,0,0.240242038902382,0,-0.0721932458362109,0.230147497967165,0.055342766220865,0,0.0550154188010335,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,-0.05188258619802,0,0,0,0.853700482089939,0,0.017913723707944,0,0,0,0,0,0,0,-0.000889061645594838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0848631540358997,0,0,0,0,-0.996307478643852,0,0,0.420530461499409,0.121933492597773,-0.0820742194355991
X601009.CH.EQUITY,0.114263781663145,0,-0.0181016706775301,0,0,0,0,0,0,0,0,0,0,0,0.391500627893855,0.0510307515086012,0,0,0,0,-0.018337425678605,-0.394178967492238,0,0.179443190393005,0,0,0,0,0,0,0,-0.178445882847046,0,0.206327838688647,0,0,0,0.159360291848451,0,0.484892441062352,0,0,0,0,0,0,0,0.00887508650289022,0
X601166.CH.EQUITY,0,0.179203768452323,0,0,0,0,0,0,0,0,0,0.227285233383304,0,0,-0.0198772504256429,0,0,0,0,-0.0821900518219431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559182801523296,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,-0.0511341358332861,1.1964342467177,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282805269434779,0,0,0,0,-0.207698653695898,0.270817045556943,0,0.0343618176383288,0,0,-0.0641412974151182,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.373307559709555,0,0,0,0,0,0
