,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.0546769919786434,0,0,0,0.293458826734439,0,0.187439544689782,-0.0298741576242239,0.382093040956839,0,0,0,0,0,0,0,0.0588827977381423,0,0,0.0319198847407578,0,0,0,0,-0.207626865056355,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110166256258792,0,0,0,0,0.162691536150077,0.0409718901789303,0,0,0,-0.190506081048738,-0.0610100947052976
X002142.CH.EQUITY,0,0,0,0,0,0.0626723977085198,0.151811895522518,0.165176953170612,0,0.0197401009418964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0559479455533511,0,0,0,0,0,0.0471172980569729,0.124172286376459,0,0,0,0,0,0,0,-0.0230844566605563,0,0,0.0960026124707571,0,0,0,0,0,1.0842021724855e-19,-0.10002976313775
X600000.CH.EQUITY,0,0,0,0,0,0.109185705466528,0,0,0.0344875409581368,0,0,0.0167949087499143,0,0.528560346514073,0,0,0,0,0.0436149384797149,0.0158865776769713,0,0,0,0,0,0,0,0,0.0438628530066647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167164571980879,0
X600015.CH.EQUITY,0,0.012320429296521,0,0,0,0,0,0,0.229222657925161,0,0,-6.93889390390723e-18,0,0,0.00930158084131678,0,0.130115491674114,0.0896796226882114,0,0.181070430723054,0,0,0,0,0,0,0.139498670714341,0,0,0,0.0989543980641889,0.047945021710297,0,0,0,0,0,0,0,0,0,0,0.198478517973373,0,0,0,0,0,0,0,-0.0400635789382278
X600016.CH.EQUITY,0,0,0.238866723303614,0,0,0,0.110889115269822,0,0,0,0.402660462474175,0,0,0.106447671956349,0,0,0,0,0.0221435769849787,0,0,0,0,0,-0.0814511957880689,0,0,0,0,0,0,0,0,0,0,0.241403473095123,0,-0.538580094372987,0,0,0,0,0,0.161687496503021,0,0.0418572864962649,0,0,0,0,0
X600036.CH.EQUITY,0.112133906437997,0,0.00380850477870656,0,0,0,0,0,0,0,0.350662609609202,0,0,0,0,0.0729657377186015,0,0.0848991845887172,0.0976805574751183,0,0.0162831231753039,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114561450642716,0,0,0,0,0.0850709299728055,0,0,0.043633945212738,-0.218290206106855
X600919.CH.EQUITY,0,0.33244723093737,0,0,0.163266667254677,0,0,0,0,0,0,0,0,0.116234927084707,0,-0.0450716668380756,0,0,0,0,0,0,0.0325058043097779,0,0.203434057309292,0,0,0,0,0,0,0,0,0,0,0.348689989052929,0,-0.491277332359626,0,0,-0.171454700849726,0,0.465156538483605,0,0,0,0,0,0,0,0.2716628647046
X600926.CH.EQUITY,0.305178879100353,0.117814367333581,0.16868331780614,0,0,0,0,0,0.00795068735759779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0763686734115581,0,-0.229767408647772,0,0,0,0,0,0,0.0226106031380331,0,0,0,0,0,0,0,0.080494203136579,0,0,0,0,0.00477978829636091,0,0,0,0.00838044349443067,-0.00279349415076799
X601009.CH.EQUITY,0,0,0,0.274343598176959,0,0,0.0207129848398209,8.67361737988404e-19,0,0,0,0.232022735202839,0.0825178472900732,0,0.110846803930573,0.052045592249405,0,0,0,0,0.00663255444101779,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0786577555015407,0,0.0904413301066927,0,0,0,0,0,0.0587155724643989,0,0,0,0.0469793750073528,0,0,0,0.0141269388515191
X601166.CH.EQUITY,0.257512347410349,0.171292107150378,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331718861367236,0.0963868907809687,0,0,0.0735123973163438,0,0.0155346623632393,0.0263628861391145,0,0,0,0,0,0,0,0,0.0121499120347868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
