,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0.312419248562014,0,0.00858384033625391,0,0.017491351371126,0.116968056807992,0,0,0,0,0,0.00599484124965384,0,0,0,0,0.106957487493209,0,0,0,0,0,0,0,0,0,0,0,0,0.035957001441532,0,0,0.0387120479937001,0,0.0706831673700539,0.0199274121104403,0,0.0514916025947672,0.00794888430542185,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0.0578665814245342,0,0,0.0997941623084426,0,0.0607143841823111,0,0.458421646905025,0,0,0.0656146411664021,0,0,0,0,0.174220995488664,0,0,0,0,0,0,0,0,-0.0919420584090954,0,0,0,0,0,0,0,0,0,0,0,-0.0364168037783363,0,0,0.0584624395738486,0,0.0544202952178068,0.0387046535203015,0,0,0,0,-0.0388494853577771,0.16366873756571
X600000.CH.EQUITY,0,0,0,0,0,0.234157650548858,0,-3.46944695195361e-18,0,0.0626367935925057,0,0.228021000699639,0,0.0649116108034736,0.100047238382727,0,0,0.0795713437591172,0,0.164706585245517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106585034057014,0,0,0,0,0.110965032030954,-0.0526387331106069,0,0,0,0.076374452344256,0,0,0.0464069329610972,0
X600015.CH.EQUITY,0,0.087653854208972,0,0,0,0.0126681540147112,0,0.0237423804842148,0,0.137972424114911,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280952282207663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19079163144099,0.20218649815981,0,0,0.0120337667278566,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0704882158423037,0.0679218404961927,0,0,0,0,0.15180703774534,0,0,0,0,0,0,0.311995331648005,0,0,0,0,0,0,0,0,0,0.122493351121966,0.151036575661254,0,0,0,0,0,0,0,0,0.278316604460668,0,0,0,0,0.00411852873068576,0,0.0849595947601303,0
X600036.CH.EQUITY,0.877928253478354,0,0,0,0,0,0,0,0,0,-0.0331733842202877,0,0,0,-0.066317136227568,0,0,0,0,0,0,0.162855892806445,0,0,0,0.0829610054297767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0306944261987539,0,-0.173661212919314,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.44421166676366,0.0451136746215394,0,0,0,0,0,0,0,0,0.194545608080781,0,0.0286692423917114,0,0,0,0,0,0,0,0,0,0,0,0,0.103461960830643,0,0,0.192586857617791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132192297643693
X600926.CH.EQUITY,0,0.291458587965529,0,0,0,0,0.434219825516757,0,0.0204091458195146,0,0,0,0,0.1073962397055,0.0739698685309994,0,0,0.0581057538256793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0498201383172649,-0.0465635080285684,0,0,0
X601009.CH.EQUITY,0,0,0,0,-0.283241408306313,0,0,0.055634329177219,0,0,0,0,0.0550793434816586,0,0,0,0,0,0,0.147980391422132,0,0,0,0.417272529322238,0,-0.0403735817865535,0,0.108040393624281,0.284471660410178,0,0.0661333160271489,0.0101529325684641,0,0,0,0.0907348446790242,0,0,0,0,0.124954416580163,0,0,0,0,0,0,0,0,-0.030117574612449,-0.197334105251186
X601166.CH.EQUITY,0.191744230171896,0.11168318181016,0.0166159986693135,0,0.104615341774713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354499200925887,0,0,0,0,0.190545593037774,0,0,0,0,-3.46944695195361e-18,0,0.216646966479345,0.039653333787795,0,0,0,0.126682811999947,0,0,0
