,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0,0.0393605770268755,0.214920439104741,0,0,0,0,0,0,0,0,0.0789162607803317,0.133134825455135,0,0,-0.0134297137415289,0,0,0.171178143795159,0,0,0,0,0.0767712774303601,0,0,0,0,0,0,0,0,0,0,0,0,0.296576621099856,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0.126874320843569,0,0.00298931192711099,0,0,0,0,0,0,0,0,0,0.446865137124195,0,0,0.0737441928484528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340539182174791,0,0,0.0827004677289728,0.25542523263386,0,0,0,0,0,0,0,-0.124219070419877,0.0683398294814127,0
X600000.CH.EQUITY,0,0,0,0,0.319251009448466,0,0.00930456011432603,0,0,0,0.0994893111802054,0,0.175767239893538,0,0,0,0,0.129656031408785,0,0.120593510481116,0,0,0,0,0,0,0.104070274039744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.205682839407834,0,0,0,0,0,0.0168855769996022,0.168728802997635,0,0,0,0,0.43652727607535,0,0,0,0,0,0,0.0355771243001149,-0.126643111751849,0,0,0.183620452926253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205591455746087,0,0,0,0,0,0,0,0,0,0.0946635957250422
X600016.CH.EQUITY,0,0,0,0.0869661418261808,0,0,0,0,0,0.108915341720103,0.028915298658664,0.0569483524749948,0.292590260115182,0,0,0,2.16840434497101e-19,0.310123630435447,0,0.0909385149110096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.383902124056371,0,0,0,0,0,0,0,0,0,0.0289565903313754,0,0,0,0,0.107384204866554,0.164087135318794,0,0,0,0,0.00195369551866571,0,0,0,0,0.177014534660434,0,0,0.0198396585606913,0.0436072172060271,0,0,0.0584401378334012,0,0,0,0,0.0632127651726689,0,0,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.241101546238719,0,0.215478650897556,0,0,0,0,0,0,0.0161716416051639,0.123501520239777,0.0212456950508151,0,0,0.0265773116462085,0,0,0,0,0,0,0.164100346780837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111447764995006,0,0.0355013437933201,0,0,0,0,0
X601009.CH.EQUITY,0.113957049614571,0,0.0305547428959382,0,0.365599415652725,0,0,0,0,-3.46944695195361e-18,0,0.00611151177552179,0,0.0135497362101518,0.107759749499737,0,0.00659583822285735,0,0,0.174837309536386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366442038747598,0,0,0,0,0,0.00131372563539473,0,0,0,0.0388044380827116,0,0,0,0,0
X601166.CH.EQUITY,0.0406040720934799,0,0,0,0,0.229670683887064,0,0.0819950923720503,0,0.0765778324155464,0,0,0,0,0.225974412976633,0.26248305863009,0,0,0,0.0327757848441939,0,0,0,0,0.0620591896473911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00334226954537855,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.134334611423509,0,0,0.0648521734111961,0,0,0,0,0,0.163514091559208,0,0,0,0,0,0.0551867895145327,0.469045862168518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603230987524894,0,0.008454378994425,0,0,0,0,0.038824119912555,0,0
