,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0.0169817787775666,0,0,0,0.431002303052784,0,0,0,0,0,0.121054072064647,0.0614381788572373,0,0,0,0,0,0,0,0,0,0,0,0.140308911873176,0,0,0,0,0,0,0,0,0,0,0,0,0.148886068539295,0,0,0.115372194746463,0,0,0,0,0,0
X002142.CH.EQUITY,0.158335218989266,0,0,0,0,0.0909984632274758,0,0,0,0,0,0,-0.0468636496169613,0,0.273739294360235,0,0,0,0,0,0,0,0.459171934414364,0,0,0,0,0,0,0.156993767673167,0,-0.300121993073738,0,0.105118488241372,0,-0.0354219988885501,0,0,0,0,0,0,0.112689136898223,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0658172199857117,0,0,0,0,0,0,0,0,0,0,0.304093339210772,0,0,0,0.290021978783711,0,0,0,0,0,0,0,0,0,0.0184526726415277,0,0,0,0,0,0,0,0.165034120002585,0,0,0,0,0,0,0.0229300128962076,0
X600015.CH.EQUITY,0,0,0,0,0.0779669782267971,0,0,0,0,0,0.0752397956194576,0.129543829777068,0,0,0,0,0.330476752766592,0,0,0.16027502588994,0,0.0282118849668324,0,0,0,0,0,0,0,0.0240118126826309,0,0,0,0.0315874684274056,0,0,0.0426995978071477,0,0,0,0,0.174646516839616,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743608348273516,0,0,0.232913395823501,0,0.0822477857970458,0,0,0,0.309599825717251,0.208892400111129,0,0,-0.340060125454064,0,-0.0369127191771949,0,0,0,-0.196598364775079,0,0,0,0,0,0,0,0,0,0.029663483853685,0,0,-0.119324238447734,0,0,0,0.294711137544399,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.269962405875538,0,0,0,0,0,0,0,0,0.416112498638636,0,0,0,0,0,0,0,0,0,0,0,0.182500505335737,0,0,0,0,0,0,0,0,0,0.0743581324393478,0,0.0269851450543521,0.226102085307372,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0.107608733334054,0,0.332761123582865,0,0,0,0,0.162322551424546,0,0,0,0,0,0,0,0,0.0131980095299076,0,0,0.0559494318148839,0,0.264973190938417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0.0976449893988943,0,0,0,0,0,0.124185833448703,0,0,0,0,0,0,0,0,0.150182210741133,0,0,0,-0.016786913933201,0.206780235105596,0,-3.46944695195361e-18,0.224395996068228,-0.117084018869045,0,0,0,0,0,0,0,0.269163077268314,0,0.0438032541212515,0,0,0,0,0,0,0,0,0,0.0601055909169081,0,0,0.0280099926990215,0
X601009.CH.EQUITY,0,0.0030703219507183,0,0,-0.0666306626452428,0,0.573525851454148,0.18808141295761,0,0.271367730016482,0,0,0,-0.0481470451821201,0.0804867737361123,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173013871010222,0,0,0,-0.114939762964119,-0.212939793985422,0,0,0,0,0,0,0,0,0,0,0,0,0.376947894770213,0,0.030036041458428,0,0
X601166.CH.EQUITY,0.116175837305789,0,-6.93889390390723e-18,0,0,0,0,0,0.342562139503111,0,0,0,0,0.10978446373108,0,0,0.000876899431142953,0.218215402919722,0,0.0158624146218969,0,0,0,0,0,-0.133836825557994,0,0,0,0,-0.1254212455577,0,0,0,0,0,0,0,0.0616803759639065,0,0,0,0,0,0,0,0,0,0,0.225509173805505,0.0209844168647835
X601169.CH.EQUITY,0,0.0226822627622635,0.0385138172333452,0.109176803826669,0,0,0,0,0,0,0,0.0390556712781454,0,0,0,0.0825762500687069,0,0,0.142454266539053,0,0.221528668578035,0.125558185036891,0,0,0.00358103962726297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127736094654598,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0.23947726317295,-0.037091277736387,0,0,0,0,0,0,0,0,0.246830848920275,0,0,0,0,0,0,-0.184586191978172,0,0,0.447213285828126,-0.018353478765484,0,0,0,0,0,0,0.0138615618943278,0,-0.0530865112679708,0,0,0,-0.0810853350996865,0,0,0,0,0,0,0,0.26287278925134,0,0,0,0,0,0,0.0889461374483852,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342787309298345,0,0,0.0765825100141314,0.173418900432373,0,0.147410869370747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00973904560023741,0,0,0,0,0.05454206543325,0,0.13406214541379,0,0,0,0
X601328.CH.EQUITY,0,0,0.24288800768831,0,0,0,0,0,0,0,0.221392541535088,0,0,0,0,0,0.225630548115173,0,0,0,0,0.0913416548093859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0500770655692137,0,0,0
X601398.CH.EQUITY,0,0.125633419519542,0,0,0,0,0,0,0,0,0.035392295069056,0,0.364024861880373,0,0,0,0,0,0.0525246168109801,0.265073807364098,0,0.0452258462513114,0,0,0,0,0,-3.46944695195361e-18,0,1.73472347597681e-18,0,0,0,0,-0.15390465833246,0,0,0,0.148781972113787,0,0,0,0,0,0,0,0.00594262340209436,3.46944695195361e-18,0,0,0.0474532162534947
