,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.183093483300783,0.369024975464539,0,0,0,0,0.0796602466580562,0,0,0.0392228693435047,0,0,0,0,0,0,0,0,0,0,0,0,0.144884254050252,0,0,0,0,0,0.105004066765016,0,0,0.080706001987825,-1.38777878078145e-17,0,0,0.0124203767069134,0,0,0,0.0403228195133027,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.469404465784206,0,0,0,0,0,0.0842499982328115,0,0,0,0,0,0,0,0,0,0,0,-1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054367551459416,0.0176866151482686,0,0,0,0,0.0471891726713082,0,0,0,-0.0512420984778793,0.199422031768901
X600000.CH.EQUITY,0,0,0,0,0,0,0.0688457454043368,0,0,0,0.167495856673961,0,0.400289962084189,0,0,0,0,0.105841275422045,0,0.181228963413976,0,0.0316573250203558,0,0,0,0,0.0569750618683612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0.0617857021532472,0,0,0,0,0,0,0,0.449624012949045,0,0,0,0,0.246717739538203,0,0,0,0,0,0,0.0661314223883359,-0.214465064416804,0,0,0.231452988806728,0,0,0,0,0,0,0.0981053882975621,0,0,0,0,0,0.0147864552081449,0,0.0460890377672004,0,0,0,0,0,0,0,0,0,0,0.0597921245924479
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.156200995131115,0.046900751659134,0,0.348307635535269,0,0,0.0871178432398984,0.223712290316878,0.0722867296696032,0,0.0685406685705111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.131803888403167,0,0,0,0,0,0,0.283472763954867,0,0,0,0,0,0,0,0,0,0,0,0.0229165286534528,0,0,0,0.21235442774894,0,0,0,0,0.0309823268235217,0,0,0,0,0.100839205516245,0,0,0,0.066449159520731,0,0,0.0371915943155466,0,0,0,0,0.0199067902173257,0.0850865547411029,0,0,0,0
X600919.CH.EQUITY,0,0,0,0.00620586667811015,0,0,0,0.170381194805686,0,0.21007608113374,0,0,0.194407324776649,0,0,0.0441431340232451,0,0,0.0254787324107714,0,0,0,0,0,0,0,0,0.258990240080899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231707883501801,0,0,0.0862097009415229
X601009.CH.EQUITY,0.0775693368538308,0,0.0181422999435679,0,0.431038229613508,0,0,0,0,0.0166091810287505,3.46944695195361e-18,0.029031808553566,0,0.00696689274849594,0.064413065890827,0,0,0,0,0.198057559001424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471989339217753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0755658260403247,0,0.178592350339292,0,0.222850007289778,0,0,0,0,0.133421570789914,0,0.321076693453447,0,0,0,0,0,0,0,0,0,0.0954937637519719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0.0424779190854892,0.241508528132561,0.282579637442158,0,0,0.0160276139491594,0.00452802635305844,0,0,0,0,0,0,0.0189021415797283,0,0.0391572689575858,0,0,0.116746690265886,0,0,0.000901547993706534,0,0,0,0,0.0769668830975462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461903562721544,0.134042421760175,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.135907867889087,0,0,0,0,0.152594255553967,0,0,0,0.258361011051234,0.158695927235248,0,0,0.0357169481186099,0.0340358386098529,0,0.13794083314911,0,0,0,0,0,-0.0210256417180646,0,0,0,0,0,0,0,0,0.129377854108893,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
