,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.0723828214579821,0,0,0,0,0.0593821471561902,0,0,0.0971612627573838,0.150689079068125,0,0.0457926066912225,0,0,0.0563952774736181,0,0,0,0,0,0,0,0,0,0,0,0.00104338439334606,0,0,0,0,0,0,0,0,0,0,0,0.126683033851083,0.0308619685988061,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.207080427003566,0,0,0,0,0,0,0,0,0,0,0,0.164968498118052,0,0,0,0.0830802210020706,0.162354765280172,1.38777878078145e-17,0,0,0,0,0,0,0,-0.0834342025325814,0,0,0,0,0,0,0,0,0,0.0540363414615081,0,0,0.0985576215207783,0,-0.0245020042814393,0,-0.013858590037026,-0.027897087484563,0.124710405945254,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.0853474109714735,0,0,0,0.209950107824717,0,0,0,0,0,0,0,0.0250992779307561,0,0,0,0,0.356330853395546,0,0,0,0,0,0,0,0,0,0.0351940167386095,0.0846658000238017,0,0.0570190590561784,0,0,0,0.13002459494353,0,0.078016174669953,0,0,-4.33680868994202e-19,0,0,0.0132967332405519,-0.0439074024418178,-0.0627446912139635
X600015.CH.EQUITY,0,0.0673158439850499,0,0,-1.38777878078145e-17,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.180811421403898,0.292553612023386,0,0,0.195778135221577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119952735863828,0,0,0,0,0,0.0967507082392207,0,0,0,0,0,0,0,0.0613088923641611,0,0
X600016.CH.EQUITY,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0.244730403028186,0,0,-0.0340696312999512,0.0577266911945285,0.556201796254458,0,0,-0.32233399040251,0,-0.138242550147529,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146684831201299,0,0,0,0,0,0,0.305668785141517,0,0
X600036.CH.EQUITY,0.409423693371545,2.16840434497101e-19,0,0,0,0,0,0.0622840147746047,0,0.0360194675613193,0,0,0,0,0,0,0,0.321441246149013,0,0,0,0,0,0,0,-0.0543225601950736,0,0,0,0,0.00655545105237153,0,0,0.059011175741379,0.0871460036718438,0,0,0,0,0,-0.0477046733675705,0,0,0,0,0,-0.128464293094049,0,0,0,0.121921734190006,0
X600919.CH.EQUITY,0,0,0,0.0245972673476697,0,0.0279618321154374,0,-0.0594433726106676,0.285230784824486,0,0.124246926755732,0,0,0,0,0,0,0.256419051195798,0,0.0696004776384113,0,0,0.243618268128158,0,0,-0.0342613311769847,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,-0.0193229445544784,0.0648722579539424,0,0,0.0211834423551041,-0.019160556571267,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0.0312034976046479,0,0.202133353270769,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.15501521715155,0,0,0,-0.043417444011132,0,0,0,0,0.235489033542192,0,0,0.110422273288392,0,0.0845661500500117,0,0.173968655229449,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0.066862728321823,0,0,0,0,0.254459261431842,0.0816980279598148,0,0.386931472588299,0,0,0,0,0,0,0,0,0.0709687000946304,0.0460398498415356,0,0,0,0,0,6.93889390390723e-18,0,-0.0777059925879281,-0.166698637635424,0,0.152020881007268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718907930706832,0,0.0867624620759572
X601166.CH.EQUITY,0.207439326650848,0,0,0,0,0,0,0,0.161268671170132,0,0.0292072030748603,0.133503853384176,0,0,0,0,0.049382186791828,0.129139730644603,0,0,0,0,0,0,0,0,0,0,0,0,-0.269120172876444,0,0,0,0,0,0,0,0.0455812823849776,0,0,0,0,0,0,0,0,0,0,0.150954067480009,0,-0.0106027983269345
