,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.134118744798802,0.262219837581562,0,0,0.239295169779842,0,0,0,0,0,0,0,0,0.14755243352001,0,0,0,0,0.0329591803602018,0,0,0,0,0,0,0,0,0,0,0.071002746416832,0,0,0,0.0274680362062565,0,0,0,0,0,0.105239160821033,0,0.0463845844634666,0,0,-0.0279374842892014,0,0,0,0,0.0872591024174017,0
X002142.CH.EQUITY,0,0,0,0,0,0.592468188864547,0,0.0662242763189881,0,0,0,0,0,0,0,0,0,-0.107159054652606,0,0,0,0,0,0,-0.015437078499673,0,-0.0845765427042439,-0.164412198851743,0,0,0,0,0,0,0,0,0,0,-0.174490861298788,-0.117188415132709,0.101398246133492,0.409232555081952,0,0.408848484179299,0,0,-0.0414432584566832,-0.0385906731630346,-0.19140933022444,0,-0.0523484399635452,-0.0087584751935335
X600000.CH.EQUITY,0.261595889176344,0,0,0.103685233115812,0,0.0335245278639391,0,-8.67361737988404e-19,0,0.309948578747598,0,0,0.168194323012485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607881568916644,0,0,1.38777878078145e-17,0,0,0,0,0.111213106767099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.319567442408626,0,0,0,0.105360321414383,0.0463454864323785,0,0,0,0,0,0,0.120734257341623,0,0,0,0,0.000545525035541288,0,0,0,0,0,0,0,0,0.0746140546072151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261412715216676,0.0290772987123889,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.08830846289446,0,0,0,0.210241800023289,0.016497203419138,0.328485123300314,0,0,0.0173784940204131,0,0,0,0.0694462474481212,0,0,0,0.0202976817139965,0,0,0,0,0.00803361222215197,0,0,0,0,0,0,0,0.212002013795899,0,0,0,0,0,0,0,0,0,0,0,0,0.0553401783863289,0,0
X600036.CH.EQUITY,0.535327118269041,0,0.0552758058535848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382450656064328,-0.013652030616261,0,-0.0844260306112031,0,0,0,0.00615248467080504,0,0,0,0.0731478946724545,0,0.0472852009893601,0,0,0,0,0,0,0,0,0.263769595030074,0,0,0,-0.0411916629813855,0
X600919.CH.EQUITY,0,0,0,0,0.0251140035813679,0,0,6.93889390390723e-18,0.0948601609518564,0,0,0,0.499041805645119,0,0,0.125899440514559,0,0,0,0,0,0,0,0,0,0,0,0.149876106373208,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0.000280961032489552,0.183354757537381,0,0,0,0,0,0.283463563871903,0.116699436068911,0,0,0,0.224487781875208,0,0,0,0,0,0,0.00618565286010109,0,0.01382324887862,0,0,0,0,0,0.0421567884286859,0,0,0,0,0,0,0,0,0,0,0.110904504736523,0,0,0,0,0,0,0,0.0152694376384644,0,0,0
X601166.CH.EQUITY,0,0,-1.38777878078145e-17,0,0,0.407083080448048,0,0.360604264660186,0,0,0,0,0,0,0.0918274998686377,0,0,0,0,0,0,0,0,0,0,0.0260242617074556,0,0.097992627578529,0,0,0,0,0,0,0,0,0,0,0.0748065278344575,-0.0337353771960737,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0.138648726913799,0.104721577117396,0,0,0,0,0,0,0,0,0.36515886748472,0.134201582050606,0,0,0,0,0,0.00472940578100468,0,0,0,0,0,0,0,0,0,0.144492511855655,0,0,0,0.0837209612938576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
