,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0.329431921415398,0,0,0.226411728337729,0,0,0,0.192826114213217,0,0.00419161100271449,0,0,-0.0404868955244747,0.101209217900845,0,0,-0.00754475923683627,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169069451178822,0,0,0,0,0.0532385852318857,0,0.119870224837776,0,0,-0.202666199245132,0,0,0,0,0,0,-0.049566719061261,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0.458722896568669,0.0516711546982374,0,0,0,-0.00646177920009564,0,0,0,0,-0.0967515836325099,0,-0.0982962196094439,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455254999543425,0,0,0,0,0,-0.268843871314848,0.0450963580708371
X600000.CH.EQUITY,0.231653715066874,0,0,0,0.258342635323724,0,0,0,0,0,0.0574063311561465,0,0,0,0,0.172145227526455,0,0,0,0,0.0380883779540217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00986774710513469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260349222610613,-0.0863251023834107,0
X600015.CH.EQUITY,0,0,0.191916910625255,0,0,0,0.193166243018088,0,0,0,0,0,0,0,0,0.0537208224081154,0.116217084364325,0,-0.0484935402630732,0,0,0.114652325516319,0,0,0.0294887668029866,0,0,0,0,0,0,0,0,0,0,0,0.125447535252504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.00538702914191538,0,0,0,0,0,0,0.099824626124335,0.454708945956269,0,0,0.207125677843585,0.0219591994561803,0,0,0,0.218205301592147,0,0,0,0,0,0,0,0,0.0868332232522011,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,-0.054920748173835,0.0844558222418526,0,0,0.0146647931488781,0,0,0,0,-0.0681792571049582,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.119771121773203,0,0.0321770597752258,0.395535884130695,0.192738847373189,-3.46944695195361e-18,0,0,0,0,0,0.0991585721475801,0,0,0,0,0,0,0,0.018530306724453,0,0,0,0,0,0,0,0,0.0288100810949954,0,0,0,0,0.0040255934975533,0,0,0.107350744095254,0.0658074752268006,0,0,0,0,0,0,0,-0.0439820933712388
X600919.CH.EQUITY,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0712122539583104,0.128889925109913,0,0,0,0,0,0,0,0.348057922495032,0,0.292501219613662,0,0,0,0,0,0,0,0,0.181713751944268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837531692551174,0,0,0.0802069111760102,-0.0957257089465279
X600926.CH.EQUITY,0,0.0931783838561575,0,0,0,0,0,0,0,0.477498484803146,0,0,0,-0.181679083830517,-0.0433573237753526,0.206634605452442,0,0.0796226037250354,0,0,0,0,0.0235615603182665,0,0,-0.070931620922998,0,0,0,0,0,0,0,0,0,0.0923435398647273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0,0,0.117372671487072,0.10270240533246,0,0,0.0522619976060029,0,0.186540028884931,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.127423414508192,0,0,0,0,0,0,0,0,0,0,0,0.146647228133475,0,0,0,0,0,0,-0.0223661376013966,0
X601166.CH.EQUITY,0.457763930521838,0,0,0,0,0.221417509428255,0,0.273013163401322,0,0,0,-0.0490901447976045,0,0,0,0,0,0.0126799896872215,0,0,0,0,0,0,0,0.0499177991626694,-0.163768646227982,0.163076546640288,0,0,0,0,0.00291529945275067,0,0,0,0,0,0,0,0,-0.00155452490530014,0,0,0,0,0,0,0.160774590115775,0,-0.0217405137693927,-0.0141282078983973
