,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0.0418439968518397,0,0,0.175282769820289,0,0,0,0.442286624833113,0,0,0,0,0.0845203606424944,0,0.182371969808354,0,0,0,0,0,-0.178563083177475,-0.0877297915504641,0.101668305661808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146977404213659,0,0,0,0.0317922281950702,0,0
X002142.CH.EQUITY,0,0,0,0,0.0288416546091536,0.176666059958976,0,0.0579465926541275,0.318886311073891,0,0,0,0.157884058824031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097248417260966,-0.101789842100921,0,0,0,0,-1.38777878078145e-17,0,-0.166841623738388,0,0,0,0,0,0,0,0,-0.0511357942620598,0,0,-0.110684831861898,0,0
X600000.CH.EQUITY,0.191932172750372,0,0,0,0,0.545873960308271,-0.436083387861801,0,0,0,0,0,0,-0.0709038424107446,0,0,0.0987190926335488,0,0,0,0,0,0,0,0.0836383649696358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276078334334929,0,-0.260708223153055,0,0,0,0,-0.0884553620979367,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0.0937726645082765,0,0,0,0,0,0,0.0774071877763883,0,0.0578255199241951,0.0748061390157928,0.212898272303016,0.0269078894644536,0,0,0,0.0869332634315769,0.00863373660060026,0.133093239655893,0.00480034602117196,0.201157273792037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0441332590400814,0,0,0,-0.0120829765522589
X600016.CH.EQUITY,0,0.0235386023005002,0,0.137349646450193,0,0,0,0,0,0,0,0,0.258143063114715,0,0,0.0659396741576551,0.477732996846701,0,0,0.0316511383027525,0.061467099098562,0,0,0.0359387536392844,0,0,0,0,0,0,0,0,0,-0.0212460429530711,0,0,0,0,-0.0848010153699858,0,0,0,0,0,0.0322577877430466,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.736656730190897,0.298029828425751,0,-0.0379931911379773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765137078479126,0,0,0.0203248039604215,0,0,0,0,0,0,0,0.206508064553088,0,0,0,0,0,0.101258679604123,0,-0.103775128254845,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0.344830747778886,0,0,0.36834831210152,0,0,0,0,0,0.140803859949037,0,0.140500080817743,0,0,0,0,0,0,0,0.120073182162966,0,0,0,0.0223475029726616,0.162310483163034,0,0,0,0,0.122769877346428,0,0,0,0,0,0,0,-0.165920685842304,0,0,-0.0517669812211452,0,0.0162155262969213,0
X600926.CH.EQUITY,0,0.200148326665457,0,0,0,0,0,0,0,0,0.182016325042459,0.00178330902089975,0,0,0,0.00767387434122476,0,0.475568735118265,0,0.0436639589849937,-8.67361737988404e-19,0,0,0.0046150932391031,-0.0543730691887981,0,0,0,-0.101181933733832,0,0,0,0,0,0.0169781278616274,0,0,0,0,0,0.259742810830521,0,0,0,-0.187433172675989,0,0,0,0,0,-0.0559686548834437,0
X601009.CH.EQUITY,0.162828986958922,0,0,0,0,0,0.064598571098869,0,0,0.287830526658048,0,0,0,0,0.0404600807479953,0,0.111577575585796,0,0,0,0,0,0.0455296512514876,0,0,0,0,0,0,0,0.185777305797227,0,0,0.0127444208979987,0,0,0,0,0,0,0,0,0,0.0209939644231105,0,0.0947825186112949,0,0,0,0,0.051865963077885,0
X601166.CH.EQUITY,0.0622118809199892,0,0,0,0,0,0,0,0.158607751736274,0,0,0,0,0.193795230944435,0.134876268212742,0,0,0,0,0,0.109835384827418,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013842624771555,0,0,0,0.0211001990620685,0,0,0.0557551581514244,0,0,0,0,0,0,0,0.0971526598036057,0,0.049884632577055
