,X000001.CH.EQUITY,X002142.CH.EQUITY,X002958.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X600928.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X000627.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.0236097061892583,0,0,0,0,0.0524842304580717,0,0,0,0,0,0,0,0,0,0,0,0.0563681316246791,0,0,0,0,0,0.225212041810337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358391387374975,0,0,0,0.123484400822054,0,0,-0.00278748656322043,0
X002142.CH.EQUITY,0.26622026680223,0,0,0,0,0,0.0904687368924832,0,0,0,0.194078621364097,0,0,0.0300837886130892,0,0,0,0,0.288611039369316,0,0,0,0,0.00620558308036223,0,0.0367119873717951,0,0,0,-0.220838445211545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168126917398693,0,0.185514802422217,0.0817982123882286,0.113043173975647,0,0,0
X002958.CH.EQUITY,0.0468452191181333,0,0,0,0,0,0,0,-0.0406307585042886,0.368229346564669,0,0,0,0.336157970467708,-0.0126287825355294,0,0,0,0,0,0,0,0,0,0.0121413180888883,0,0.0874508776869175,0,-0.0348322783509519,0,0,0,1.38777878078145e-17,0,-0.0208402840405081,0.10087918290089,0,0,0,0.137861927310915,0,0,-0.0397054702561278,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.029567165526341,0,0,0,0.247621463997853,0,0,0.0408238640643422,0.0101625606720202,0,0,0.052865550465272,0,0,0,0,0,0,0,0.216027711875917,0,0,0,0,0,0,0,0,0,0,0,0,0.111262869165465,0,0,0,0,0,0.0823584360001322,0,0,0,0,0,0,0,0,0,0.115188501418025,0,0,0
X600015.CH.EQUITY,0.171936316587916,0,0,0,0,0,0,0,0,0,0.199866690789282,0,0,0,0,0,0,0,0,0.00493084819138908,0,0,0,0,0,0,0.495357548909248,-0.0223780196490575,0,-0.0186262947862339,0,0,0,0.0417341802184488,0,0,0,0,0,0,-0.148770577582228,0,0,0,0.118272235198886,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.415236206017092,0.092516453706072,0,0,-0.120332955619362,0,0,0,0,0,0,0,0,0,0,0.372447635344432,0,0,0,0.0705141559444269,0,0,0,0,0,0,0.0784396148925953,0,0,0,0,0.0911796868649074,0,0.276852765592667,0.0858924942849118,0,0,0.0412344088591636,0,0.217964190679024,0,0
X600036.CH.EQUITY,0.313734178457254,0.196955730879246,-0.124231640870815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116848046580511,0,0,0.336119576951802,0,0,0,0,0,0,-0.0613844742957901,0,0,0,0,0,0,0.14877941566225,0,0,0,0,0,0,0,0,0,-0.0705494829757589,0.152170919058425,0,0.028399075481335
X600919.CH.EQUITY,0,0,0,0,0,-0.0307092704067122,0,0,0.258120056038904,0,0,0.0384250911692981,0,0,0,0,0,0,-1.0842021724855e-19,0.258253225748349,0,0,0.423992449371675,0,0,0.174657313994377,0,-0.202057139455793,0,0,0,0,0,0,0,0,0,0,0,0,0.0781948050705644,0,0,0,0,0,0,-0.0168994317818264,0,0,0,-0.135403245682427
X600926.CH.EQUITY,0,0,0,0,0,0,0,0.0152259454859812,0,0,0.153926444680826,0.258235392244209,0,0,0,0,0,0.0705333705106978,0,0.326965820891611,0,0,0,0,0,0,0,-0.0697922218050112,0,0,0,0,0,0,0,-0.0727256142218112,0,0,0,0,0,0,0,0,0,0,0,0,-0.0384375875815493,-0.0286147782974885,-0.185483343013697,0
X600928.CH.EQUITY,0,0,0.385275232280264,0,0,0,0,0,0,0,0.0156614377399469,0,0,0,0,0,0,0.0410766667818738,0,0,0,0,0.199504207842731,0,0,0.207715874401611,0,0,0,0,0,0,0.0214668808092836,0,0,0,0,0,0,0,0,0,0,0,0.12072555939972,0,0,0,0.0376892034446219,0.0794471721590101,0.0251672434046433,-0.0176693531802681
