,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,3.46944695195361e-18,0,0,0.122333555439351,0.113924363961858,0.00363581396530795,0,2.16840434497101e-19,0.235096598378486,0,0,0,0,0,0.0133339992909422,0,0.0399548209695544,0,0,0,0.192012117956458,0,0,0,0,0,0,0.00960401424321927,0,0,0,0,0,0.0737934952323187,0,0,0,0,0,0,0,0.147774393031806,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,1.73472347597681e-18,0,0,0.139963876042902,0,0,0,0.323206455694287,0,0,0,0,0,-0.00502949852187117,0,0.356786187416034,0,0,0,0,0,0,0,0,-0.0178618383102199,0,0,0.0297845885434791,0,0,-0.00141868119589588,0,0,0,0,-0.0537319782225284,0,0,-0.0175374905349986,0.19305014479251,0,0,0.111879857278261,0,0,0,0,0,0.0974837441875695,0.0256203280159184
X600000.CH.EQUITY,0,0,0,0.093151899111098,0,0.0574486943568338,0.00336073909974979,0,0,0,0,0.33646696288358,0,0.000469612732701703,0.34126350280365,0,0.0638227171886813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065595723817197,0,0
X600015.CH.EQUITY,0,0,0.284748433364463,0,0,0,0.0528674898255148,0,0,0,0.158685955106695,0.0847289937490379,0,0.0262450840894993,0,0,0,0,0.0233453454237106,0,0,0,0,0.203454962544242,0,0.0607679441952151,0.0216504759731623,0,0,0.0287386323590679,0,0.0564936375082801,0,0,0,0,0,0,0,0,0.335650369435044,0,0,0,0,0,-0.0752151648448658,0,0,-0.204301393016588,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.018204987713295,0,0,0.0916463332212439,0,0.451732525877109,0,0,0,6.93889390390723e-18,0,0,0.263406094163763,0,0,0,0,0,0,0,0,0,0,0,0.0337771990370853,0,0.00369885044873946,0.00603418066883453,0,0,0,0,0,0,0,0,0,0,0,0.160683608452434,0,0
X600036.CH.EQUITY,0.667564790659067,0.00246942268562518,0,0,0,0,0,0,0,0,-0.00228791082245859,0,0,0,-0.156135637490102,0,0.0626428021352898,0,0,0,0,0.217619294458245,0,0,0,0.0678597938644667,0,0,0,0,0,0,0,0,0,0,-0.0164197444491814,0,0,0,-0.127247871369268,0,0,0,0,0,0.0948998120986148,0,0,0.197648965756271,0.0654070753968796,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.47369655670954,0.24916752770218,0,0,0,0,0.0925053832001745,0.0252205146935494,0,0,0,0,0.115197561386766,0,0,0,0,0,-0.00603065762277732,0,0,0.0368742976272493,0,0,0,0.0730954464984229,3.46944695195361e-18,0,0.0729332179038741,0,0,0,0,-0.0604828150541309,0,0,0,0,0,0,0,0,0,-0.0596156491426562,0
X600926.CH.EQUITY,0,0.193872202278523,0,0,0,0.0534799001838192,0.490914921464467,0,0,0,0,0,0,0,0,0,0,0.195631034733445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196735504079539,0,0,0,0,0,0,0,0,0.0362684166797801,0,0,0,0,0,-0.049496704973451,0,0,0.136333315273406,0.0865122470905768
X601009.CH.EQUITY,0,0,0,0,-0.0840717867307158,0,0.230675085398363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339430730760926,0,0,0,0,0,0,0,0,0,0.124811152980923,0,0,0,0,0,0,0.385270250397712,0,0,0,0,0,-0.239916951455834,0,0,0,0,0
X601166.CH.EQUITY,0.0179785790570936,0.260620241302369,0.224152735160201,0.123024027174601,0,0.0103448386592915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889170845350325,0,0,0,0,0,0.144677373897783,0,0,0,0,0,0,0.181989039814101,0.0336656538772256,0,0,0,0,0,0,0,0
