,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.215906896417231,0,0.171939492746812,0,0,0,0.38385292417378,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147304912423489,0,0.0090053802374277,0,0,0,0,0,0,0,0,0,0.00332467504305227,0,0,0.170633973871225,0,0,0.00817468536392785
X002142.CH.EQUITY,0.36090736902615,0,0,0,0,0,0,0,0,0,0,0,0.00633709917686241,0,0,0,0.0323679379697669,0,0.0435267557565639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.185558361451171,0,0,0,0,0.164351805827162,0,0,0.0071529086762748,-0.0803320183426855,0
X600000.CH.EQUITY,0,0,0,0.0424080552956972,0.361318490504436,0,0.0379073820081041,0,0,0.075277714677917,0.281845427524326,0,0,0,0,0,0,0,0,0,0,0.0136171948498717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0.00428065884015651,0,0,0,0,0,0,0,0.471534362054278,0,0,0,0,0.252839635593822,0,0,0,0,0,0,0.00106974010135363,-0.173482537632529,0,0.266115472119442,0,0,0,0,0,0,0.1788874307128,0,0,0,0,0,0,0,0,0.0552082156587614,0,0,0,0,0,0,0,0,0,0,0.0628900120627524
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.310488383458183,0,0.0746030706992792,0.44691910667602,0,0,0,0.0302567616519655,0,0,0.0995015985121615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.116134419076716,0,0,0,0,0,0,0.290681290534322,0,0,0,0,0,0,0,0,0,0.0206362244926412,0,0.0283100089151658,0,0.0142858793879154,0.234568758208035,0,0,0,0,0.0360814612902016,0,0,0,0,0.0993571749364593,0,0,0,0.0510763004214799,0,0,-6.93889390390723e-18,0.0556286997752321,0,0,0,0,0,0.0676409349718755,0,0,0,0
X600919.CH.EQUITY,0,0,0,0,0.461164600411492,0,0,0.249673105561243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140155977057768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0790805628729346,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0.147678236124693,0,0.130688821896701,0,0.0780784786565843,0,3.46944695195361e-18,0,0,0.0893290752046512,0,0.0557838999389227,0.169061662805898,0,0,0,0,0,0,0.167962598392274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475212071189627,0.0121159218212166,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0717192627341432,0,0.0487460964992878,0,0,0.144511161193608,0,0.269617925038295,0,0,0,0,0,0,0.27672076314503,0.110443686910085,0,0,0,0,0,1.38777878078145e-17,0,0.0330137294976204,0.0724310008967594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163874447985723,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.0512510602216325,0,0,0.00803302015676338,0,-6.93889390390723e-18,0,0.363585697658361,0,0.0929557318222493,0,0,0,0,0.214905789609674,0,0.0424570368763421,0,0,0,0,0,0,0.0797707632585864,0,0,0,0,0,0,0,0.0340567816914292,0,0,0,0,0,0,0,0.0935361265314942,0.0205970587888246,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.299191441110252,0,0,0,0,0.33743532981712,0,0,0,0,0,0,0,0,0.123431744285345,0,0.0227515802125648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17989756283858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
