,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0.0098162651617904,0,0,0.0289284465607849,0,0,0,0.459494102644529,0,0,0,0,0,0,0,0,0.183591814864054,0,0,0,0,0,0.048859882595249,0,0,0,0,0,0.194078720033809,0,0,0,0,0,0,0,0,0,0.0393281192092057,0,0,0,0,0,0,0,0,0.161080283843523,-0.0311397091762484,0
X002142.CH.EQUITY,0,0,0.0275682284251024,0.162883780314996,0,0.18846556551381,0,0,0.107632491241108,0,0,0,0.11790110970892,0,0,0,-1.73472347597681e-18,0,0,0,0.0916113705240107,0,-0.0777383956931084,0,0,0,0,0,0,0.0391175500238512,-0.195239820541153,0,0,-0.165929998600533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0529549465742018,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.572510371199744,0,-0.147295194975248,0,0,0,0,0,-0.234173040087548,0,0,0,0.182047298929734,0,0,0.0439892756634402,0,0,0,0.0499339305684503,0,0,0,0,0,0,0,0,0,0,0,0,-0.066436829001335,0,0,0.569847314885588,0,-0.225675426966116,0,0,0,0,-0.0108007104167688,0,0,0,0
X600015.CH.EQUITY,0,0,0.00222106897720269,0,0.0814378705097157,0.0183186143573071,0,0,0,0,0.108380892952893,0.0900620481599094,0,0,0,0.109629125052978,0.0350567333754384,0,0,0.07701096731109,4.33680868994202e-19,0,0.136060212147686,0.166036770694215,0.165858929398335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402777293391751,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.137132820696393,0,0,0.0237702176281092,0.208613263186548,0,0,0.153065198922764,0.382104613021884,0,0,0,0,-0.0188408775120672,0,0,0,0,0,0,0,0,0.0942732581887147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.167460800014399,0.162339730208919,0.287333890067321,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.1320495495343,0,0,0,0,0,0,0,0.0811193389846642,0,0,0.0822129282414719,0,0,0.00656336439893951,0,0.279414822774007,0,0,0,0,0,0,0,-0.0900036088927311,0,-0.0521711793724705,0,0,0,0
X600919.CH.EQUITY,0,0,0,0,8.67361737988404e-19,0,0,0,0.391262886109082,0,0,0,0,0,0,0,0,0.202945024134732,0,0.14033106497135,0,0.0793915989744705,0,0,0,0,0,0,0,0,0,0,0.336614606097752,0,0,0,0,0,0,0,0,0,0,0,0,-0.142027832805092,0,0,-0.0972336591075086,0,0,0
X600926.CH.EQUITY,0,0,-0.0594419538866592,0,0,0.0770831348342766,0,0,0.00486028142803469,0,0,0.211710404838197,0.130782633129015,0,0,0,0,0.351125045610971,0,0,0,0,0,0,0,0,0,0,-0.134419605086773,0,0,0,0,0,0,0.0348544973855563,0,0,0,0,0.136611566975524,0,0,0,-0.2041434939949,0,0.106302181353102,0,0,0,0,0.081021248932305
X601009.CH.EQUITY,0.356915132959624,0.040097877762815,0,0,0,0,0.0117171316111509,0,0,0.279969555799645,0,0,0,0,0,0,0.13057128137027,0,0,0,0,0,0,0,0,0.0352267686385366,0,0,0,0,0.194727324710098,0,0,0,0,-0.0689346277683097,0,0,0,-0.0308724948070184,-0.144162505566415,0,0,0.0733864932515924,0,0.134367691224232,0,0,0,0,0,0
X601166.CH.EQUITY,0.340819755334244,0,0,0,0,0,0,0,0.10367050507906,0,0.0365005058481711,2.16840434497101e-19,0,0,0,0,0.152263890002518,0,0,0,0.0193343072421178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0568722472297395,0.0508664950433774,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0.0346960253356614,0,0,-5.42101086242752e-20,0,0,0.0426154054037342,0,0,0,0,0.154779113390441,0.319086781714933,-1.73472347597681e-18,0,0,0.137971545239015,0,0.0283309601900753,0,0.0644689109756675,0,0,0.182532672872374,0,0,0,0,0.0209018487774977,0,0,0,0.0078647608428411,0,0,0,0,0.0246272682073635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.133732701637062,0,0,0,0.117946503101432,0,0,3.46944695195361e-18,0,0,0,0.0968996189541084,0.199269102266465,0,0,0,0,0.142928210011375,0,0.132371728642573,0.0381920360567543,0,0.0456836943291609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612529912477925,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.353717313458591,0.0343443618827665,0,0,0,0,0.212838912682561,0,0,0.0934677101272819,0,0,0,0,0,0.108764765606533,0,0,-0.131810804031182,0,0.0053575051939131,0,0,0,0,0,0,0,0,0,0,0.0270676463658334,0,0,-0.047848321539774,0.16337307987382,0,0,0,0,0,0,0,0,0.0401590269958492,0,0.0227385036145546,-0.0787710791767131
