,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0.0289214121757089,0,0,0,0,0,0,0.328662842158196,0,0,0,0,0,0,0.141844560317735,0,0.218361052634291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0965396053420442,0,0,0,0,0,0,0.0639377924792406,0,0,0,0,0,0,0,0,0,0,0.0471775986800829
X002142.CH.EQUITY,0,0,0.133197331249521,0,0,0.188719706276412,0,0,0.0504709581830269,0,0,0,0,0,0,0,0,0.144372157872582,0,0,0,0,0,0,0,0,0,0,0,0,-0.00271036180606444,0,0,0,0,0,0,0,-0.0116596384179429,0,0,0,0,0,0,0,-0.172730009017041,0,0.121573497688014,-0.0165404534896525,0,0.0676750785780796
X600000.CH.EQUITY,0,0.0974010627081375,0,0,0.0426061736473037,0.0276613349043327,0,0,0,0,0,0.252435129958939,0,0,0,0,0,0,0,0,0,0,0,0,0.464709526206126,0,0,0,0,0,0,0,0.00134456387292565,0,0,0.0363995076482673,0,0,0,0,0.0338043204542157,0,0,0,0,0,0,0,0,0,0.0924665974813117,0
X600015.CH.EQUITY,0,0,0,0,0.0675648729533259,0,0,0,0,0,0,0.181249037418436,0.0673814877832799,0,0,0,0.0763287560759731,0,0,0.274730348271824,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.226622927196175,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0253156347167665,0.124254808143837,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.259664256112117,0.275610695549124,-0.0673014425735093,0,0.155632367563794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230215021572644,0,0,0,0,0,0,0,0,0,0,0,-0.136343930889037,0,0,0.059322332585338,0
X600036.CH.EQUITY,0.691632418545575,0.195239529987981,0,0,0,0,0,0.102725072143027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114492600665427,0,0,0.0803533807917638,0,0,0,0,0,0,0.0735601878102802,0,0,0.16838326694985,0,0,0,0,0,0,0,0,0,-0.226573646765093,0,0,0.00732781888023635,0.141824398235022
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0.442138627416119,0,0,0,0,0,0,0,0,0,0,0.0526353228153317,0,0,0,0,0,0,0,0,0.0777871112249385,0,0,0,0,0,0.0424443863092635,0,-1.38777878078145e-17,0.203645204564262,0.110823985903806,0,0.0634108086013417,0,0,0,0,0,0.0314863591504799,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0.0614188363936853,0,0,0,0,0,0,0,0,0,0,0,0,0.0901713663987463,0,0,0,0.205107602564964,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,-0.126489862115182,0.116333419733269,0,0.377047507061645,0,0,0,0,-2.16840434497101e-19,0,0,0,0.114750332562534,0
X601009.CH.EQUITY,0,0.318092338240731,0,0,0,0,0.478553493498571,0.0243260026401554,0,0.188682988615841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054434765836873,0,0,0,0,0,0,0.0128174499438993,0,-0.122152428015012,0,0,0,0,0,0,0,-0.082731405774369,0,0,0,0,0.0249055077122419,0,-0.0847513815528857
X601166.CH.EQUITY,0,0,0.109583078797348,0,0,0,0,0,0.0542553961254531,0,0.0926725085523594,0,0,0,0,0,0,0.0376237107105906,0.191789332792023,0,0,0,0,0,0.146711350177623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475693012852423,0
