,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.511443837240514,0,0,0,0,0,0,0,0,0.120129083013526,0,0,0,0,0,0,0,0,-0.0359167249833567,0,0,0,0.176236026959195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139203417349776,0,0,0,0,0.0373517227892315,-0.13357010872864
X002142.CH.EQUITY,0.315832938309606,0,0,0,0,0.0143049269829865,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.270337918475855,2.16840434497101e-19,0,0,0,0,-0.0617550896981331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455912646078982,0,0.0900672721726491,0.00493147214110151,0,0,0.00417262210683488,-0.127106591683157,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.147006861165562,0.109425351700743,0,0.228944751257362,0.0208561089433592,0.0221654098351784,0,0.27094585327091,0,0,0,0,0.0536735330788904,0,0,0,0.311558128677491,0,0,0.149379690658549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00986531247926773,0,0,0,-0.171004823442993,0,0,-0.159470743905152,0
X600015.CH.EQUITY,0,0,0.149131662418523,0,0.15515490382865,0,0,0.0678824402954532,0,0.481726144689367,0,0,0,0,0,0,0.05171997449963,0.0678298575695428,0,0.0276022184144804,0,0,0,0,0,0,0,0,0,0.0607557136392471,0.112934905723501,0,0,0.0894120248439054,0.0199576862051501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0973753489668407
X600016.CH.EQUITY,0,0,0.227193980751297,0,0,0,0.0364686789034917,0,0,0,0,0.17064975056424,0,0,0,0,-6.93889390390723e-18,0.225230958585171,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,-0.159910119215719,0,0,0.357502270696752,0,0,0,0,0.0169552171295456,0,0,0,0.125585303222792,0,0.247145306500868,-0.153423334147684,0
X600036.CH.EQUITY,0,0,0.320050096781841,0,0,0,0.203883297536326,0,0,0,0,0,0.177348371057825,0,0.180387936074968,0,0,0,0,0,0,0.0650377011122608,0,0,0.055359410296601,0.193906311666664,0.198809190355167,0,-0.0976379716778196,0,0,0,0,0,0,0,0,-0.208401590477493,0,0.31693070364989,0,0.0817487988068295,0,0,0,0,0,0.0563503885687976,0,0,0.0114434109209123
X600919.CH.EQUITY,0,-0.121566898422055,0,0,0,0.939985382785928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00315859857616103,0,-0.0169152736511432,0,0,0,0,0,0,0,0,0,0,0,0,0.113784430157225,0,0,0,0,0,0,-0.992670536744783,0,-0.0592965776778848,0.40472461504857,0,0,0,0.0903763676894423
X601009.CH.EQUITY,0.26396181288061,0,0,0,0,0,0,0,0.305380410663134,0,-0.150880492194427,0,0,0,0,0,0,0,0,0.0645244194629124,0,-0.485591866170696,0,0.0227648161035889,0,0,0,0,0,0,0,0,-0.0723045823606741,0,0.111776690740695,0,0,0,0,0.343252632966417,0,0,0.111910312042836,0,0,0,0,0.183651469677721,0,0.155310112221445,0.204155760370133
X601166.CH.EQUITY,0,0,0.265567594346796,0,0,0,0,0.212695323050686,0,0,0,0.300801114960228,0,0,0,0,0,0,0,0.0519196703446559,0,0,0,0,0,0.115085783766151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0033390773658464,0,4.33680868994202e-19,0,0,0,0,0.0450681718240156,-0.0183392840326347,0,0
X601169.CH.EQUITY,0,0,0,1.1480025289203,0,0,0,-0.156451623794168,0,0,0,0,0,0,0,0,0,0,0.154918504237623,0,0,-0.262356490523533,0.106939898515225,0,0.118339843288632,0,0,0,-0.114487891788518,0,0,0,0,0,0.186252902382377,0,0,0,0,0,0,0,-0.19389503295589,-0.357474586793072,0.0790420188337298,0,0,0,0,0,0
X601229.CH.EQUITY,0.0384647840509889,0,0.0909764976129381,0,0,0,0,0,0,0,0,0,0,0.456989169593882,0,0,0,-8.67361737988404e-19,0,0,0,-0.0590591532859357,0,0,0,0,0,0,0,0,0,0,0.196000853423182,0,0.0108691400343577,0,0,0,0,0,0,0,0,0,0,0.13271883505658,0,0,0,0,-0.217958625810778
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.609377247251903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.0713714457359166,-0.18495262733847,0,0,0,0,0,0,0,0,0,0,-0.0089200210048858,0,0,0,0,0,0,0.196320624907734,-0.14747600901275,0,0,-0.187993051752155,0,0.0398537660144191,0.352149801188903
X601328.CH.EQUITY,0,0,0,0.0944579956353025,0,0.434396212744765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0792712416033152,-0.021168039120539,0,0,0,0,0,0,0,0,-0.046703231783946,0,0,0,0,-0.125111830715241,0,0.172231539450507,0,0,0,0,0,0,0,0.238615863317923,0.0647076906996113,-0.0077951633841709,0.183568395828102
X601398.CH.EQUITY,0,0,0,0,-0.00391661068407362,0,0,-0.084216661478963,0,0,0.816379831451983,0,0,0,-0.103959611684189,0,0,-0.26078590368742,0,0,0,0,0,-0.0540416798409506,0,-0.00865338010193729,0,0,0,0,0,0,0,0,-0.307502983683544,0,0,0,0,0,0.276513104472462,0,0,0,0,0,0.209777681606576,0.191934447793594,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0.276513084729388,0,0,0,0.00831169146091205,0,0.515248525855513,0,0,0,0,0.0121901675732421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111861637942234,0,0,0,0.189553772189603,0,0,0,0,0,0,0,0,0,0,0,0.0565457753671585,0
X601939.CH.EQUITY,0,0.434668264255319,0,0,0,0,0,0.0916822158233839,0,0,0.0470385046335712,0,0,0.371435478091825,0,0,0,0,0,0,0,0,0.0578456087333008,0,0,0,0,0,0,0,0,0,0,0,0,-0.330613102800705,0,0.1951854882668,0.137578893482716,0,0,0,0,0,0,0,0,0,0,-0.0182385121070874,-0.0638784455594622
X601988.CH.EQUITY,0.314550773644995,0,0,0.223432461691473,0,0,0,0,0,0,0,0.0357350567322324,0,0,0,0,0,0,0,0,0.207498094662576,0,0,0,0.322460565213613,0.0105919328950433,0,0,0,0,0,0,0,0,-0.0648654176197214,0,0,0,0,0,0,0,0,0,0,0,-0.0795940020383255,0,-4.33680868994202e-19,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.227892903212862,0.221322854731263,0,0,0,0,0,0,0,0,0,0,-0.00810936078960295,0,0,0,0,0.146025272768278,0,0,0,0,0,0,0,0,0,0,0,0.27392443644011,0,0.239738090345479,0,0,0,0,0,-0.0151615087215846,0,0,0,-0.322402031647648
X11.HK.EQUITY,0,0,0.0479579155742721,0,0,0,0,0,0.19442117459023,0,0,0,0,0.0167047724256688,0,0,0.136407364133098,0,0,0.216599273806785,0.234284416536762,0.168690423282104,0,-0.0322232249342646,0,0,0,0,0,0,0,0,0,0,-0.04898040628846,0,0,0,0,0,0,0,0.0757552808901826,0,0,0,0,0,0,0.0790040689751468,0.0491154297089944
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0.0779974914975051,0,0,0,0,0,0,0,0,0,0.495146282558357,0,0,0,0,0.0231915040767818,0.304915889753312,0,0,0,0,0.0762314913562946,0,0,0,0,0,0,0,0,0.0928237447062896,0,0,0,0,0.057882625752632,0,-0.0638697761216663,0,0.125751720300037,0,0.127418555967345,0
X5.HK.EQUITY,0.13122570571261,0,0,0,0,0,0,0,0,0.311129926727393,0,0,0,-0.0944919514703239,0,0,0.000649108208043245,0,0,0,0,0,0.0920610776405353,0.0209459886579364,0.0527215408702126,0.146898302404005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952613976074884,0.393094360398444,0
X2884.TT.EQUITY,0,-0.0351486596051076,-0.014985930636047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119382747389083,0,0,0,0.432520541320206,0,0.113662700609345,0.391835946431935,0,0,0,0,0,0,0,0,0.0886161257937949,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.066220246980894
X2886.TT.EQUITY,0,0.0695037449231206,-0.0837375276264188,-0.0992604500707031,0,0,0,0,0,0,0,0,0,-0.308074891479477,0,0,0,0,0.0756248304520815,0,0,0,0,0,0.787619029922391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11977592809935,0,0,0,0.165516137517698,0,0,0,0,0
X2891.TT.EQUITY,0.5847721870294,0,0.0252727466391792,0,0,0,0.0745886690838488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744204309868575,0,0,0,0,0,0,0,0,-1.14122055386128,0,0,0,0,-0.0244720191740872,-0.0817308665731934,0,0,0.272301177071937,0,0.03711434879478,0,0,0,0,0,0,0.173740182818258,0,6.93889390390723e-18,0
X2892.TT.EQUITY,-0.0803778779177919,0,0,0,-0.0210847961410423,0,-0.0272293119421094,-0.0486152592792739,0,0.128652773879624,-0.0317513840955948,-0.175710261600151,0,0.0190110846680315,0,0,0.0533311351135423,0,0,0,0.163212221261221,0.282271848893728,0.597637890831189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0790781719891742,0,0,0,0.136413117534795,0,0,0,0,0,0.0584365624577136,0,0.0645159570766315,0
X5880.TT.EQUITY,0,0,0.135879655651789,0,0,0,0,0,0.111558473648142,0,0,0,0.0768501207880784,-0.0544132158234482,0,0,0.0476998921553859,-0.0713914372002994,0,-0.0532037531917617,0,0.197211722330501,0.477851080594704,0,0,0,0,0,0,0,0,0,0,0,0.0488406080148606,0,0,0,0,0,-0.241273358371595,0,0,0,0,0,0,0,0,0.227068090777034,-0.100593239660677
X000166.CH.EQUITY,0,0,0.0216007502703664,0,0.0084966770984615,0,0,0,0.019186521111754,0,0,0.000153635961963297,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.284408702230167,0,0.149379046327307,0,0,0.219408591348432,0.160169497296399,0,0,0,0,0,0,0.0715713412652201,0,0.0402715970731984,0.020096871082802,0,0,0,0,-0.0347818087407881,0,0
X000776.CH.EQUITY,0,0,0,0.00903712230519726,0,0,0,0,0,0,0,0,0,0,0,-0.12399783687136,0.0617870899736836,0,0,0,0,0,0,0,0,0,0.173206395645501,0,0,0.181513984734053,0,0,0,0,-0.0435384688107785,0.1934935713995,0.45962209785593,0,0.0502255278941062,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.104592250069358
