,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.0386752943809501,0,0.0249226086801239,0,0,0,0.0362559951077751,0.0575411340880426,0,0.377832839381353,0,0,0,0,0,0,0,0,-0.143633664985407,0,0,0,0.175701077317563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412755920197961,0,0,0,0,-0.0775656035222843,0,0,-0.139095937235158,0,-0.159418521413497
X002142.CH.EQUITY,0.226912078616995,0,0,0,0,0,0,0.0351677556461324,0.122879102052636,0,0.0181594903607163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0301398440320236,0,0,0,0,0,0,0,0,-0.00874716260623412,0,0.270656151053042,0,0,0.011787495527416,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.28196951568598,0.13943635623385,0.113447822234901,0,0.0484888128553531,0,0,0,0.191763474775702,0,0,0.0032365174069383,0.0215967645481097,0.0301240787305204,0,0,0.0147433728352001,0,0,0,0,0,0,0,-0.180777160984799,0,0,0,0,0,0,0,0,0,0.197771538671444,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18
X600015.CH.EQUITY,0,0,0,0,0.0752577058167061,0,0,0,0,0.401733465037096,0.118475666307191,0,0.0193118985355139,0,0,0,0,0,0.121976739590063,0.0255300993308493,0,0,0,0,0,0,0,0,0,0.0346887260356407,0,0,0,0,0,0,0,0,0.0195995736443109,0,0,0,0,0.0154817318294027,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0537194853365812,0.228113402489468,0,0,0,0,0,0,0.130529646992788,0,0.106855924602052,0,0,0,0.22585088052754,0,0,0,0,0,0,0,0,0.063961522996733,0,0,0,0,0,0.0184837832669595,0,0,0,0,0,0,0,0.254680816013105,0.0497619337717925,0,0,0,0,-0.0681012870393446,0,0,-0.0812012165974376,0.0225915108366883
X600036.CH.EQUITY,0,0.165250855748938,0.00820040110019029,0,0,0,0,0,0,0,0,0.0284865755093995,0,0,0,0,0,0,0,0.0345524192891396,0.130474502677015,0,0,0,0,0,0,0,0,0,0,0,0,-0.0752951269858052,0.0706251338486624,0,0,0,0.468005537013826,0,0.0922811837612553,0.0343660997787608,0,0,0,-8.67361737988404e-19,0,0,0.144004174220095,0.0773184279081442
X600919.CH.EQUITY,0,0.0635414780111822,0,0,0,0,0,0,0,0.33567118912345,0,0,0,0.163173638615639,0,0,0.317635843635782,0,0,0,0,0,0,-0.0269790155708192,0,0,0,0.117414186619299,0,0,0,0,0,0.0640525378730517,0,0,0,-0.0814483883876743,0,0,-0.196157749094853,0,0,0,0,0,0.0111494956875906,0,0.0885589813186852,0
X601009.CH.EQUITY,0.602931638799283,0,0,0,0,0,0,0,0.0452324900124205,0,0,0,0,0.118682392067982,0.154100225042419,0,0,0,0,0,0,-0.201194809424817,0.105647915113918,0.0594612357429082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052073342775216,0,0,0,0.138121546549241,0,0,0,0,0
X601166.CH.EQUITY,0,0.270991944164088,0,0,0,0,0,0,0,-0.157592513612075,0,0,0,0,0,0.0468532926344926,0.387884704089362,0,0,0,0,0,0,0,0.0160528950693001,0,0,0.0576364205578303,0,0,0,0,0,0,0,0,0,0,0,0,0.216099525934956,0.203281971073808,0.0943400753500213,0,0,0,0,0,0.245099447224756,0
X601169.CH.EQUITY,0,0,0.128307866646206,0.607140798703688,0,0,0,0,0,0,0,0,0.261461729893417,-0.0692836930675111,0,0,0.0908673597704348,0.0150237070295565,0,0,0.0123496969403471,0,0.124849101521704,0,0,0,0,0,0,0,0,0,0,-0.0346206143110322,0,0,0,0,0,0.0572166373482126,0,0,-0.0806658563195027,0,0,0,0.102790643667924,0.0660415202660369,0,0
X601229.CH.EQUITY,0.208873072471795,0.0472231266165187,0,0.0721204258816505,0.0892633784171617,0,0.183297588241289,0,0,0,0,0,0,0,0,0.311132577060892,0,0,0,0,-0.0757664167565801,0,0,0,0,0,0,0,0.00777944789408523,0,0,0,0,0.11620227721939,0,0,0,0,0,0,0,0,0,0,0,0,-0.0749175905053499,0,0,1.0842021724855e-19
X601288.CH.EQUITY,0,0.0117516760049614,0,0,0,0,0,0,0,0.274610669672509,0,0,0.085728421575554,0.081502238558613,0.138493800473849,0,0.109702913533112,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.0538726369110285,0,0,0,0.0789595459889078,0,0.0678747841785595,0,0,0,0.0920330020104339,0,0,0
X601328.CH.EQUITY,0,0,0.0944508319304005,0,0.0470012021092263,0,0,0,0,0.000228071447466023,0,0,0,0.0716830306409719,0,0.0591266852900759,0.425503604478773,0,0,0,0.0883656131037146,0,0,0.0536497461824557,0,0,0,0,0,0,0,0,0.107393763226922,0,0,0,0,0,0,0.123927181692475,0,0,0,0,0,0,0,0,-0.0179550761629047,0
X601398.CH.EQUITY,0,0,0,0,6.93889390390723e-18,0,0.173174404440955,0,0,0,0,0,0,0,0,0.352302960568666,0.368159819273175,0,0,0,0,0,0,0,0,0,0,-0.191447455080886,0,0,0,0,0,-0.00801388320321606,0,0.190900708055413,0,0,0,0,0,0,0,0,-0.119704438245265,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,6.93889390390723e-18,0.161922337953869,0,0,0,0,0,0.150651486532961,0,0.000748439508121052,0,0,0,0,0.189158533964388,-0.0270858859426446,0,0,0,0,0,0,0,0,-0.0614002665924678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0185317427572901,0,0,0,0,0,0,0,0,0,0.0145723217111154,0,0.173298195585422,0,0.491698184408635,0,0,0,0,0,0.0477984329008332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503033469783904,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0
X601988.CH.EQUITY,0,0.128505798790058,0,0,0.187456470712954,0,-0.0663059039146049,0,0.183953217778754,0.205535664467143,0,0.169529147212118,0.0333516591210129,0.0567301948365411,0,0,0,0,0,0,0,0,-0.0943637799375385,-0.0957781386610952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606516764689004,0,0,0,0.101824755917859,0,0,0.0621324142828882,0,0
X601998.CH.EQUITY,0,0,0.0529302663874923,0,0.00738862822931368,0,0,0,0,0.312690991349996,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0714422699956064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259919029613085,0.168631466422577,0,0,0,0,0,0,0,-0.0439696027886195,0,0,-0.263814605976863,-0.12942172393646
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.130868612228209,0,0,0.164344895505332,0,0,0,0,0,0.360544484799674,0.138398609784732,0,0,-0.11632631308838,0,0,0,0,0,0,0,0,0.123692083102923,0,0,0,0,0,0,0,0,0,0,0.257221106139712,0,-0.0110907443467906,0,-0.155458324307746,0,-0.132734439278305
X2388.HK.EQUITY,0,0,0,0,0,0,0.127790864485469,0,0,0,0,0.0340907999937064,0,0,0,0,0,0,0.322365656194748,0,0.231781918370764,0,0.0796763496571908,0,0,0,0,0,0,0,0,0.00972193158374208,0,0,0.0997904014477529,0,0,0,0,0,0,0,0,0.224306201672756,0,0,0,0,0.122655038103207,0
X5.HK.EQUITY,0,0,0,0,0,0.112609330977002,0,-0.0548250077313419,0,0,0,0,0.190932999589849,0,0,0,0,0.21212567406415,0.331236830703723,0.33496455405767,0,0,0,0,0,0,0,0,-0.0751814932670386,0,0,0,0,-0.127524905541771,0,0,0,-0.0526184815510779,-0.282418977195373,0,0,0,0,-0.20498774099723,0,0.162560501915507,0,0.343039285442654,0,0
X2884.TT.EQUITY,0,0.19934846326446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319882859829097,0,0,0,0.107082679934489,0,0,0,0.211078750379199,0.132664751289226,0,0,0,0,0,0,0,0.0830752178955326,0,-0.0713801126281677,0.0696665479815702,0,-0.0571736502921664,-0.0696870359651924,0,0,0,0,0,0,0,0.125883037669274
X2886.TT.EQUITY,-0.131767091287993,0,0,0,0,0.0664426970227864,0.0174146174809413,0,0.0697295620072413,0,0,0,0,-0.21305328182896,0,0,0,0,0,0,0,0,0,0,0.759495579067684,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041107291064981,0,0,0,0,0.0792394215869566,0,0.0168856309210174,0.175189892881094,0,0.194185099595522,0
X2891.TT.EQUITY,0,0,0,0,0,0,0,0.181773718913281,0,0.0552288736959834,0.294781613080284,0,0,0,0,0.107297895934624,0,0,0,0,0,0.0620359753636855,0,0,0.388949372031673,0,0,0,0,0,0,0,0,-0.0539687079752875,0,0,0,0,0,0,0,0,0,0,0,0.0749702298373111,0,0,0,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143681597211068,0,0.0788429777199788,0.691566301422702,0,0,0,0,0,0,0,0,0,0,-0.0588932566168301,0,0,0,0,0,0.202188401523873,0,0,0,0,0,0.178500463126993,0.0775518530111631,0,0,-0.0864967251295282
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424403657361325,0,0,0,0,0,0,-0.0268706051322919,0,0,0,0.340549743440047,0.302399342190951,0.0104751187567529,0,0,0.268399098935941,0.0754939090318351,0,0,0,0,0,0,0,0.0384272589543542,0,0,0,0,0,0,0,0.0381952465973889,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254375237600134,0,0,0,0,0,0,0,0,0.151701180084558,0,0,0,0,0.130206005089259,0,0,0,0,0.41135555791303,0,0.00839208864077905,0.0739160227488159,0.0595816103333778,0.025820758896038,0,0,0,0,0,0,0.034938790827314,-0.0281398528618167,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,-0.117953635222815,0.221160895729331,0.208445184643584,0,0,-0.182237595100318,0,0,0,0,0.0333844661147863,0,0,0,0,0,0,0.119390826571061,0,0,0,0,0,0,0.290231112849334,0.305317140349721,0,0,0.0929644690273837,0,0,0,0,0,0,-0.000367936607537776,0,0,-0.0133385289934318,0.0583828281877484,0,0,0.074118347398332
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0348568098984214,0,0,0,0,0,0,0.0955308586476323,0,0,0,0,0,0,0,0,0,0,0,0,0.241687913887853,0,0,0.0518639523559796,0,0,0.242941705559032,0,0,0,0,-0.0260858300874213,0,0.161277303378476,0,0,0.0062532589981689,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,-0.0749205014322964,0.149086896735224,0,0,0,0,0.00587084174062681,0,0,0,0.0850529036117543,0,0,0.00814363468628608,0,0,0,0,0,0,0,0.100219761668104,0,0,0,0,0.219898776316688,0,0.226705392991488,0.0217147547325001,0.27254886062467,0,0.056536357371363,0,0,0,0,0,0,0,0.0285167890052355,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0615474615976297,-0.126952720714398,0,0.0318594379012093,0,0.0467532864939143,0.388535057017585,0,0,0.215773218611133,0.0424237206848763,0,0.00970180442774967,0,0.198692272862803,0,0,0,0,0,0,0,0,0,0,0,0,0
X600958.CH.EQUITY,0,0.0897762804696636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0192313461863205,-0.046211191685749,0.249908311359001,0,0,0,0,0.177142254144527,0,0.140776390772695,0.0870111932038193,0.131286212537165,0.154569162544511,0.0917761396637179,0,0,0,0,0,0,0,0,0,0,0,0.0540577801821182,-0.0433812553003741
X600999.CH.EQUITY,0,-0.00230012201897207,0,0.184979189230412,0,0,0,0,0,0,0,0,0,0,0,0,-0.121857805330071,0,0,0,0,0,0,0.0846280310090055,0,0,0,0.0139873458817738,0,0,0.0837425367427605,0,0,0,0.484493499573925,0,0.0939392460068245,0.0418729597189743,0,0,0,0.174924704597981,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0.045684187308428,0,0,0,0,0,0,0,0,0,0.114477700295619,0,0,0,0,0,0,0,0,-0.0381101584909481,0,0,0,0,0.107460536974672,0,0,0.148756921471351,0.246794680373304,0,0,0,0,0,0,0,0.175850430037706,0,0,0,0,0,0,0,0,-0.126463094526842,0,0,0,0
X601211.CH.EQUITY,-0.0452935305488291,0,0,0,0,0,0,0,-0.046579270936168,0,0,0,0,-0.0465601914761518,0,0,-0.0207681689444247,0,0,0,0,0,0.039481186940223,-0.0467620933854745,0,0,0,0,0.15951809070748,0.181696298167873,0.074521783522954,0.198055045736769,0.355780564201656,0,0,0,0.0680566414803577,0,0,0,0,0,0,0,0,0.00312928471454188,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0.0917628900416446,0,0,0.150273351031256,-0.0529917288605652,0,0,0,0,-0.0754783022544205,0,0,-0.334649242201137,0,0,0,0.125453228691413,0,-0.101424179922565,0,0.040857396141506,0.801360485671338,0,0,0,0,0,0,0,0,0,0.358849200109243,0,0,0,0,0,-0.352133439387357,0,-0.00231842715836708,0,0,0,0,-0.0632709723370644
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,-0.00386210459462729,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0425614846110484,0,0,0,0,0,0,-0.0230247096769087,0,-3.46944695195361e-18,0.0344659703309677,0.267748270324105,0.349635535669629,0,0,0,0.0541314490574018,0.0849275448602956,0.0659635101680061,0,0,0,0.00880470037231405,0,0,0,0,0,0,0.171805719311406,-0.0781983925773713,-0.0645672447911399,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.143653279079395,0,0.054861364037653,0,0,0,0,0.00654508426812508,0,0,0,0,0,0,0,-0.375653232263072,0,0.461101836673068,-0.0244066767284429,0,0,0,0,0,0,0,0,0,0.501162573561155,0,0,0,-0.0949412846440202,0.0660069696797723,0
X601318.CH.EQUITY,0,1.73472347597681e-18,0.101654930056554,0,0,3.46944695195361e-18,0,0.0218769842520769,0,0.0405095897076594,0,0,0,0,0,0,0,0,-0.0119602085097603,0,0,0,0,0.0882909851024613,-0.0501896122256267,0,0,-0.0176357068691291,0,0,0,0,0,0,0,0,0,0,0,0,0.414521872132366,0.270500498598686,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0.0296794958764465,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0415896522683943,0,0,0,0,0.0538365313556219,0,0,0.0516381945307623,0.312635789372291,0,0,0,0,0,0.0438922610651775,0,0,0,0.126289295920827,0,0,0,0,0,0.215970536996396,0,0,0,0,0,-0.140870513235526,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0869531172283269,0,0.0968120504482861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435194105358446,0,0,0,0,0,0.0596581026109451,-1.38777878078145e-17,0.036040820905809,0,0,0,0,0,0,0,0,0,0,0.239920248163369,0.118829638055665,0,0,0,0
X601601.CH.EQUITY,0.362905610385729,0.123097566938904,0,0,0,0.0430764892481956,-0.174978169412264,0,0,0,0,0,0,0,0.120641882921735,0,-0.191040267397438,0,0,0,0,-0.0404976906580508,0,0.188758719717037,0,0,0,-0.0540598012990763,0,0,0,0,0,0.0901801539958702,0,0,0,0,0,0,0,0,0.286024354471597,0,-0.00963710073017595,-0.0880488866865162,0,0,0,0
