,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.142398495702871,0.149528004151148,0,0,0,0.102194847987759,0.13920936456516,0,0,0,0,0,0,0,0,0,0,0,0.0783339914570202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00500988953780699,0,0,0.166130679629999,0,0,0.0815555460624072,0,0,0.092106299867496,0,0,0,0,0
X002142.CH.EQUITY,0.128890761973397,0,0,0,0.188279217594792,0.264774281243712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419456948688255,1.38777878078145e-17,-0.106828658875716,0,0,0,0,0,0.0227703160617757,0,0,0,0,0.101886300133461,0,0,0.0708058956556088,0.086501586515956,0.0291042530495186,0,0.077901203696195,0,0,0,0,0,-0.209412279717963,0,0,0
X600000.CH.EQUITY,0,3.46944695195361e-18,0,0.221309652326965,0,0.318114277303804,0.0932480736264296,0,0,0,0,0,0,0.11815498155313,0,0,0.367897570902676,0,0,0,0,0,0.0230381037365732,0,0,-0.0667052758065257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468342581745477,0,0,0,-0.202986409656271,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.563238613111282,0,0,0,0,0.0745210785011219,0,0,0,0,0,0,0,-0.013825437252179,0,0,0.0170584687265175,0.236859427314184,0.025354877154886,0,0.0715710444611587,0,0,0,0,0,-0.057167911306063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747217017415415,0.0391574149286077,0,-0.0739488071988567,0,0
X600016.CH.EQUITY,0,0.248314282445823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114140294915431,-0.0586733269498755,-0.0768514996342743,0.653591364642491,0,0,0,0,0,0,0,0,0,0,0,0,0.0921987736824651,0,0,0,0,0,0,0,0,0,0,-0.252987488328211,0,0,0,0
X600036.CH.EQUITY,0,0.117258084006076,0.10672939418259,0,0,0,0,0,0,0,0,0,0,0,0.403356717837295,0,0,0,0,0,0.200760166477249,0.027894999757775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00568847934128553,0.013377502961904,0,0,0.000435316769268031,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0.875944429347243,0,0,0,0,0,0.0479044650262531,0,0,0,0,0,0,-0.0097267401869997,0.0253077993373675,0,0.0219133334856889,0,0,0,0,0,0,0,0,0,0,0,-0.0494106272154838,0,0,0,0,0,0,0,0,-0.0973303562804072,0.0756183856321961,0,0,0,0,0.0451672446293868,0,0,-0.102196471182995,0,0,0.0335264112753831
X601166.CH.EQUITY,0,0,0.0311220114415182,0,0.0673981064394468,0.143374935465968,0,0,0.399332759629592,0,0,0,0,0.0455771177248895,0,0.211105146738241,0,0.0499263136111142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00415322488212849,0,0,0,0,0,0.0626619121876512,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326784389136743,0
X601169.CH.EQUITY,0,-0.0132014237282849,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72772705334381,0.132220251633945,0,0,0,0,0,0,-0.0426979636516605,-0.0363875122743148,0,-1.73472347597681e-18,0.074414087033823,0,0,0,-0.0901372644943193,0,0,0,0,0.00878000550838012,0,0.00842068307362659,0.0990671952822866,0,0,0,0,0,0,0.0905366109894093,0,0,0,-0.0602360836805445,0.0481471234978755,-0.0230659374964039
X601229.CH.EQUITY,0,0,0.110797175475872,0,0,0,0.219844460821784,0,0,0,0,0,0.566168993547411,0,0.176152635634653,0,0,0,-0.398226723008579,0,0,0.103568573841152,-0.0355920045827125,0,0,0,0,0,0,0,0,0,0,0,0,0.125965550102194,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0715803588981633,0.155267239407994,0,0
