,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.0422592993644169,0,0.0420192655736235,0,0.312608878876428,0,0.190030182645132,0,0,0,0,0.0707469195858627,0,0,0.408560533788387,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.233280329585242,0,0,0,0.0501610871685697,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.127210122216935,0,0,0,0,0.586806561857146,0,0,0.0949992487931892,0,0,0,0,0,0,0,0,0.144590587451318,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.0168854677253567,0.143651483509482,0,0,0,0,0,0,0,0,0,-0.0155791299754918,0,0,0,0,0,0,0,-0.217660033431411,0,0,-0.23700084608862,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464948877705552,0,0,0.0264464663060604,0.0302603481778232,0,0.0974514300013884,0,0,0,0,0,-4.33680868994202e-19,0,0.0163939262221641,0,0.0172021813218884,0.122956717189322,0,0,0,0,0.00760275025147883,0.0217886198246413,0,0,0.132997029279528,0,0,0,0,0,0,0,0,0,0.096189130369507,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0.187026145228058,0.148228710851137,0.271105947371256,0.0235756614307631,0,0,0,0.0210176118160576,0,0.149722805410985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0145263467928833,0,0,0,0,0,0,0,0.0874777192988132,0.104801208415974,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.230474103588559,0,0,0.100373635458782,0,0,0,0.0276143953090952,0.451040638405433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121688837342153,0,0,0,0,0,0,0,0.162832065981385,0
X600036.CH.EQUITY,0.188345364265298,0.0851746120253623,0,0,0,0,0.0695818464355653,0,0.288814642540443,0,0,0,0,0,0,0,0.0378500234845565,0.200256249352963,0,-0.14388538553328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335017503212518,0,0,0,0.10649844804162,0.0366542440412669,0,0,0.0114578010662421,0
X600919.CH.EQUITY,0,0,0,0,0,0.23393678920718,0,0,0,0,0,0.446263099195464,0,0,0,-0.136347909707118,0,0,0,0,0,0,0,0.143906613351081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243318749988144,0,0.153673433147102,0,0,-0.0597880745241355,0,0,0
X600926.CH.EQUITY,0,0,0,0.0574706661892244,0,0,0.0651328498521871,0,0,0,0,0,0.152539843973203,0,0,0,0,0.158541943345873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282326729461212,0,0,0,0.199742384735171,-0.115925925832197,0,0,0,0,0,0,0,-0.0395771197243721,0,0,0,0
X601009.CH.EQUITY,0,0.165061115005821,0,0,0,0.0742376226087602,0.0557563823879279,0,0,0,0,0,0,0,0.0636859217791045,-3.46944695195361e-18,0,0,0,0.180495614350442,0,0,0,-0.035903953425407,0,0,0,0,0.013829308852961,0,0,0,0,0.1593221152057,0,0,0.224672117668942,0,0,0,-0.181933795317332,0,0,0,0,0,0,0,0,0.31345701213913,0
X601166.CH.EQUITY,0,0,0,0.130590810042522,0,0,0,0,0,0,0,0.209968351353182,0,0,0,0.228757368637036,0,0,0,0,0,0,0,0,0,0,0,0.12242444211092,0,0,0,0,0.054791138214996,0,0,0,0.0575080396750983,0,0,0,0,0,0,0,0.0881299269700758,0,0,0,0,0,0
X601169.CH.EQUITY,-0.0371960961439367,0,0,0.133866842066204,0,0,0,-0.0336145499036078,0,0,0,0.244874689473298,-3.46944695195361e-18,0.157693068428222,0.0801109630867314,0,0,0,0.0770594655177072,0.19400698733127,-0.0094043707598484,0,0,0,0,0,0.00563178910664085,0.068220646415877,0,0,0,0,0.0510058479783521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294600867261738,0,0,0.0486832678078925
X601229.CH.EQUITY,0,0,0,0.0613164178951357,0,0,0.162286147004942,0.163519247483261,0.153800723472154,0.317407644713934,0,0,0,0,0,0.0962349082612635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103104534595459,0.163856380447461,0,0,0,0,0,0,0.0158085206549682,0,0,0,0,0,0,0.169917486769312
X601288.CH.EQUITY,0.0202536162178621,0,4.33680868994202e-19,0.0476294030488614,0,0,0,0.0297909300120458,0,0,0,0,0,0.163994363980174,0.083436741868153,0.0816573744650835,0.147555819218854,0,0.06632879508844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948784154753199,0,0,0,0,0,0,0.226627229569763,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.256358035980529,0,0.200418456043524,0,0,0,0,0,0.0906456179488994,0,0.136572413461478,0,0,0,0,0,0,0.116225457461685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707908081527557,0,0,0,0,0,0,0.0431173688103051,0.0859033724512893,0,0.030090998998411,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0.0740068684855437,0,0,0,0.0800236272489819,0,0.188427849730687,0,0.267329361518514,0,0,0,0.0878176023826106,0.136113537182494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.00536289116793034,0,0,0,0.0312471961084916,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0.088146351498961,0.276915697068608,0.0139359220106648,0.0899512235804987,0,0,0.236418203792137,0,0,0,0,0,0,0.018857615029139,0,0,0,0,0,0,0,0,0,0.0302859805288678,0,0,0,0,0.0603427715624665,0,0,0,0,0.0846826641565937,0,0,0.00776807789491325,0.029923030065851,0,0,0,0,0.0357170689396063
X601939.CH.EQUITY,0,0,0,0,0,0,0,-0.13649020864966,0,-0.148437220469702,0,0,0.202091099394273,0,0,0,0,0.19436975728315,0.717259450750798,0.151081486184004,-0.00401738419959011,0,0,0,0,0,-0.147085393159514,0,0,0,-0.148778792382622,0,0,0,0,0,0.0776970543644649,0,0,0,0.0786430009363643,0,0,0,0,0,0,0,-0.040535898062344,0,0.088522114071044
X601988.CH.EQUITY,0,0,0,0.610575586270867,0,0.256513545572137,0,0.0545542780462756,0,-0.10534644792633,0,0,0.127709269900907,0,0.0786845707997289,0,0.0401410148829525,0,0,0,0,0,0,0,0,-0.128334739598742,0,0,0,0,0,0,-0.00804351017328216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0290142278788689,0,0
X601998.CH.EQUITY,0,0,0,0.0669892695305227,0.301663462458498,0,0,0,0,0,0,0,0,0.1858990370887,0.0327449158231476,0,0.118667128687337,0,0,0.0289331472851641,0,0,0,0,0.0350817485475789,0,0.174779851330808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189499117550631,0,0,0.215603948761876
X601658.CH.Equity,0,0,0,0,0,0,0,0,0.01343605382407,0,0.147279181441255,0,0,0,0.286524028581693,0,0,0,0,0,0,0,-0.00848070138481708,0.100096721214241,0,0,0,0.0399940645047153,0.0979019590160112,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.33731414987557,0,0,0,0,0,0,0,0,-0.00454346283265871
X11.HK.EQUITY,0.189108979138851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.220513043013901,0,0.426065188663278,0.314485407385342,0,0.123002354172651,0,0,0,0,0,0,0.0754795965050719,0,0.130146862859619,0,0,0,0,0,0,0,0,-0.0872356746486716,-0.0720339727396769,0,0,0,0,0,0,0
