,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.292502867455153,0,0,0,0,0,0.0201573657554425,0.215840501165878,0,0,0,0,0,0,0,0.179495310366944,0.126226232161988,0,0,0,0.0291442697475048,0,0,0,0,0.0669659665085073,0.026672244432217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0296769913691362,0.0283050318702065,0,0,-0.0354050703667527,0,0.146323304536444,0
X002142.CH.EQUITY,0,0,0,0.152156801306054,0,0,0,0.127316888395761,0,0.121226103297076,0.232881116859783,0,-0.112110702871218,0,0,0,0,0,0,0,0,0,0,0.0353603097352823,0,0,0,0,0,0,0,0,0,0,-0.0382828833380126,0,0,0,0,0.0686410713574139,0,0,0,0,0,0,0,0,0,0.21781066187314,0
X600000.CH.EQUITY,0,0,0,0,0.0525432346606759,0.136987088961805,0,0,0.0318975183272145,0,-0.0136937397322745,0,0,-0.0851649873027402,0,0,0.344706161237659,0,0,0,0.458191255106967,-0.0666669018695686,0,0,0,0,0,0,0,0,0,0,0.00542898300143415,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,-0.0430753053174769,-0.0700595942826671,0
X600015.CH.EQUITY,0,0.149403255311417,0,0,0,0,0,0.0739673433302701,0,0,0.416124919148457,0,0,0.154264747946708,0,0,0.132332447239578,0,0,0.0123485841193629,0,0,-0.0351637548650601,0,0.195335746477077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124702091797374,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.175300379971352,0.134586119440788,0,0,0,0,0,0,0,-0.0597161448857198,0,0,0,0,0,0.132136087083831,0,0,-0.199188637156769,0,0.0733776081048689,-0.0939880304175859,0,0.324719050484657,0,0.437598239303903,-0.0657465764201948,0,0,0,0,0,0,0,0,0,0.286005062627008,0,0,0,0,0,0,0,0,0,0,0,-0.299829852723901,-0.0364336265328563
X600036.CH.EQUITY,-1.73472347597681e-18,0.125054581651396,0.115505430855736,0.220821403386091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0811911270052324,0,0,0,0,0,0.0118760319045821,0,0,0,0,0,0,0,0,0,0,0,0.0182630403637348,0,0,0,0,0,0,0,0.215650645415139,0,0,0,0,0,0,0
X600919.CH.EQUITY,0.0160162593418677,0,0,0,0,0,0,0,0.357280586332581,0.176259044993285,0,0.0408369576278729,0,0,0,0,0,0,0,0,0,0,0.0304291033247485,0,0.198324897783474,0,-0.0216965821992215,0.321943701139475,0,0,0,0,0,0,-0.0721756369648734,0,0,0,0,0,0,-0.0541305354454954,0,0,0,0,0,0,0,0,0.133732033301022
X600926.CH.EQUITY,0,0.0848731089590663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506131621595034,0.468106365320894,0,0,0,0,0,0.000652625758367995,0,0,0,0,0,-0.0974391711394728,0,0,0,0,0,0,-0.0747888424782913,0,0,0,0,0,0.0107187228689636,0,0,0,0,0,0,0,-0.0742252179240351
X601009.CH.EQUITY,0,0.140306880884605,0,-0.104598478430171,0,0,0,0.00161062565684442,0,0.0366213340060875,0,0.288760769393806,-0.156822658640021,0,0,0,0,0,0,0.0310989403838198,0.427866098871779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682086065914078,0,0,-0.017457204939317,-0.0656368578292855,0,0
X601166.CH.EQUITY,0.12418710896255,0,0.194382653621527,0,0,0.222840542464808,0,0,0,0,0.0894816912797311,0.293632528968867,0,0,0,0.0132201695213876,0,0,0,0,0,0.292169756701013,0,0,0,0,0,0,0,-0.0842812619146201,0,0,0,0,0,0,0,0,0,0,0,0.0855885639525319,0,0.0328587135891028,0,0,-0.0894081865762238,0,0,0,0.028639059869018
X601169.CH.EQUITY,0,0,0,0,0,0.143797962512194,0.37736008190016,0,0,0.14340515429896,0,0,0,0,0.0996315340976238,0,0,0,0,0,0,0.0404590236125043,-0.0344023979092157,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.234754169636541,0,0,0,0,0,0.177423033408446,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0.11565172947122,0.249434515637299,0,0,0,0.0719220926521761,0,0,0,0,0,0,0,0,0.333055852926256,0.0314711383886674,0,0,0,-0.0549931755403158,0,0,0,0,0,0,0,0,0.312218827655481,0,-0.0213644312510492,0,0,0,0,0.0368815425498148,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110439041448794,0,0.0466290594166609,0,0,0,0,0.262013602688818,0,0,-0.0301144562645717,0,0,0,0,0,0,0,0,0.146459565136572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216166355707252
X601328.CH.EQUITY,0,-0.135398925405776,0,0.0992659585030032,0,0.130847944502692,0,0,0,0,0,0.228255443792,0,0,0,0,0,0,0,0,0.0783319185134756,0.165477053533435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00241770137278453,0.0272766470938311,0,0,0,0.0175106050740637,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0.0723217117815359,0,-0.044227989973484,0,0,0,0,0,0,0.00884633460905539,0,0,0,0,0,0.00630156744973888,0,0.67959295651082,0,0,0.00920418301339549,0,0,0,0,0,-0.0362624390059258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0743431455565941,0,0,0,0,0,0,0,0
X601577.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.276331238153722,0,-0.0499705340623561,0,0,0,0,0,0,0.186123861864226,0,0,0.116547645156902,0,0.113242991777075,0,0,0.077040606909493,0,0,0,0,0,0,0,0,0,-0.34563034421584,0.746569594927959,0,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0.249753337877116,0.070941887653808,0.106670229831135,0,0,0,0,0,0,0,0,0,0.361773259347632,0,0,0.0386326461163402,0,0,0,0.132454861929732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00987631745647778,0,0,0.030913254309627,0,0,0,0,0,0,0,0,0,0
X601838.CH.EQUITY,0,0,0,0,0,0,0.176579048217256,0.469737658576351,0,0,0,0,0,0.0738620431388635,0.0419237250141416,0,0,0,0,0,0,0,0,0,0,0,0.0212481158634173,0,-0.0605769130237872,0,-0.0681074239926437,0,0,0,0,0,0,0,0,0,0,0,0.0278122734282321,0,0,0,0,0,0,0,-0.143795964541033
X601939.CH.EQUITY,0,0,0.125385584077709,0,0,0,0,0,0,0,0,0,0,0,0.329758298590885,0.0160499901794582,0.134402557040369,0,0,0,0.00747782718580039,0,0.183729570777688,0.236890899584454,0,0,0,0,0,0,0,0,0,0,0,0,-0.0899638506752598,0,0,0,0,0,0.0302714021395274,0,0.0329973496182097,0,0,0,0,0,0.0920776822000757
X601988.CH.EQUITY,0,0,0.00780300322021462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150322144943032,0.100374394067941,0,0,0,0,0,0,0,-0.093732221506959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601997.CH.EQUITY,0,-0.0278190825288571,0.136054417667077,0,0,0,0,0,0.333677081235629,0,0,0.273422572530852,0,0.0773276682677175,0,0,0,0,0.0434816899867754,0,0,0.047847734462815,0.16883646124461,0,0,0,0,-0.0723348186416061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314718536171379,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,-8.67361737988404e-19,0,0,0,0.0516164812071313,0,0.0274399363170852,0,0.10644041935911,0.0860373778761878,0,0.172644333601257,0.0542648265002903,0,0.158030981304595,0,0.117098880792438,0,0,0,0.00515510133902017,-0.0716121269379651,0,0,0.0741903886575097,-0.0680039098051792,0,0,0,0,0,0,0,0,0,0,0,0.139696376952302,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0.0342693217653372,0,0.10107845675134,0.0391221893568721,0.021464905375995,0,0,0,0,0.156227475913567,0,0.428359381534294,0,0,0,0,0,0,0,0,0,-0.0369430931226388,0.0411592226380294,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0733625664569796,0,0,0,0,0
X601916.CH.Equity,0.141155457923177,0,0,0,0.0999527318370087,0,0.0657931457331136,0,0,0,0.309660201983151,0,0,0,0,0.115288717370783,0,0.0925326589516783,0.0207658246678717,0,0.206138849181023,0,0,0,0.106755017613953,0,0,0.107038748431956,0,0,0,0,0.161020124316063,0,0,0,0,0,0,0,0,0.0427857035479911,0,0,0.0346588900475862,0,0,0,0,0,0
X601077.CH.Equity,0,0,-0.20157720493921,0,0.0165270885951949,0,0.184775313431138,0,0,-0.140664138447276,0.0947375676095835,0,0,-0.183630805829133,0,0,0,0,0,-0.0177898358287439,0,0,0,0.533991217214379,0,0,0.324215803966776,0,0,0,-0.0737766229461994,-0.177065715178276,0,0,0,0.311012292741707,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,-0.0870542123409571,0.0884019414579809
X11.HK.EQUITY,0,0,0,-0.0458517600960539,0,0,-0.0335385961781838,0,0,0,0,0,0.0875534291933684,0,0,0,-0.0592483172193682,0,0,0,-0.00294685507428229,0,0,0,0,0,0,0.482349921347512,0,0.0412022318348957,0.11462731864423,0,0.0254158445758204,0,0,0,0,0,0,0,0,0,0,0,0.192269808342458,0,0,0,0,0,-0.119606335799286
X2388.HK.EQUITY,0,0,0,0,0.315292705882252,0,0,0,0,0,0,0,0,0,-0.37217930205033,0.0250237537490884,0,0.215900092500455,0,0,0,0,0,0,0.17025733812451,0.410589215133528,0,0.0491413135785418,0,0,0,0.0385709130557512,0,0,0,0,0,0,0,0,0,0,0,0,0.0588301645994254,0,0.0434553386322976,0,0,0.136653312862778,0
X5.HK.EQUITY,0,0,0,0,-0.0666726396143705,0,0.097843051446982,0,0,0.0826802403166253,0,0,-0.110550596722749,0,-0.0171618183513106,-0.0656381766957856,0,0,-0.0298448848036943,0,0,0,0,0,0,0.151837717415673,0,0,0,0,0,0,0,0,0.0409710185813542,0,0,-0.162221457635936,0,0,0,0,0,0,0.42897999427194,0,0,0,0,0.0506463380613296,0.25334358752768
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,-0.0704077410436335,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.0458117289746641,0,0,0,0,0,0,-0.00852891622987184,0,0.384007199869551,0.240670222144416,0,0,0.0174401217130928,0,0,0,0.0432903621558489,0.224697525687845,0,0,0,0,0,0,0,0,0,0.0378349491821324,0,0
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,-0.0354420099910937,0,-0.0225504557977979,0,0,0,0,0,0,0.0662874927020767,0,0,0,0,0,-0.0667870089962143,0,0.0840864146908171,0.0237374291122896,0,0.248731974922308,0,0,0.0663971840346192,0.277263793264175,0.0908985323750032,0,0,0,0,0,0,0,0,0,-0.0898509809952719,0,0.020307581816316,0,0.050890124090819,0.0982875884816641,-4.33680868994202e-19,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0442492317461313,0,0,0.62001023211814,0,0,0,0.151923862067111,0.0698434041458989,0,0,0,0,0,0.0690059519660682,0,0.133055295712109,0,0,0,0,0,0,0,0,0
X2891.TT.EQUITY,0,0,0,0,-0.133950095061603,0,0,0.0580804835035639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201651867493769,0,0,0,0,0,0,0.198723782690764,0,0,0,0.287739315083083,0,0,-0.0959507191391367,0,0,0,0,0,0,0,0,0,0.209960048358039,0,0.315791727118392,0,0
X2892.TT.EQUITY,0,0,0.00422353430451574,0,0,0.07110682390624,0.0329286467939378,0,0,0,0,0,0,0,0.101045530094882,0,0,0,0,0,0,0.0473594957241927,0,0,0.0152050149061117,0,0,0,0.0239566909774179,0.111299006938539,0.266499201835536,0.223626329621846,0,0.337157787772204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0.00919402787144983,-0.13910414668815,0,0.158691441410816,0.04753041770849,0,0,0,0,0,0,0,0,0,0,0.0183299689547799,0,0,0,0,0,0,0.187236421735769,0.115907653504846,0.173017499129215,0.0930942207267436,0,0,0,0,0,0,0.217019903736361,0,0,0,0,0,0,0.131382747225982,0,0.0227819895801599,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.1008994815623,0,-0.0756389940097435,0,-0.183652743663835,0,0,0,0,0,0,0,0,-0.0222218370206314,0,0,0,0,0,0,0,0,0,-0.0354465811702645,0,0.00980431182968828,0.28031263596856,0.0224515636413187,0,0,0.463049763722036,-8.67361737988404e-19,0,0.00612847968703383,0,0,0,0,0,0,0
