,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.0853427088652113,0,0,0,0,0,0,0,0,0.279398158928404,0,0,0,0,0,0,0,0,-0.0504421258499147,0,0.0163482832590306,0,0.104056506143931,0,0,0,0.147308206535391,0,0,0,0,0,0,0,0,0,0,0,0.132299330750006,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.17223843287027,0,0,0,0,0,-0.0358313994415766,0.114495063380259,0.050269655537011,0,0.00684607135979062,0,0,0,0,0.280844720422259,0,0,0,0,0,-0.0456490829504289,0,0.0154540326888153,0,0.11330456915183,0,0,0,0,0,0,0.106953742897009,0,0,0,0,0,0,0,0,0,0.0579421457120082,0,0,0,0,-0.149650695853938,0
X600000.CH.EQUITY,0,0.0405800474599039,0,0,0.0473791895221712,0.198095687472018,0.0691719578952638,0,0,0,0.19274667423099,0,0,0.0895736600562725,0,0,0,0,0,0,0,0.0415432575059014,0,0,0.0818376185246548,0,0,0,0,0,0,0,0,0.134331888019313,0,0,0,0,0,0,0,0,0.0715541198378182,0,0,0,0,0.0869330424917736,0
X600015.CH.EQUITY,0,0,0,0,0.135703531718153,0,0,0,0,0.428097685631571,0.118383077541982,0,0,0,0,0,0,0,0.0919524329674556,0,0.0233220812264783,0,0,0,0,0,0,0,0,0,0.0191098276391956,0,0,0.0666099245831029,0,0,0,0,0.0216762797221035,0.0631831633444737,0,0,0,0,0.0120800266129024,0,0,0,0
X600016.CH.EQUITY,0.0420695466949637,0,0.0262753465698028,0.359953810926476,0,0,0,0,0,0,0.0296525149330365,0,0.0273744059198609,0.0208267306818931,0.0371813832614094,0,0.354074960859783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0741659118921233,0,0.0193207574383517,0,0.0640632539977226,0,0,0,0,0.078233485743759,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.305011804509339,0,0,0,0.272091511937278,0,0,0,0,0,0,0,0,0,0,0,0,0.0403944693132967,0,-0.0637123630643245,0,0,0.0780552939062857,0,0,0,0,0,0,0,-0.0429058087662379,0,-0.0472394066054096,0,0,0,0,0.300603618350022,0,0.0348296346420729,0.178191543623176,0,0,0,0.0793584527462471,0,0
X600919.CH.EQUITY,0,0,0,0,0,0.378622051822253,0,0.101637594541847,0,0,0,0,0,0,0,0,0.132558082940725,0,0,0.215144696077125,0,-0.00960523737085807,0,0,0,0,0.124992527519301,0,0,0,0,0,0,0.357506260164525,0,0.0868779591657536,0,0,0,0.187865498774195,0,0,0,-1.12528287165641,0,0,0.0400997696078614,0.0782102241309994,0
X601009.CH.EQUITY,0.571564504362118,0,0,0,0,0,0,0,0,0,0,0,0,0.079717056509422,0.160000970598127,0.0018935544976641,0,0,0,0,0,-0.22645095019312,0.138378898703881,0.0476044992104876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186348891426531,0,0,0,0,0,0.0809927960006267,0,0,0
X601166.CH.EQUITY,0,0.304878448977746,0,0,0,0.046556809537767,0,0,0,0,0,0,0,0,0,0,0.456764796894468,0,0,0,0,0,0,0,0.0987250416441146,0.0327476925346876,0,0,0,0,0,0,0,0,0.100530907160251,0,0,0,0,0,0,0,0.338348769888578,0,0,0,-0.133190975222495,0,0.0762599497818093
X601169.CH.EQUITY,0,0,0,1.02047939336375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03337835496374,0,-0.268545511219894,0.0198955257279355,0,0.171955411714132,0,0,0,0,0,0,0,0,0,0.176615892304355,0,0,0,0,0,0,0,-0.336803522928019,-0.120492572539345,0,0,0.0792254258059313,0,0
X601229.CH.EQUITY,0.285286545946729,0.0977278860740983,0,0.0654084255995967,0,0,0.0416211228022546,0,0,0,0,0,0,0,0.062007298612319,0.528410492490203,0,0,0,0,0,0,0,0,0,0.0634303665238455,-0.0497725896819017,0,0,0,0,0,0,0,0.106662507388282,0,0,0,0,0,-0.0214753343835259,0,0,0,0,0,-0.0283278153178966,0,0
X601288.CH.EQUITY,0,0,0,0,0.222684614939498,0,0,0,0,0,0,0,0,0.226634643860928,0.135127307378392,0,0.00995472836332462,0,0,0,0.0478660438451172,0,0,0,0.0193390503528533,0.0260687184587701,0,0,0,0,0,0.106204395656875,0,0,0,0,0,0,0,0,0,0.177931912582554,0,0,0,0,0,0.0547882184708385,0.00186158357496685
X601328.CH.EQUITY,0,0,0,0,0.284208525753979,0,0,0,0,0,0,0.251894742904552,0,0,0,0.03903200282268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134585482878916,0,0,0,0,0,0,0,0.0427048127004859,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0.06217173996455,0,0.181033861905168,0,0,0.218143470604542,0,0,0,0,0,0,0,0,0.341922083321293,0,0,0,0,0.224484137288797,0,0,0,-0.0449719036659192,0,0,-0.125527618659046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125187747523411,0,0,-0.00467227752574517
X601818.CH.EQUITY,0,0,0.0578033993701492,0,0.14688284456333,0,0,0,0,0,0.143648813687281,0,0,8.67361737988404e-19,0,0,0,0.301828139812038,-0.123565186028487,0,0,0,0,0,0.0482168593665263,0,0,0,-0.0154908796558921,0,0,0,-0.000862607918391219,0,0,0,-4.33680868994202e-19,0,-0.108081876889338,0,0,0,0,0,0,0,0,0,0.0331967066960754
X601939.CH.EQUITY,0,0.3054778466909,0,0,0,0,0,0.0989916681684006,0,0,0.136980376166063,0,0.0926822775771684,0.229075317814995,0,0,0,0,0,0,0,-0.0973657975855565,0.138062572872542,0,0,0,0,0,0,0,0,0,0.178251513451407,0,0,-0.421446324813837,0,0.459713582562656,0,-0.0289625623798179,0,0,0,0,0,0,-0.0819432887129731,0,0.0652979821996655
X601988.CH.EQUITY,0,0.0246339792166633,-0.170050563783685,0,0.212473924847245,0,0,0,0.184836777377164,0,0,0.345490248093552,0,0.276921948921589,0,0,0,0,0,0,0,0.00376771570016561,0,0,0,0,0,0,0.0226838378436547,0,0,0,0,0,0,0,0,-0.047570764121398,0.0111548504826652,0,0,0.0663374481097785,-0.0184272687070847,0,0,0.140200079431789,0,0,0.0513342577603802
X601998.CH.EQUITY,0,-0.0137468726689569,0.298216447963609,0,0.243108103636738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155573862543489,0.0749412506818633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804411484222518,0,0,0,0,0,0,0,0,-0.073469648356083,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.032018904086269,0,0,0.324719690059782,-0.31528975923842,0,0,0,0,0.35147313204746,0,0,0,-0.109508707468869,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0787776128590437,0,0,0,0,0,0,0,0.249931126578682,0,-0.0233196952540309,0,0
X2388.HK.EQUITY,0,0,0,0,0,-0.0916877331260854,0.0376367390491108,0.0598010102245548,0,0,0,0,0,0,0,0,0.123393239024139,0,0.304071268780361,0,0.683735677307901,0,0.115788917915004,0,0,0,0,0,0.0851957620785218,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.132631775986916,0
X5.HK.EQUITY,0,-0.0340405943952198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327051523433552,0,0.415113536817821,0,0,0,0,0,0.201847573924756,0,0,0,0,0,0,0,0.06988838176368,-0.0571044216967489,0,0,0,-0.191615664381079,-0.244216647888097,0,0,0,0,0,-0.0486587833042791,0.249479168788165,0,0.119016729764587
X2884.TT.EQUITY,0,0.0946504600534618,0.14004093897742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0590759546136023,0,-0.122539682400202,0,0.173711408511364,0,0,0,0,0,0.0761222320556499,0,0,0,0,0.0341237256263041,0,0,0.19682184599584,0,0,0,0,-0.0567203969553683,0,0,0,0.0228662491838684,0.131337281625365,0,0
X2886.TT.EQUITY,-0.117161470168062,0,0,-0.0720071971802272,0,0,0,0,0,0,0,0,0,-0.0705943486683133,0,0,0,0,0,0,0,0,0,-0.00359509198687507,0.815693362554324,0.0884840735388194,0,0,0,0,0,0,0.010348253472996,0,0,0,0,0,0.103944595840586,0,0,0,0,0,0,0,0,0.0977634520374267,0
X2891.TT.EQUITY,0,0.138656952962294,0.0401334396646363,0,0.293181241481091,0,0,0,0,0,0.17890200511551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349503398584728,0,0,0,-0.78134765956166,0,0,0,0,0,0,0,0,0,0.20766082733506,0,0,0,0,0,0.222916453578325,0.157049630693613,0,0
X2892.TT.EQUITY,0,-0.0476217284895587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114955448756505,0.0910625025237647,0,0.0501595825026204,0.7270539817111,0.0543513550877982,0,0,0,0,0,0,0,0,0,0,-0.0467315218900019,0,0,0,0,0,0.0876006019463483,0,0,0,0,0.02723854018426,0,0,0.0679872375549625
X5880.TT.EQUITY,0,0,0.0112843575797043,0,0,0,0,0,0.439802237404542,0,0,0,0,-0.0387772667168941,-0.393633426290642,0,0,0,0,0,0,0,0.304627599284758,0,0,0,0,0,-0.0559986082519057,0,0,0,0,0,0,0,0,0,-0.0555828573670965,0,0,0,0.00281312899412948,0,0,0.501199053166008,0.0730955707532103,0.162924081697291,0
X000166.CH.EQUITY,0.0118174162927478,0,0,0,0,0,0,0,0,0,0,0,0,0.030555539198259,0,0,0,0,0,0,0,0,-0.0251900903652486,0,0,-0.0325000295306697,0,0.143075645833929,0.0926948044756018,0.135494100955199,0,0,0.342600823870763,0.152911393382491,0,0,0,0,0,0.0518850753199457,0.0672805179526758,0.0643337695038151,0,0,0,0,0,0,-0.0113444385998511
X000776.CH.EQUITY,0,-0.0321197047617058,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0383569348712013,0.0857639066363657,0,0,0,0,0,0,0,0,0,0.09492650337868,0,0,0,3.46944695195361e-18,0.166370510149874,-0.0361391704993449,0.072156348873674,-0.027855094298456,0,0.432274471023796,0,0,0,0.155215805919327,0,0,-3.46944695195361e-18,0,0,0,0,0
