,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.0694744705877627,0,0,0,0,0,0.192329342716169,0,0,0,0,0.0909684109478874,0,0.0976150122993443,0,0,0,0,0,-0.0218077578485128,0,0,0.251118135222506,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.0384467346038773,0,0,0,0,0,0,0.24933857852943,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.219878573133195,0,0,0,0,0,0.179491329476546,0,0,0,0.189737507934114,0,-8.67361737988404e-19,0,0,0,0,0,0.226910123690699,-0.0364031933014226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112338939080617,0,0,0,0,0,0.183663814068963,0,0,0,0,0
X600000.CH.EQUITY,0.0692179384066893,0,0,0,0,0,0,0,0.130675804918456,0,0,0,0,0.0530561474620762,0,0.0905733652009417,0.0626017082056691,0.0490341541876326,0,0.0652056483612548,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156633976364727,0,0,0,0,0.0135180728492403,0,0.0534632240843086,0.0668568412234554,0.122539749296085,0,0,0,0
X600015.CH.EQUITY,1.38777878078145e-17,0,0.129276725912736,0,0,0,0,0,0.328833097143999,0.317365946113059,0,0,0.12479934879601,0,0.0311954922751928,0,0,0,0,0,0,0.135416470898272,-0.129895104783123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294727980341949,0,0,0,0,0,0,0,-0.0687311041348792,0,0
X600016.CH.EQUITY,0,0,0.212520190021691,0,0,0,0,0,0.157562976353955,0.103292516522519,0,0.0815682731617824,0,0,0.0602042259521691,0.111252094149471,0.18985847815588,0,0.0498155592576368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-2.77555756156289e-17,0,0,0,-0.00751208481187034
X600036.CH.EQUITY,0.191240871317249,0,0,0,0,0,0,0,0.180690773115574,0,0,0,0,0,0.0666198814642466,0,0,0,0,0,0,0,0,0,0,0,0.253210223705104,0,0,0,0,0,0,0,0,0,0,0,0.144196186102805,0,0,0,0,0.0677562901977167,0,0,0.0308479146845188,0,0,0,-0.00844702436684309
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.178612525720124,0,0.064742843964664,0,0.0782625370977772,0,0,0,0.0233324356043661,0,0,0.0825629700861501,0.0510025802442763,0,0,0,0,0,0,0,0,0,0,0,0,0.15128009869725,0,0,0,0,0.0465414443401102,0,0,0,0,0,0,0,0,0.0175083140416677,0,0,0,0
X601009.CH.EQUITY,0.219193125123049,0.0275970251958536,0.0509154460564101,0,0,0.0650478687212979,0.207151886315411,0,0,0,0,0,0,0,0,0,0,0,0,0.151605735747104,0,0,0,0,0,0,0,0,0,0,0.0602052116106585,0,0,0.0679887720288829,0,0.0776807499737103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0286982711336304,0.106426238599564,0,0.429974270832391,0,0,0,0.0499676752319065,0.00461693533830644,0.0031393899805924,0.0154617758551071,-6.93889390390723e-18,0.224134681468138,0,0,0,0.0173366130188517,0,0,0,0,0,0.0546530156368798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024171942804041,0,0,0
X601169.CH.EQUITY,0,0.0724802427924279,0,0.409101092898881,0,0,0.246632719424751,0,0,0,0,0,0,0,0,0,0,0,0.0152310167106316,0.116632993117977,0,0,0,0.0308649342681103,0.0810468686883064,0,0,0,0,0,0,0,0.0504225812867372,0,0,0.0336545343143777,0.00226985393467182,0,8.67361737988404e-19,0.0606531110980942,0,0,0,0,0,0,0,0,0,0,0
