,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0.266346653147203,0,0,0,0.0384044908695749,0,0,0,0,0,0,0,0,0,0,0,0,0.234154648087328,0,0,0,0,0.0139476327265901,0,0,0,0,0,0,0,-0.025438603916747,0,0,0,0,0,0,0,0.336023855425739,0,0,0.0470624108295724,0,0.0451629093660049,0,0
X002142.CH.EQUITY,0.122901345901286,0,0,0,6.93889390390723e-18,0.228885152445526,0.132020283953705,0,0,0,0,0,0.0561414324404386,0,0,0.141586882344612,0,0,0,0.0169212399639624,0,0,-1.73472347597681e-18,0,0,0,-0.070437635430154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526456085426024,0,0.0136186370577382,0,0,0,0
X600000.CH.EQUITY,0,0,0,0.133505514160591,0,0.0236718673381511,0,0,0,0,0,0.228030985691638,0.0369705648227722,0.0686078770251661,0,0,0.21628276997763,0,0,0,0,0,0,0,0,0,0,0.0882111359317747,0,0,0,0,0,0,0,0.0816427653764133,0,0,0.0101009267234504,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.360634255236993,0,0,0,0,0,0,0,0.100702734197807,8.67361737988404e-19,0,0,0.0595963884137028,0,0,0,0.0394396289560879,0,0,0,0,0,0.441580196559329,0,0,0,0.0677604298641634,0,0,0,-0.0908112786344197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00613867037725442,0,-0.0727099804227196,-0.0746930865347715
X600016.CH.EQUITY,-6.93889390390723e-18,0,0.108143672546072,0.107820105786074,0,0,0,0,0,0,0,0,0,0,0.13507710176816,0.00855646116169216,0,0.205226245392371,0.0591480301687736,0,0.164902561222309,0,0,0.0876324162332306,0,0,0,0,0.0670048695624608,0,0.0192126462463329,0,0.0382681735560412,0,0,0,0,0,0,0.142371875648711,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.182912352613285,0.42471072937925,0.0431804126771585,0,0,0,0,0,0,0.038304403780834,0,0,0,0,0,0,0.0358068048813793,0,0,0,0,0,0,0,0,0,0.148601078683981,0,0,0,0.131002890374023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000316922852618862,0
X600919.CH.EQUITY,0,0.0451961142177904,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.146083026440598,0.0465489144294352,0,0,0,0,0,0.166419170255857,0.0445355535318252,0.00710173513878108,0,0,0,0,0,-0.000212474510336628,0,-0.0668686891797291,0,0,0,0,0,0,0,0,0,0,0.182046805863833,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0.185187196365415,0,0,0,0.0191432519234385,0.193555012627217,0,0,0,0,0,0,0,0,0,0,0,0.0772362002198067,0,0.0478788038190842,-0.0408692756099423,0,0,0,0,0,0,0,0.0199416111314275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0.100096770599891,0,0,0,0.393994154654332,0,0.357109488634069,0,0,0,0,0,0,0,0,0,0.00839781272520424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0817415492808395,0,0,0.0551268280983878,0,-0.0413282068049359,0,0,-0.147750115947723
X601166.CH.EQUITY,0,0.179077732680627,0,0,0,0.127241285738927,0,0,0.233076015372066,0,0,0,0.035007240885585,0.157746759927526,0,0,0,0,0,0.0255739888557467,3.46944695195361e-18,0.106091870293229,0,0,0,0,0,0,0,0,0,0,0,0,0.0131888572510888,0,-3.46944695195361e-18,0,0,0,0.0373828911397477,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0.162529838039609,0,0,0,0,0,0,0.0337860451917756,0,0,0.0796776589769946,0,0.311037910842869,0,0,0.0250984446651313,0.233302949820841,0,0,0,0.18585147170467,0,0,-0.0185681023411606,0,0,-0.0107331871372724,0,0,0,0,0,0,0,0,0,-0.0459171759158703,0,0,0,0,0,0,0,0,0,-0.084885562509667
