,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.12586438151352,0.152394716316274,0,0,0.09319007315082,0,0.0446260033666651,0.147370092456245,0,0,0,0,0,0.171551860376862,0,0.0331433634005077,0,0,0,0,0,0,0,0,0,0,0,0,0.183458419379794,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.0557048423204229,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.364622634664636,0,0,0,0,0,0,0,0,0,0,0,-0.0131516532869269,3.46944695195361e-18,0,6.93889390390723e-18,0,0,-0.0346771858071558,0,0,-0.278513829613222,0,0,0,0,0,0,0,-0.0579039238999847,0,0,0,-0.075179595019596,-0.123635320099596,0.0125770089946614,0.239722370492474,0,0.562131944795998,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0279190401185521,0,0,0.0614783976929941,0,0,0,0,0,0.299205329823252,0,0.181082949038268,0.208792299111919,0,0,0,0,0,0,0,0,0,0,0.0618680582126571,0,0,0.0862432153736355,0.12644850787569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.36611614159183,0,-1.38777878078145e-17,0,0.0149969060502248,0.0912546037672723,0,0,0,0,0,0,0.0281296455319349,0.0702685111014069,0,0.103117872523095,0,0.0630906568014722,0,0.0487535773550373,0,0,0,0,0,0,0,0.15883412324019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125921045769716,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.0682142764670771,0.0598219428844578,0,0,0.230456906920072,0,0,0,0,0,0.483526982091278,0,0,0.072857594555208,0,0,0,0.076380401421964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.194504195167456,0.0320977477699441,0,0,0,0,0,0,0.273006501257381,0,0,0,0,0,0,0,0,0,0.0145998753188437,0,0,0,0,0,0.0851717219265307,-0.0664730051595856,0,0,0,0,0.0926960903702889,0,0,0,0.0779518955031803,0,0,0,0,0,0,0,0,0,0,0,0.232507022803782,0.0651340178662349,-1.73472347597681e-18,0,0
X600919.CH.EQUITY,0,0,0.438362920288382,0,0,0,0,0,0.0713941242449735,0,6.93889390390723e-18,0,0,0,0,0.2914976049378,0,0,0.0151088011827189,0,0,0,0,0.0697794686281171,0,0,0,0,0.0184162921278173,0,0,0,0,0,-0.0264007758243128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139276986224882
X601009.CH.EQUITY,0.0121561473226102,0,0.00188333883812651,0.177429279049513,0,0,0,0,0.00317992717403828,0.298346297757672,0.0860722814414411,0.0258730100952034,0,0,0.210883677153187,0,0,0,0,0,0,0,0,0.0224083650982819,0,0,0,0,0.0493969536581795,0,0,0,0,0,0,0,0,0,0,0,0.106873054125778,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.364517594849649,0,0.420183215602167,0,-6.93889390390723e-18,0,0,0,0,0.0589491346034109,0.148183980342443,0,0,0,0,0,0,0,0.0794245487640198,0,0,0,0,0,0,0,0,-0.0802673670520982,0,0,0,0,0,0.057449865898086,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0
X601169.CH.EQUITY,0,0,0.149493368429364,0.102843017859057,0,0,0,0,0,0,0,0,0.359876415576945,0.14088703780746,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.138439785679417,0,0,0,0.093597779062992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
