,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0.151174533847196,0,0,0.177606120266786,0.110605591215999,0,0.101388346822702,0,0,0,0,0,0,0,0.564501150496601,0,0,-0.0898528037018083,0,0.00159593336958643,0,0,0,0,0,-0.22189238187392,0,0,0,0,0.0832592975279458,0,0,0,0,-0.17610375207411,0,0,0,0,0,0,0,0,0,0,0.0268230451230484,0,0
X002142.CH.EQUITY,0,0,0,0,3.46944695195361e-18,0.228959945986277,0,0.105180355456912,0.0783879891301053,0,0,0,0.171395657117485,0,0,0,0.303969648497853,0,0,0.0381951575178909,0,0,0,0,0,0,0,0,0,0.0133742837325377,-0.0864824841685819,0,0,0,0,-0.149155763449749,0,0,-0.111064542424236,0,0,0,0,0,-0.122738640242018,0,0,0,0,0,0
X600000.CH.EQUITY,0.131651727333,0,0,0,0,0.604669848772614,-0.441273413853497,-0.112447592853757,0,0,0,0,0,-0.0904427049951119,0,0.171485632282692,0.0450293527226442,0,0,0,0.0784967264942272,0,0,0,0.156081636891635,0,0,0,0,0.123520688779392,0,0,0,0,0,0,0,0,0,0,0.319357035975613,0,-0.181519349428856,0,0,0,0,-0.0516512230198121,-0.0548144995153716,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.107798868816312,0,0,0,0,0,0.0709435437408679,0,0,0,0.129911671276037,0,0.167633944030009,0.375085380691719,0.0213779468302205,0,0,0,0,0,0,0.00167684764455658,0,0.0418074564121423,0,0,0,0,0,0,0,0,0,-0.0706698588633685,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0211313589565183,1.38777878078145e-17,0.317131851212201,0,0.00527138795474413,0.301579445907921,0.293143489788213,0,0,0.131158978795964,0,0,0,0.14223485803325,0,-0.0872778470865507,-0.0334396452879264,0,0,0,0,0,0,0,0.0443863031518494,0,0,0,0,0,0,0,0,0,0,-0.098842936958566,0,0,0,0,0
X600036.CH.EQUITY,0.194494539928195,0,0.218799615968245,-0.0463057949639444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32758606792874,0,0,0.0713112476034633,0,0,0,0
X600919.CH.EQUITY,0.651459302805903,0,0,0,0,0,0,0,0.0110194484640137,0,0,0,0,0,6.93889390390723e-18,-0.100130839363623,0,0.0164269772279329,0,0.104851082680684,0,0.362736375526733,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.210338196328566,0,0,0,0,0,0,0,0,0,0,0,0,-0.0881997733576429,0,0,0,0,0
X600926.CH.EQUITY,0,0.386988207628272,0,0,0,0,0.0874542738034453,0,0,0,0,0,0.0581895629908911,0,0,0,0,0.330073761325375,0,0,0,0,0,0.0195098314766933,-0.237220361780765,-0.0377143488963286,0,3.46944695195361e-18,0,0,0,0.0398790106711307,0,0,0,0,0,0,0,0,0.306290807610472,0,0,0,-0.186646232588169,0,0,0.0335003729794346,0,0,0
X601009.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.292443661253846,0,0,0,0,0,0,0.346060407291556,0.0841511951298264,0,0,0,0,0.0919470625143739,0,0,0,0,0,0,0,0.121697073315001,0,0,0,0,0,0,0,0,0,-0.0470861348762697,0,0,0.0713572989612569,0,0,-0.0463120955175514,0,0,0,0
X601166.CH.EQUITY,0.179684292543568,0,0,0,0,0,0,0,0.00731073866960906,0,0,0,0,0.336595422828565,0,0,0.039937270871523,0,0,0,0.230358430610114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0981029884105007,0,0.00597770726215256,0,0,0,0,0,0,0
