,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0.218811771620403,0,0,0,0,0,0,0.047723973876445,0,0.171566197608326,0,0,0,0.0429532204638642,0.0600399181756628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.131920700141982,0.0342079674007398,0,0,0,0,0.00732185915965777
X002142.CH.EQUITY,0.243748007077427,0,0,0,0,0.169573295886454,0,0,0.0154198013716955,0,0,0,-0.0647903438877834,0,0,0,0,0,0,0,0,0,0.52329731892936,0,-0.103173521753934,0,-3.46944695195361e-18,0.0963823333786531,0,-0.103340724732854,0,0,3.46944695195361e-18,-0.0172201508919557,-0.0213021230061128,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228578117520882,0,0,0.0612191532577099
X600000.CH.EQUITY,0,-0.053404182779613,0,0,0,0,0,0.0465591948656524,0,0,0,0.215606370688621,0,0.0676649452114269,0,0,0,0,0,0,0,0,0,0,0.38737093423788,0,0,0,0,0,0,0,0,0,0.12757456888158,0.0889343610783519,0,0,0,0,0,0,0,0.171311367162231,0,0,0,-0.0164858733881915,0,0,-0.0459919849145985
X600015.CH.EQUITY,0,0,0,0,0.172744737644474,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.125085352726344,0.220550501864106,0.0331661158793214,0,0.208476424889248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146426373899409,0,0.169232399160705,0,0,0,0,0,0,0.0567263818286944,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446332161941685,0,0.0550402739606612,0,0,-0.0871167089715596,0.0500097233797598,0.362717430344128,0,0,-0.0212062393958583,0,0,-0.00563642569401485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141287056682525,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.074155910592987,0,0,0,0,0,0,0,0,0.0471776220808943,0,0.258601369707829,0.236703770063764,0,0,0,0.21157511787807,0,0,0,0,0.234297922825754,0,0,0,0,0,0,0,0,0,0,0.0350290955490588,0,0,0,0,0,0,0,0,0,0,0,-0.140675035488072
X600919.CH.EQUITY,0,0.091467099369135,0,0,0,0.0444660940120418,0,0,0.11309571135884,0,0.201337887967853,0,0,0,0,0,0,0.0428493716017833,0.0270920543255666,0,0,0,0.389664782671633,0,0,0,0,0,0,0,0,0,0,0,0.0396161307155633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0.436048549587477,0,0,0,0.0688067335826884,0,3.46944695195361e-18,0,0,0.116945603286671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267409146918812,0,0,0,0.0773413550003747,0.0472544230480257,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.00382259184038828
X601009.CH.EQUITY,0,0,0,0,0,0,0.250702628531905,0,0,0.308222416423823,0,0,0.118568623301891,0,0,0,0,0,0,0,0,0,0,0.0264738817632908,0,0.0864061005541832,0,0,0,0,0,0,0,0,0.157772574612402,0,0,0,0,-0.18125588433209,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.242653277350682,0,0.149163943406251,0,0,0,0,0,0.388984583548431,0,0,0,0,0,0,0,0.118293441436342,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.0679141848619007,0,0,-0.104124697569394,0,0,0,0,0,0,0,0,0,0,0,0.063468230579418,0,0,0,0,0,0,0,0,0,-0.127524945957669
