,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0,0,0.338134312671685,0,0,0,0,0,0,-0.0637559427597009,0,0,0,0,0,0,0,0,0,0,0,-0.0782232341566374,0,0,0,0.0239390491644464,0,0,0,0,0,0,0,0.0143729717445653,0,0,0,0,0,0.372161565610947,0,0.0136015349549254,0,0,0,0,0,0.0790430517714743,0
X002142.CH.EQUITY,0.19824032317042,0,0,0,0.0134779840777329,0.196076367299371,0,0.0680030526576,0,0,0,0,0,0,0,0,0,0,0.0244026237849062,0,0,0.255361981163318,0.0481679473976971,0,0,0,0,0,0,0,0.14149881309485,0,0,0,0,0,-0.0674596279102549,0.0946730582735954,0,0,0,0.179896823652131,0,0,0,0,0,0,-0.0615566449611208,-0.0238474060038786,0,0
X600000.CH.EQUITY,0.0857388823162816,0.0271292059211107,0,0,0,0,0,0,0,0,0,0,-0.0498786749711454,-0.0533348228435831,0,0,0.783785301539236,0.0302376512206242,0,0,0,-0.148102378513202,0.0928630543405618,0,0,0,-0.0531832326758508,0.0754077822840996,0.0297798152469243,0,0,0,-0.0893806483576699,0,0,0,0,-0.0676694633312205,0,0,0.0205494885567429,0,0,0.304061303301484,0,0.0409413696515357,0,0,0,-0.142003686781781,-0.140419151696936,0
X600015.CH.EQUITY,0,0.340394382917294,0,0,0,0,0,0,0,0,0.260691246825374,0.0567732932026783,0,0,0,0,0.184735520611126,0,0,0,0.0809184606906198,0,0,0,0,0,0,0,0,0,0,-0.0323619813737536,0,0,0,0,0,0,0.871291159256852,0,0,0,0,0,0,0,0,0,0,0,0.127261095565505,-0.0255020074899219
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0.0479229281329572,0,0,0,0.274312268963703,0,0,0.0692725240625292,0,0.195701596500878,0,0.114689377396405,0.0102531924601938,0,0,0,0,0.00126218264846838,0.0176582377672947,0,0,0,0,0,0,0,0.235990776694152,0,0,0,0,0.128393798250237,0,0,0,0,0,0,0,0,0,0.055840804102856,0,0
X600036.CH.EQUITY,0.503539225536269,0.0301273848764804,0,0,0,0,0,0,0,0,0,0,0,0.0144030918016339,0,0,0,0,0,0,0,0,0.070097799473101,0,0,0.0993320195040847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122258605132962,0,0.142314936982878,0,0,0,5.42101086242752e-20,0,0,0,0
X600919.CH.EQUITY,0.0486225341379665,-0.106572002205123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342852588265919,0,0,0,0,0,0,0,0,0.0870599692486015,0,-0.167237184358121,0,0,0,0,0,0,0,0,0,0.376603812944719,0,0,0,0,0,0.472998114319011,0,0,0,0,0,0,0,-0.101740042284841,0.0880301930364765
X600926.CH.EQUITY,0.0501716824471994,0.224479730512562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290795376447731,0,0.26679899529017,0,0,0,0,0,0,0,0,-0.0589690450228387,0,0,0,0,0.009701046875738,0,0,0,0,0,0,0,0,0,0,0,0.0225223758523418,0,0,-0.0030120487729902,0,0,0,0,-0.0597717753290549
X601009.CH.EQUITY,0,0,0,0,0,0,0,0.0665948936182229,0,0,0,0,0,0,0,0.0157444540775635,0,0.203822623558162,0.0465067107152011,0,0.0559391256851,0.0374108742147125,0,0,0,0,0.0965270912087301,0,0,0,0,0.0686817871792869,0,0.0560005863559851,0,0,0,0.0855360763771736,0.0423927540640903,0.0732365806608433,0.285405120726447,0,0,0,0,0,0,0,0,0.0710956349854858,0,0
X601166.CH.EQUITY,0.0342058032367171,0,0.069487078146217,0.020280593396344,0,0.117893352896659,0,0,0,0,0.0362320208751797,0,0,0,0,0.0528829808585695,0,0,0,0,0,0,0,0.0013400150272275,0,0,0.0935054050371445,0,0,0,0,0,0,0.112203231963655,0.381316017533566,0,0.0533722524115732,0,0,0,0,0,0,0,0,0,0.0210091507142865,0,0,0,0,0
