,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0,0,0.172733176960158,0.130332793677501,0,0,0.277314965075907,0,0,-0.0195331915368362,0,0,0.261859466288882,0,-0.104578475691234,0,0,0,0,0,0,0,0,0,0.0699650026843271,0,0,0,0,0,0.101652539677613,-0.124711761585198,0,0,0,0,0,0,0.14423856962322,0,0,0,0,0,0,0,0,0,0.101573138065598
X002142.CH.EQUITY,0.205094726308326,0,0,0,0,0.00794737827228674,0,0,0.0122526035803702,0,0,0,0,0.199016089566923,0.281804578905189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176387031905007,0,0,0,0,0,0,0,-0.246425291277416,0,0,0,0,0.180295936636503,0,0.0609693986076378,0,0,0,0,0,0.0699434116768483,-0.118765172834616
X600000.CH.EQUITY,0,0.0707956017494536,0,0,0,0.199186061002176,0,0.0396103898120556,0,0,0,0.121509685266257,0.0695223295105205,0.0523665335750144,0,0,0,0,0,0,0,0,0.073711934204454,0,0,0,0,0.000945233917962847,0,0,0,0,0,0,0,0,0,0,0,0.259697071062084,0,0,0,0,0.108482129805763,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.0450657661214633,0,0,-3.46944695195361e-18,0,0,0,0,0.0846908314092922,0,0,0.187511721949131,0,0.241687738904742,0,0,0,0,0,0.150052998510763,0,0,0,0.107229156467156,0.01572435988405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0093783191789658,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.287772964522537,0,0,0,0,0,0,0,0.091671692524171,0,0,0,0.139480769731025,0,0,0,0.126441083539007,0.211143192458046,0,0,-0.170023794113762,0,0,0,-0.279852601021635,0,0,0,0,0,0,0.148170600053205,-0.064071209063859,-0.16790589738673,0,0,0.0555891556574521,0,0,-0.0334807370530265,0,0,0,0,-0.0797653852084019,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.221274300993546,-0.0841425119374445,1.0842021724855e-19,-0.0686567541268703,0,0,0,0,0.0581405539338407,0.497441729751866,0,0,0,0,0,0,0,0,0,0,0,0.0895602147149914,0,0,0,0,0,0.0508000047241669,0,0,0.339088569101516,0,0,0.104624927562493,0,0,0.0865958587346125,0,0,0,0,0,0
X600919.CH.EQUITY,0.247679768007522,0,0,0,0.0115453695163431,6.93889390390723e-18,0,0.0734048950358941,0,0,0,-1.73472347597681e-18,0,0.37128918402745,0,0,0,0,0,0.21419324823014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722707664771565,0,0,0,0,0,0,0.116329470279082
X600926.CH.EQUITY,0,0.202970114194619,0,0,0,0.0331799615463123,0.322618927921787,0,0.0252444867068663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229708200782951,0,0,0,0,0,0,0,0,0,0.0994210415030062,0,0,0,0,0,0,0,0.0126361957738567,0,0,0,0,0,0.00934152027471945,0,0,0,0,0
X601009.CH.EQUITY,0,0.210926122894332,0,0,0,0,0.233402188284778,0.266515547749702,0,0.185313510945858,0,0,0,0,-0.0491560146969177,0,0,0,0,0.207957867078458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803258234312576,0,0,-0.126398202174367,0,0,0,0,0,-0.0668294936135943,0.113917736610517,0,0,0,0,0,-0.029502189422704
X601166.CH.EQUITY,0.381505652503202,0,0,0,-0.0238886720357341,0,0,0,0.225830879597127,0,0,0,0,0,0.0222459748451129,0,0,0.0711887832507707,0,0.134340109263732,0,0,0,0.0115288721569681,0,-0.0545526588280959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.212371810174854,0.375007370719679,8.67361737988404e-19,0.00176693441433103
X601169.CH.EQUITY,0,0.0711946325929343,0,0,0,0,0,0,0,0,0,0.134462406836162,0,0,0.0285385485120236,0.120646342109028,0,0,0.0623964966830691,0,0.249343557171918,0.228844528558469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589689277212515,0.0283969975331517,0,0,0,0,0,0,0.0361736535127222,0,0
X601229.CH.EQUITY,0.0268131714985509,0.00415103182626916,1.73472347597681e-18,0,0,0,0,0,0,0,0.395084979840953,0,0,0.0276592013477626,0,0.324768025777886,0,0,0,0,0,-0.0552239108865425,0,0,0,0,0,0,0,0,0,0,0,-0.038415094618228,0,0,0,0,0,0,0,0.00875651285645845,0.410414230932374,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.153189526185311,0,0,0,0,0,0,0.462989711305417,0,0,0,0.159416343767654,0,0,0,0,0.0216856142491706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611320580738389,0,0.0350808515031308,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.473931244974769,0,0,0,0,1.73472347597681e-18,0,0,0.355313010721293,0,0.0444695638068517,0,0,0,0,0,0,0.0299835503090596,0,0.0763360305959341,0,0,0,0,0,0,0,0,0.1060441962986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000344984275533348,0
X601398.CH.EQUITY,-0.0379560170511431,0.177762752849397,0,0,0,0,-0.117230404803073,-0.0978630473628539,0,0,0.114456944078541,0,0.492955049031037,0,0,0,0,0,0.205599957186153,0.0469349490648204,0,0.288090534089185,0,0,0,0,-0.0314408776517639,0,-0.128730951850018,0,0,0,0,0,-0.510486757579357,0,0,0,0,0,0,0.0441683973493363,0.0464192528718673,0,0,0,0.10619458475795,0,0,0.0749815782746029,0,0
X601577.CH.EQUITY,0,0,0,0,0.0817176494190589,0,0.0644051820337902,0,0,0,0,0.394991322712752,0,0.128894029500473,0,0,0,0,0,0.202844915238652,0,0,0,0.0664989905584032,0,0,0,-0.194376826676724,0,0,0,0,0,0,0,0,0,0.259346320144494,0,0,0,0,0,-0.18382187437402,0.135249194739358,0,0,0.0225390030175188,0,0,0,0
X601818.CH.EQUITY,0.164106033631636,-0.292750705231087,0,-0.0467184199456973,0,-0.0589227797271819,0,0,0,0.166637563109502,0,-0.064942225111823,-0.0293330821263727,0,0,0,0,-0.0790559870193101,0,0.245581543728642,0,0.146549088472837,0,0,0.790281275037577,0,0,0,0,0,0,-0.0999303679699756,0.108007144414657,0,-0.0272849058295995,0,0,0,0.00769053751263656,0,0,0,0,0,0,0,0,0,0,0,0,0.0908852246309516
X601838.CH.EQUITY,0,0,0,0,0,0,0.0966811350491266,0.407560945967433,0.0858984200271568,0,0.130465082714291,0,0.0808877303544451,0,0,0,0.00580363985988519,0,0,0,0,0,0,0,0.0787473256623521,-0.000832787641759779,0,0,0,0,-0.254504808181205,0,-0.00331578485075433,0,0,0,0,0,0.00392788077280611,0,0,0,-0.142093982174953,0,-0.1245255466798,0,0,0,0.268754370375344,0,0,0
