,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.115416993676882,0,0.239462712435437,0,-2.16840434497101e-19,0,0.0113037256558284,0,0,0.270665765245131,-0.132600336191272,0,0,0,0,0,0,0,-0.146962567493548,0,0,0,0.187517633533152,0,0.0526303030827369,0,0,0,0,0,0,0,0,0,0,-0.142309176071437,0.0542049589538295,0,0,0.376275671287641,0,0,0,0,-0.204802172239902,0,0,0,-0.168738033617147
X002142.CH.EQUITY,0.223697876535602,0,0,0,0,0,0,0.100109257231061,0.11491475567574,0,0.00152157531062176,0,0.00683752502443742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168370682588212,0,0,0.0215766636382374,0,0,0,0,0,0,0
X600000.CH.EQUITY,8.67361737988404e-19,0,0,0,0.211416730320821,0.05340361113589,0.0727951010647793,0,0,0.178928356078345,0,0,0.0689577220612819,0,0,0,0,0,0.0549067166905072,0,0,0.0229288576660121,0,0.058588463968877,0,0,0,0,0,0,0,-0.00153825347825666,0,0.0456963174997188,0,0,0,0,-0.0338828125624285,0.220050638109506,0,0,0,0,0,-0.0342939824740306,0,0,0,0.0756869008980815
X600015.CH.EQUITY,0,0,0,0,0.0532436805100643,0,0,0,0,0.405565041526649,0.0929011004077562,0,0.0790167680850417,0,0,0,0,0,0.106293685981248,0,0.0121969262792295,0,0,0,0,0,0,0,0,0,0.0337246697067749,0,0,0,0,0,0,0,0,0.024378032693356,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.0069163925353697,0.112848880556451,0.268919917164063,0,0,0,0,0,0,0.122978656023592,0,0,0,0,0,0.267774461809827,0,0,0,0,0,0,0.000803354200444267,0,-0.0615049364423188,0,0,0,0,0,0,0.0536186132989629,0,0,0,0,0,0,0,0.158786948765048,0.138006796857127,0,0,0,0,0,0,-0.07104326680607,0.0348450502458017
X600036.CH.EQUITY,0,0.068636041954928,0.121973422570549,0,0,0,0,0,0,0,0,0.00947546525077614,0,0,0,0,0,0,0,0,0.169420561410348,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105781104717441,0.0231525064345831,0.00466436925640602,0,0,0.461957687198218,0,0.100593089655832,0.0466829997088195,0,0,0,0.012082235316387,0,0.163868104652837,0.0272963233087076
X600919.CH.EQUITY,0,0.0379641979005546,0.0734022727528034,0.0167589034245445,0.0336435837374428,0,0,0,0,0.424073783497102,0,0,0,0.114785004900592,0,0,0.291601111978678,0,0,0,0,0,0,-0.0964867374584224,0,0,0,0,0.0562310632080822,0,0,0,0.0370821011869582,0,0.0526789402702082,0,0,0,-0.100976184747396,0,0,-0.233081833707759,0,0,0,0,0,0,0.152857232133311,0
X601009.CH.EQUITY,0.609113971473901,-3.46944695195361e-18,0,0,0,0,0,0,0.0652324222262414,0,0,0,0,0.111645547665673,0.148067497174969,0,0,0,0,0,0,-0.205187182783879,0.106889066241046,0.0637608660989758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495369815994048,0,0,0,0.139137441933891,0,0,0,0
X601166.CH.EQUITY,0,0.0876969637470238,0,0,0,0.0358106773247437,0,0,0,0,0,0.0917844040175905,0,0,0,0,0.339481546815995,0,0,0,0,0,0,0,0.0338942315075292,0.0861137399837837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166414916666562,0.224008491016503,0,0,0,0,0.107692064466468,0
X601169.CH.EQUITY,0,0,0.177534092951263,0.559018563767445,0,0,0,0,0,0,0,0,0.178658233789851,-0.0562788539187796,0,0,0.215311546545979,0.0365099233095026,0,0,0.0908629038162127,0,0.108033374986937,0,0.0324036709526931,0,0,0,0,0,0,0,0,0,-0.0216409134539115,0,0,0,0,0,0,0,0,-0.109576063630502,0,0,0,0.0546944999789485,0,0
X601229.CH.EQUITY,0.171576459147682,0.0807841533286171,0,0.158836824815762,0.0796779751124619,0,0.176727823800299,0,0,0,0,0,0,0,0,0.327495586563994,-0.0356611579003558,0,0,-0.00493686223167554,-0.0738303376036915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682356077910693,0,0,0,0,0,0,0,0,0,0,0,0,-0.0795361038699649,0,0
X601288.CH.EQUITY,0,0.0408548342671197,0,0,0,0,0,0,0,0.282061421455709,0,0,0.0997163952139887,0.129900001260054,0.124750349460281,0,0.0406427982535751,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0739460959609076,0,0,0,0,0,0,0,0.0173008612352774,0,0.0617209025707175,0,0.0591906092597083,0,0,0,0.0985087139750135,0,0
X601328.CH.EQUITY,0,0,0,0,0.0578160108821337,0,0,0,0,0.115373597622481,0,0.0962354781195798,0,0.0256132748310844,0,0,0.38885404077866,0,0,0,0.0461371947460548,0,0,0.043786063830147,0,0,0,0,0,0,0.0190415587036482,0,0,0.176201913867624,0,0,0,0,0,0.00743094584983652,0.0174621400462756,0,0.0889306638654932,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0.12916412799318,0,0,0,0,1.0842021724855e-19,0,0,0,0.41211988411479,0.355384770554634,0,0,0,0,0,0,0,0,-0.0881627171844269,0,0,-0.197732026527124,-0.078899624125928,0,0,0,0,0,0,0.265456783456587,0,0,0,0,0,0,0,0,-0.0663412354045924,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0.16293834410157,0,0,0,0,0,0.150749927147979,0,0.00074786340810521,0,0,0,0,0.187413344345704,-0.027074322673647,0,0,0,0,0,0,0,0,0,-0.0613486141762527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.025584373935835,0,0.0795411010151623,0.0185461398487406,0,0.0476490523439425,0.0156102731981859,0.469674750726209,0,0,0,0,0,0,0.0671065897570606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12653229858284,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0
X601988.CH.EQUITY,0,0.082978970680196,0,0,0.110595366927154,0,-0.140630397807562,0,0.199391084257419,0.309659033548757,0,0.222099691114471,8.67361737988404e-19,0.141450195325726,0,0,0,0,0,0,0,0,0,-0.106197158713251,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0250357390125427,0,0,0,0.0904436556612575,0,0,0.000303298401751801,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.384752657007584,0.132425806757864,0,0,0,0,0,0,0,0,0.00541399921852144,0.0413844880585008,0,0,0,0.097082097733783,0,0,0,0,0,0,0,0,0,0,0,0,0.23119093056971,0.00413128653929785,0,0,0,0,0,0,0,-0.254127773292359,0,-0.405131437925594,-0.121538281850944
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.150342494011374,0,0,0.333776985307272,-0.105772646776138,-0.0151779706831635,0,0,0,0.340244088364978,0.148755888849121,0,0,-0.0610509459205941,0,0,0,0,0,0,0,0,0.0500322300765771,0,0,0,0,0,-0.0337421772250978,0,0,0,0,0,0.241550907461473,0,-0.110271926923544,0,-0.0498039540732306,-0.0606292567443651
X2388.HK.EQUITY,0,0,0,0,0,-0.125519378757218,0.0798223934475182,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0674481637778162,0,0.188687927235006,0,0.752904009234268,0,0.0743823635070684,0,0,0,0,0,0.0923817782077141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646815500528069,0,0,-0.116708217049446,0.0558425689690857,0
X5.HK.EQUITY,0,-0.0904304812220719,0,0.0689197276951655,0,0,0,-0.0730039168793627,0,0,0,0,0,0,0,0,0,0.359286334732266,0,0.39112441962275,0,0,0,0,0,0.2223444661649,0,0,0,0,0,0,0,0.0381729479321488,0,0,0,0,-0.174781611035862,-0.225595395884064,0,0,0,0,0,-0.0627757575309301,0.32973724189992,0,0.0698731371530005,0
X2884.TT.EQUITY,0,0.209143473678602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403320217701667,0,0,0,0,0.0579758285808473,0.165028606137033,0,0,0,0,0,0,0,0.176871400062519,0,-0.118538377509657,0,0,0,0,0,0,0,0.0580226083051965,0,0,0.0806553006881419
X2886.TT.EQUITY,-0.190260653299116,0,0,0,0,0,0,0,0,0,0,0,0,-0.027801749536586,0,0,0,0,0,0,0,-0.0231484495094494,0,0,0.867163575113405,0.0772538550542933,-0.0271711022227204,0,0,0,0,0,0,0,0,0,0,0,0.0754977540871012,0,0,0,0,0,0,0,0.0306852597296367,0.108014782461112,0.0568844802096535,-0.0744690151337267
X2891.TT.EQUITY,0,0,3.46944695195361e-18,0,0,0,0,0.180780459102135,0,0.0552168761858744,0.295077172952967,0,0,0,0,0.106379660499356,0,0,0,0,0,0.0624561550718518,0,0,0.389844138319147,0,0,0,0,0,0,0,0,0,-0.0534526895654673,0,0,0,0,0,0,0,0,0,0,0,0.0754375322236154,0,0,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.00827406146899108,0,0,0,0,0,0,0.0168334658969624,0.136375907152613,0,0.055061217159968,0.696080841418507,0,0,0,0,0,0,0,0,0,0,0,-0.0666090606652148,0,0,0,0,0,0.207110092619845,0,0,0,0,0,0.198218788951207,0.0591705303192791,0,-0.0799362663668371
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0.554014848974889,0,0.0132721280462985,0,0,0,-0.402138906276283,0,0,0,0,0,-0.0642584190155548,0,0.334758249535851,-0.218257220709721,0,0,-0.139232557587878,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0257097151257751,-0.0395876928343019,0,0.544377537750833,0.22729200149656,0.159411065247069,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028881442670072,0,-1.73472347597681e-18,0,0,0,0,-0.0216900512180056,0,0,0,0,0.337837570900246,0.305325167597644,0,3.46944695195361e-18,0,0.265817258063433,0.0788112902239537,0,0,0,0,0,0,0,0.0394859793270959,0,0,0,0,0,0,0.0364086584402632,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251829554508405,0,0,0,0,0,0,0,0,0,0.173598373865117,0,0,0.0132641624077462,0.0178931929537761,0.0655235677832865,0,0,0,0,0.415825034623491,0,0,0.0254012212248555,0.103615337674542,0.0334002132378351,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,-0.0830143554631564,0.178011193576754,0,0,0,0,0,0,0,0,0.0700048247770362,0,0,0,0,0,0,0.0617460794055518,0,0,0,0,0,0,0,0.226251230270434,0.360090768100497,0,0,0.10184037129854,0,0,0,0,-0.0199089360221446,0,-0.0287095438187428,0,0,0,0.113917047696918,0,0.110767870279676
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0360070273837292,0,0,0,0,0,0,0.097725177814422,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248406144315433,0,0,0.0530227261676204,0,0,0.249941635821757,0,0,0,0,-0.0268672786257997,0,0.159624602556449,0,0,0.00640688266735413,0,0
X600030.CH.EQUITY,0.00325936225734653,0,0,0,0,0,-0.0752407127908829,0.149438536215071,0,0,0,0,0,0,0,0,0.0878933118902707,0,0,0.0102018027473127,0,0,0,0,0,0,0,0,0.0979093083606245,0,0,0,0,0.219458490931044,0,0.22680874251493,0.0216125716037496,0.271392162472724,0,0.0591347457954813,0,0,0,0,0,0,0,0.0256968046261032,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0617784388253495,-0.12960317370642,0,0,0.0345918708727435,0,0.0480893478183762,0.373508619428568,0,0,0.218126584926559,0.0450436507229423,0,0.00401660144829987,0,0.201093516999649,0,0,0,0,0,0,0,0,0,0,-0.000377443651677274,0
X600958.CH.EQUITY,0,0,0,0,0,0,0.00244418687313573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0351120983314282,0.0402679911619679,0.355724902902838,0,0,0,0,0.202780767322327,0,0,0,0.0937751626303405,0.0817181432438859,0.17311198711356,0,0,0,0,0,0,0,0,0,0,0,-0.0445844444013747
X600999.CH.EQUITY,0,0,0.171310175052474,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0569708630507626,0,0,0,0.0538216304644337,0,0,0,0,0,0,0,0.047624983891406,0,0,0.225860391006503,0,0,0,0.42862740002494,0,0.0269378771787584,0.112334832400541,0,0,0,0.168559537633663,0,0,0,0,-0.0967176862358765,0,0
X601066.CH.EQUITY,0.0555648742770085,0,0,0,0,0,0,0,0,0,0.121583183861415,0,0,0,0,0,0,0,0,-0.0443267444335609,0,0,0,0,0.114397842042526,0,0,0,0.151304592116696,0.214696355666949,0,0,0,0,0,0,0,0.194265016295163,0,0,0,0,0,0,0,0,-0.170107611364624,0,-0.0300182936394684,0.00969639642812561
X601211.CH.EQUITY,-0.0564246884670508,0,0,0,0,0,0,0,-0.011555083454906,0,0,0,0,-0.040511232742124,0,0,-0.0327796045118981,0,0,-4.33680868994202e-19,1.73472347597681e-18,0,0.0338480828695528,-0.0690943932944395,0,0,0,0.0280225902768025,0,0.107728837791546,0.216099036800505,0.0555027162534335,0.212776889171697,0.332213190151038,0,0,0,0.0797484984231234,0,0,0,0,0,0,0,0,0.0154372557420768,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0.118216734206406,0,-0.0606595856480581,0,0,0,0,0,0,-0.0716995599186762,0,0,-0.452520729104551,0.058494921415171,0,0,0.0709257936293052,0,-0.0248830367010439,0,0,0.0350447204781792,0.557830827794518,0,0.401916220662239,0,0,0,0,0,0,0,0.307540032208187,0,0,0,0,0,-0.173213711284314,0,-0.122663661249564,0,0,0,0
X601881.CH.EQUITY,0,-0.00552647194290507,0,0,0,0,0,-0.0115422603575894,0,0,0,0,0,0,0,0,0,0.0625437144959272,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.226073609774142,0.458364673145471,0,0.0179945784881374,0,0.0248165117770032,0,0.0848355126280429,0,0,0,0.0538449400216589,0,0,0,0,0,0,0.173625899755809,-0.0212113339994105,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103097481837168,0,0.0691561293186356,0,0,0,0,0.0171894481949747,0,0,0,0,0,0,0,0,-0.469612647405098,0,0.419717882442326,-0.00351247032909008,0,0,0,0,0,0,0,0.111808999746279,0,0.510144141742142,0,-0.0356389737592793,0,0.0791011033903523,0
X601318.CH.EQUITY,0.0648129826464792,1.73472347597681e-18,0.130409615174452,0,0,0,0,0.042137189445551,0,0,0,0,0,0,0,0,0,0,-0.00895333136882076,0,0,0,0,0.0526103689601154,-0.0368615216006358,0,0,0,-0.00441042812549134,0,0,0,0,0,0,0,0,0,0,0,0,0.441079692065534,0.224305875676591,0,0,0,0,0,0,0
