,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0.427603032098093,0,0,-0.0931078812819663,0,0,0,0,0,0,0,0,0,0,-0.122971272646338,0,-0.258328651623582,0.0578598712067828,0,0,0,0,0,0,0,0,0.0955729912039232,0.167597873374229,0,-0.057767554709679,0,0,0.490265902015512,0.104089250370058,0,0,0,0,-0.100937784722602,0,0,0,0.185180726692045,0
X002142.CH.EQUITY,0.11364679786914,0,-0.0281764769866123,-0.191971276672092,0,0.321738826664575,0,0.246248654198503,0,0,0,0,0,0,0,0.00507825713493612,0,-0.00662140691818465,0.0880157977858492,0,0,0,-0.101474695211557,0,-0.119015098983882,0,0.00960472728578725,0,0,0,0,0,0,0,-0.246742874486125,0,0,0,0,0,0,0.35514590244906,0,0.259707530597961,0,0,0,0,-0.041679265308186,0,0,-0.0646649276536891
X600000.CH.EQUITY,0.139875008766999,0,0,0,0.00241259424752692,0,0,0,0,0,0,0,0.542807790152653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203798273421606,0,0,0.0185971686209702,0,0,0,0,0,0.035780332239838,0,0.0356179913307372,0,0,0,0,0,0,0,0,-0.0535089787957842,0,0,0,0.0330974190131577,0.121700431061274
X600015.CH.EQUITY,0,-0.0550391969579779,0,0,0,0,0.207244407304125,0,0,0.300074417305232,0.00436176771140274,0,0,0,0.15133695670203,0.0792614910804689,0,0.0428832518595575,0,0,0,0,0.0163561375894945,0,0,0,0,0,0,0,0.0331678104405558,0,-1.38777878078145e-17,0,0,0,0,0,0,0.0415020614193645,0,0,0,0.168906435233313,0,0,0,0.0850645399205587,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.206788342415462,0,0,0.158640169211149,0,0,0,0.0451126918116038,4.33680868994202e-19,0.129856220915913,0,0,0,0.112387505067514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179828884555743,0,0,0,0,0,0,0.167526233276023,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.157861344792475,0.0509773908544015,0.318085759967525,0,0,0,0,0,0,0,0,0,0.0847753751555515,0,0,0,0,0,0,-0.0497151385822991,0.0456483204768566,0,0,0.0180474582815751,0,0,-0.00591283996559336,0,0,0,0.0655836050601214,0,0,0,0,0,0,0.015946347054523,0.0755363695334926,0,0,0,0,0,0,0,0.0459125511137676,0,0.257731778009264,0,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.0938266234969782,0,0,0.0620403901102608,0,0,0.0750843093044049,0,0.204290440952566,0,0,0,0.0311918095167783,0,0,0,0,8.67361737988404e-19,0,0.0488778017662905,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497995566493027,0,0,0,0,0,0,0,-0.0515536961556537,0.0221982024850594,0,0.0379291382781631
X601009.CH.EQUITY,0.138248456820276,0,0,0.383035114762284,0,0,0.0232034872788428,0,0,0,0.0615039438009765,0.144409688671461,0,0,0,0,0,0,0,0,0,0,0.0641612994690843,0,0,0,0,0,0.0246312165951497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566949743913598,0,0,0.0523829723011598,-0.131776214200255
X601166.CH.EQUITY,0.0696820220371481,0,0,0,0,0.429059692751196,0,0.0106240745172293,0,0,0,0,0,0,0.283286797783109,0.00320087577986396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00681349516416276,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.126903179290122,0,0
X601169.CH.EQUITY,0,0,0.196104846278647,0.33668211604165,0,0,0,3.46944695195361e-18,0,0,0,0,0.33563539105582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528797119196006,0,0,-0.042573840739897,0,0,0,0,0,0.0617237313429338,0,0,0,0,0,0.0430580040748391,0,-1.35525271560688e-20,0.210042803209613,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.0904692304875101,0,0,0.256284081836403,0,0,0,0,0,0,0,0,0,0,0.414932181691679,0,0,0,0,-0.20598123175537,0,0,0,0,0,-0.103438015076362,0,0,0.127684596666318,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.163998745274688,0,0,0,0,0,0,-0.0460998191627864,0,-0.101611447225209,0,0.0311186926167352,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.113910301875129,0,0,0.318620697192026,0,0.182762413577706,0.297873300286977,0,0,0,-0.0402860165122562,0,0.127334683438504,0,0.00631934039861491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143929721388122,0.0473504554341862,0,0,0,0,0,0,0,0,-0.127125158177831,-0.0539479722501923,0.0754959296667669
X601328.CH.EQUITY,0,0,0.571335042783025,0,0,0.0298847318656963,0,0,0,0,0.153014445562263,0,0,0,0,0.0254466668416315,0.110395998284924,0.0352276768168865,0,0,0,0,0,0,0,0,-0.0536217525278736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0.0931467989716636,0,0,0,0,0.0648270083216188,0,0,0,0.0124027125930004,0.42348433777762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924698180346967,0.176789235015318,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0.199143563155052,0,0,0,0,0,0.144264148370902,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.391302431123588,0,0,0.0950019372390117,0,0,0,0,-0.0390463970519491,-0.105850308092543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334571437786742,0,-0.0484935307114849,0,0,0,0,0,0.179316970660597
X601939.CH.EQUITY,0.0691455751096334,0,0,0,0,0,0,0,0,0,0.480540306603528,0.154678657734058,0,0.30748656042611,0,0,0.102437071394003,0.176500772485418,0,0,0,0,-0.0932796790565291,0,0,0,0,0,0,0,0,0,0,-0.00739207494314252,0,0,0,0,0,-0.0373772257529846,0,0,-0.0220866564649192,0,0,0,0,0,0,0,0.0283460654373194,0
X601988.CH.EQUITY,0,0,0,0,0.0212800949033028,0,0,0,6.93889390390723e-18,0,0,0.0569241089037414,0.0422392149897969,0.196573326895861,0,0.366992541241476,0,0,0,0,0,0,0,0,0,0.106439658663589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178926182268197,0,0.0684774144074241,0.0759071381625994,0.0557051170382647,0,0,0,0.0876665656821535,0,0
X601998.CH.EQUITY,0,0,0,0.256734154540329,0.252781107603107,0,0,0.0400875438549587,0,0,0,0,0.058634726425476,0,0.0476397786687995,0.0668592586357015,0,0,0,0.0860692334568214,0,0,0,0.0784484136111689,0,-0.0153530898535326,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0546615984181951,0,0,0,0.0395781053750131,0,0,0,0,0,0,0.00304669493559617,0
X601658.CH.Equity,0,0,0,0,0.0834572249632083,0,0,0.0540666176342272,0,0,0,0,0,0,0,0,0,0,0,0.717452570847004,0,0,0,0,-0.0253097190963193,0,0,0,-0.148872890625026,0,0,0,0,0,0,0,0.100327832497814,0,0,0,0,0,0,-0.0425603856378638,0,0,0,-0.0199434800253493,0,0,-0.902050075436496,0.125746459192445
