,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.181396044659616,0,0,0,0,0,0.137940832420376,0,0,0,0,0,0,0,0,0.271636677333487,0.11168467548984,0,0,0,0,0,0,0.0146170238368474,0.133668967920848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0845956592081542,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.221024198760672,0,0,0,0,0,0,0.269940703524384,0,0.152140336099361,0,0,-0.122641362529635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461398669526073,0,0,0,0,0,0,0,0,0,0,0.103119671433578,0,0,0,0,0,0,0,0,0,0,-0.17002303742773,0.0291766040218266
X600000.CH.EQUITY,0,0,0,0,0.293921956862,0.130867140095776,0,0,0.0705555106442074,0.0143321477710335,0,0.30454406221325,0.0112666001270686,-0.262983449005053,0,3.46944695195361e-18,0,0,0,0.0836806974107039,0.257044010533229,0,0,0,-0.150860521806705,0,0,0,-0.0187416379063566,0,0,0,0,0,-0.204602588227177,0,0,0,0,0,0,0,0.0318125154093617,0.1419711445881,0.100008018053246,0,0,0,0,0,0,0.0843096913218309
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.391507883623571,0,0.231309279199378,0.0799861011468085,0,0,0,0,0,0.0463260780521935,0,0,0,0,0.0897943398424281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109787735740693,0,0.0260207133725282,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.146926848410661,0.312049142218727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0682030793047261,0,0,-0.0900364759960451,0,0,-0.118975040810648,0,0.394877092697836,0,0.449200482172192,-0.0967886631490324,0,0,0,0,0.0250392811013436,0,0,0,0,0.258529117652849,0,0,0,0,0,0,0,0,0,0,0,-0.315643376364812,0,0
X600036.CH.EQUITY,0.188186040661757,0,0.191605526808327,0,0,0,0,0,0.123863181634514,0.0652181743184981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120475187721043,0,0,0,0,0,0,0,0,0,0,0.101799428902688,0,0,0,0,0.15324897520178,0,0,0.127635178140784,0,0,0,0,0,0,-0.155316880334299,0
X600919.CH.EQUITY,0,0,0,0.0119936860196383,0,0,0,0.200355519763367,0,0,0.0223286775909992,0.0520817431997328,0,0,0,0,0,0.0143442846712123,0.030381366652951,0,0.318791917597044,0,0,0,0,0,0,0,-0.117139592815463,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0465248463180042,0
X600926.CH.EQUITY,0,0.314999803076578,0,0,0,0.193623711630213,0,0,0,0,-0.0259977052247491,0,0,0,0,0,0,0.2710308217107,0,-0.0730272637833249,0,0,0,0.129786140277947,0,0,0,0,0,0,0,0,0,-0.132203660475392,0,0,-0.0690591678816841,0,0,0,0,0,0.0106887818448049,8.67361737988404e-19,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.210370978567543,0,0,0,0,0.0402016874083567,0,0,0,0.430604461331448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0225724483849152,0,0,0,0,0.0797894622877127,0,0.0293519310800151,0,0,-0.143096759469541,-0.0101591510243916,0,0,-0.0647403967090919
X601166.CH.EQUITY,0.158951358742701,0,0.116623458722336,0,0,0.323580275865078,0,0,0,0,0.143626054225057,0.178417587799391,0,0.0867850562139252,0,0,0,0,0,0,0,0,0,0,0,0,-0.123073891434081,0,0,-0.0130015290634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160243308333791,0,0,-0.134807037491121,0,0,0,0.14145631762359,0
X601169.CH.EQUITY,0,0.0642737519570827,0,0,0,0,0.299654455049253,0,0,0.179705949110288,0,0,0.0261375543067194,0,0,0,0,0,0,0,0,0.137782542547042,0,0,0,0,0,0,0,0,0,0,0,0.124801102694153,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0202592785124057,0.0786202970144288,0,0,0,0,0,-0.085411139481133
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0.131294650134519,0,0,0,0,0.121623360038154,0,0,0.219052948215401,0,0,0,0.206915130008747,0.0960096280143915,0.0981947005924613,0,0,0,0,0,0.0189150334905429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235725940131231
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.0230764938851099,0,0,0.0173614617835482,0,0,0,0.611969949961196,0,0,0,0.10109241069503,0.237299182576023,0,0,0,0.0912144536855291,0,0,0,0,-0.13257404356436,0,0,0,0,0,0,0.169381958235269,0,0,0,0,-0.0458705340845565,0,-0.155195675573647,-0.0738163825717443,0,0,0.059986993659296,0,0,0,0.0915129054837209,0
X601328.CH.EQUITY,0,0,0.0275233139568457,0,0,0,0,0,0,0,0,0.211906927191767,0.0210862146992242,0,0,0,0,0,0,0.223558285382039,0.00429471502846898,0.181813162252114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551990283540209,0,0,0,0,0,0.0858973622087565,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0.0469436004337613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16649558230683,0.319157667490131,0.00649158052837546,0,0.100206446268782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895728466049557,0,0,0,0,0,0,0,0,0
X601577.CH.EQUITY,0,0,0,0,0,0,0.195434589501475,0.0161543839505401,0,0.284069892092657,0,-0.109425110653507,0,0,0,0,0,0,0.0697217050191259,0,0,0,0.131991417842086,0.167402194049725,0,0,0.0573571998119767,-0.0879152934719076,0,0,0,0,0,0,0,0,-0.406460933295318,0.702998232125349,0,0,0,0,0,-0.0605230624534558,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0.16020625568565,0.0489027521041791,0.198834414812487,0,0,0.112258212341208,0,0,0,0.0481555822651226,0,0.247633192426115,0,0,0,0,0,0,0.0763582964710973,0,0.0110457385106752,0,0.0206450214318198,0,0,0,0,0,0,0,0,0.0687755603358045,0,0,0,0,0,0,0,0.0493513327561781,0,0,0,0,0,0,0,-0.0541533518029758,0
X601838.CH.EQUITY,0,0,0,0,0,0,0.0517193093373545,0.607218472020712,0,0,0.115801011043381,0,0,0.121757656769583,0,0,0,0,0.00753325823694329,0.0139983377962211,0,0,0,0,0,0.192266015323713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663631200886754,0,0,0,0,0,0,0,0,-0.075066517229126,-0.170528712944322,0
X601939.CH.EQUITY,0,0.0303886019354865,0,0,0,0,0,0,0,0,0.130559786243184,0,0.237272585958885,0,0.151173832619425,0,0,0,0,0.0489725649928171,0,0.120528437693952,0.0823925695360376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156981828198371,0,0,0,0,0,-0.0662762952201307,0
X601988.CH.EQUITY,0,0,0.27142442836597,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.466769720671692,0,0,0,0,0,0,0,0,-0.076019448546099,0,0,0,0.101320047257919,0,0,0,0,0,0,0,0,-0.0159231186676861,0,0,0,0,0,0,0,0,0,0,-0.0778849083278387,0,0,0,0,0,-0.0309344017679506
