,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.258251577615882,0,0,0,0.070058508463138,0,0,0,0,0,0,0,0,0,0,0,0,0.178456452601865,0,0,0,0,0.00608796567457,0,0,0.028150227504088,0,0,0,0,0,0,0,0,0,0,0,0,0.250835607839052,0.0639563529516267,0,0.0542072924633218,0,0,0,-0.0433948979223797,-0.0423464927231446
X002142.CH.EQUITY,0.122901345901286,0,0,0,6.93889390390723e-18,0.228885152445526,0.132020283953705,0,0,0,0,0,0.0561414324404386,0,0,0.141586882344612,0,0,0,0.0169212399639624,0,0,-1.73472347597681e-18,0,0,0,-0.070437635430154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526456085426022,0,0.0136186370577382,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0.133499547156724,0,0.0236701727676531,0,0,0,0,0,0.228034611541282,0.0369701272102453,0.0686107065267055,0,0,0.216283616659247,0,0,0,0,0,0,0,0,0,0,0.0882125816627367,0,0,0,0,0,0,0,0.0816431774495806,0,0,0.0101002633362105,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.258970740811348,0,0,0,0,0,0,0,0.281907101062694,0,0,0,0,0,0,0,0.136054540880765,0,0,0,0,-0.100683793297445,0.323215670431222,0,0,0,0,0,0,0,-0.0372894806244046,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208929840563081,-0.0232274967567916,0,-0.0546962203408128,0,0
X600016.CH.EQUITY,0,0,0.108150271199205,0.10781396313196,0,0,0,0,0,0,0,0,0,0,0.135055722848608,0.00856831971385042,0,0.20522032326942,0.0591877710297583,0,0.164884016821562,0,0,0.0876370726113062,0,0,0,0,0.0670219194756299,0,0.0191971329705997,0,0.0382677845450483,0,0,0,0,0,0,0.142370624806109,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.059612631774103,0.469028720552839,0.0541844585331873,0,0,0,0,0,0,0.024101862475899,0,0,0,0,0,0,0.108232910038424,0,0,0,0,0,0,0,0,0,0.22071281565661,0,0,0,0.141436185565015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280487076163504,0.00985350674728602,0.0440726640205769,0
X600919.CH.EQUITY,0,0.0446338676624502,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.141333152875564,0.0378292522054321,0,0,0,0,0,0.175424940491902,0.0525119158462075,0,0,0,0,0,0,-0.00233978944509691,0,-0.0623952784629628,0,0,0,0,0,0,0,0,0,0,0.176416458105921,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0.185187196365415,0,0,0,0.0191432519234385,0.193555012627217,0,0,0,0,0,0,0,0,0,0,0,0.0772362002198067,0,0.0478788038190842,-0.0408692756099423,0,0,0,0,0,0,0,0.0199416111314275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0.031590921782632,0,0,0,0.335078773221088,0,0.160316702576541,0,0,0,0,0,0,0,0,0,0.12195120849052,0,0,0,0,0,0,0,0,0,0,0,0.0160647170312607,0.238630921454263,0,0,0,0,0,0,0,0,0,0,0.00244105596186963,0,0.153751030556517,0,-0.0290000580073393,0,0,0,0.177005201202899
X601166.CH.EQUITY,0,0.179077732680627,0,0,0,0.127241285738927,0,0,0.233076015372066,0,0,0,0.035007240885585,0.157746759927526,0,0,0,0,0,0.0255739888557467,3.46944695195361e-18,0.106091870293229,0,0,0,0,0,0,0,0,0,0,0,0,0.0131888572510888,0,-3.46944695195361e-18,0,0,0,0.0373828911397477,0,0,0,0,0,0,0,0,0,0,0
