,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0.397248507407112,0,0,0.346875825169009,0,0,0,0.142772053351137,0,0,0,0,0,0,0,0,-0.0191425598517966,0,0,0,0,0,0,0,0,0,0,0,0,-0.30633644631586,0,0,0,0,0.114787479139359,0,0,0.011148073207532,0,0,-0.067145771139223,0,0,0,0,-0.0127352661731645,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.38847685603954,0,0.378122724627052,0,0,0,0,0,0,0,0,0,-0.22486198976983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443648961615872,0,0.221545262458208,0,0,0,0,0,0,0.124856126842631,0,0,0,0,0,0,0.117852207742101,0,0,0.0473080574255169
X600000.CH.EQUITY,0.271782930620089,0,0,0,0,0.145682083249539,0,0,0,0,0.082155615073802,0,0,-0.0212506339895742,0,0,0,0,0,0,0,0,0,0,0,0,0.0927750786942775,0,0,0,0,0,0.112953011747216,0,0,0,0,0,0,0.0600728802991213,0.249178089143671,0,0,0,0,0,0,0,0,0,-0.0958804867297608,0
X600015.CH.EQUITY,0,0,0.189416062450987,0,0,0,0.0194431413178419,0,0,0,0.123681373111889,0,0,0,0,0.0847980153663612,0.291619984994635,0,-0.0512994549775614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526461453064816,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0335603167368537,0
X600016.CH.EQUITY,0.00647974192305162,0,0,0.0414671008414483,0,0.199870363119236,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102782516401729,0,0.314047760747318,0,0,0.887798668380758,0,0.356717118022863,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17736757520567,0,0,0,0,0,0,0,-0.0287870552263473,-0.0707024334316423,0,0
X600036.CH.EQUITY,0,0,0.126632649449736,0,0,0,0,0,0.0511451738292715,0.225705316880629,0,0,0.0446175024504528,0,0,0,0.0428546919134581,0,0,0,0.194828931354701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284208583035507,0.0065982419651854,0,0,0,0,0.0391554973066438,0,-8.67361737988404e-19,0.255213701320575,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0.0186806585111577,0,0,0,0,0.0658789414665492,0.110112509396277,0,0,0,0,0,0,0,0,0,0.109543037718126,0,0.314779331902576,0,0.119121928959549,0.0444236776411611,0,0,0,0,0,0,0,0.104434944959535,0,0,0,0,0,0,0,0,0,0,0.0702271447905531,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0.281752216301805,0.210583118076036,0,-0.087767485068256,0,0,0,0,0,0.247782864434704,0,0,0,0,0,0.163037027948517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13657544882783,0,0,0,0.171521914521139,0,0,0,0,0,0,0,-0.0358839216403592,0,-0.0238999120626761,0
X601009.CH.EQUITY,0,0,0,0,0,0,0.134073552457134,0,0,0.199788790304348,0,0.140191644664688,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0.155719944932306,0,0,0,0,0,0,0,0,0.0104931661836161,0,0,0.0379872438126566,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.318674174788805,0,0,0,0,0.248356955875287,0,0.307634975547139,0,0,0,-0.0802352001894689,0,0,0.0582556585425636,0,0,0,0,0,0,0,0.135703393631461,0,0,0,-0.0955582281211636,0.0287750788715603,0,0,0,0,0,0,0,0,-0.0160060841060026,0,0,0,0,0,0,0,0,0,0.0236573360722837,0,0.105325244747561,0,0,-0.0300192680248127
X601169.CH.EQUITY,0,0,0.28415071537799,0,0.0136861537135967,0,0,0,0,0,0,0,0,0.0668746001455656,0,0,0,0,0,0,0,0.0108185501645223,0,0.233809005081393,0.261337812085295,0,0.0809072292129302,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.092943047620234,0,0,0.0380376516461342,0,0,0,6.93889390390723e-18,0,0,0,0,0.226512046706197,0,-0.0351331356161556,0
X601229.CH.EQUITY,0.0317694429551186,0,0,0.239990978581877,0,0.0153417176375863,0.102894554155893,0,0.125853572777613,8.67361737988404e-19,0,0,0,0.119673084789806,0,0.0811234993986726,0,0,0,0,0.244267008920795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00949652034951085,0.0249389126242604,0,0,0,0,0,-0.0160127054428379
X601288.CH.EQUITY,0,0,0.0112021912068589,0.0172656003637551,0.00220066019353882,0,0,0,0,0,0.0698666969680871,0,0,0.0836083259986865,0.368570129726119,-0.161445868710799,0,0,0.253741850069423,0.15194589676044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258800558562372,0,-0.10606006774946,0,0,0,0,-8.67361737988404e-19,-0.11233185663242,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.0632609929910867,0,0,0,0,0,0,0,0.177149747558235,0.189650182096703,0,0,0,0,0,0,0,0.217523793624726,0,0,0,0,0,0,0,0.0927549651301188,0.01179307577357,0,0,0.0444198492263594,0,0,0,0.0476337660162583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0972970506850382,0,0,0,0,0,0,0,0,0,0.434038765952754,0.096509170866727,0,0.0452984237863194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054926363164118,0.153137659699738,0,0,0,0,0,0,0,0
X601577.CH.EQUITY,0.0748478150118769,0,0.16494811393463,0,0,0,0,0.247940838784138,0,0,0,0.17997522134797,0,0,-0.0780960989971203,0,0,0,0,0,0.144277711057786,0,0,0,0,0,0,0,-0.0522420198372547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.149501247220825,0,0,0,0,0,0,0,0,0,0.418888583088512,0.175181439874759,0,0.0753575298766364,0,0,0,0.0813613439157961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534069959153754,0,0,0,0,0,0.0357317041890055,0,0
X601838.CH.EQUITY,0,0,0,0,0,0.105180327958804,0,0.183358669992601,0,0,0,0,0,0,0,0.0474350956120633,0.11666135511885,0,0,0,0.0471616115899004,0,0,0,0.141053756403194,0,0,0,0,-0.0134972726872651,0,0,0,0,0,0,0,0,0,0,0.0242257387868595,0,0,0,0,0,0,0,0,0,0,0.0747568252081723
X601939.CH.EQUITY,0,0.119565477674295,0,-0.0252272247892923,0,0,0.034408998316432,0,0,0,0.0213287235072493,0,0.335887535166634,0.111445996829775,0,0,0,0.146383708300822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829088696262029,0,0,0,0,0,0,0,0,0,0.221605731391428,0,0,0,0,0,-0.00963766787395955,0
X601988.CH.EQUITY,0,0,0.0550434054063817,0,0,0,0,-0.142164446308849,-0.179611789112695,-0.204418290099449,0.133748823071098,0,0.473867400334402,0,0.302008785749363,0.149539308456678,0,0,0,0,0,0,0,0,0.017985025746705,0.111196211297025,0,0,0,-0.00580452585221163,0,0,0,0,0,0,0,0,0,0,0,0,-0.0536390411585255,0,0,0,0,0,0,0,0,0
X601997.CH.EQUITY,0.119828223290723,0,0.0513825799659094,0,0,0,0.0712473029252595,0,0,0.0539144258619446,0.0125334355258336,0.279405614151004,0,0,0,0,0.0391761955228287,0.0368052459064098,0,0,0,0,0.112357723223593,0,0.269958077644222,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0362636994344418,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0.206460315475108,0,0,0.0901724443779518,0,0,0,0.353722838465331,0,0,0,0,0,0.0196185076089331,0,0,0.171691676792936,0,0,0,0,0.0521182635478741,0,0,0,0,0,0,0.0187572196942372,0,0.0183061451916651,0,0,0,0,0,0,0,0,0,0.0966830511426638,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0.121648685195847,0,0,0,0,0,0,0,0,0,0,0,0.131357843632552,0.330264063816229,0.10752737441939,0,0.243809785795652,0,0,0,0.0816243223356283,0,0,0,-0.0143096588782441,0,0,0,-0.0611876062689358,-0.00738681905067205,-0.152769681560887,0,0,0,0,0,0,0,0.0282126424877666,0.104830846548856,0,0,0,0.0147808734002647,0
X601916.CH.Equity,0,0,0,0.189613909387173,0.00701450561929983,0,-6.93889390390723e-18,0,0,-0.0291028738215438,0,0,0,0,0,0.114467372054492,0,0.0828313104645071,0,0,0,0,0.19340838595588,0,0,0,0,0,0,-0.0570529610972826,-2.16840434497101e-19,0,0,0,0,0,0.0382208456281787,0,0,0.157600166353077,0,0,0,0,0,0,0,0,0,0,0,0
X601077.CH.Equity,0,0,-3.46944695195361e-18,0,0.0852552506795632,0,0,0,0,-0.302960583194627,0.154165594235999,0,0,0,0,0,0,0.0838396410056797,0,0,0,0,0,0.379541483685715,0,-0.0470202215585067,0,0,0,0.187426354602316,0,0,0,0,0,0.0431481876460398,0,0,0,0,0.569123424439798,0,0,0,0.0533738314765951,0,0,-0.104945193464703,0,0,0.00247436541465814,0.0898978145868877
X11.HK.EQUITY,0,0,0,0,0,0.0713490100880898,-0.0175935916418024,0,0,0.0168901316816847,0,0,0,0.138519263047721,0,0,0,0,0,0.141470815014238,0,0,0,-0.163720430614993,0.0491295781060768,0,0,0,0,0,0,0,0,0.280751401572966,0.123330504010551,0,0,0,0,0,0,0,0.122722436515179,0,0.0596050947836283,0,-0.0797347688220438,-0.0805716049593569,0,0.0359119002641774,0,0.0348954108630398
X2388.HK.EQUITY,-0.146258674243644,0,0,0,0.392428446104853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.209231136057471,0,0,0,-3.46944695195361e-18,0,0.0407964036310722,0,0.125404263279071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069996134252585,0.0456414188156491,0,0.0609924803117428,0,0,0,0.0830886038315105,0
X5.HK.EQUITY,0,0,0,0,-0.0583339810764593,-0.0439489586584689,-0.0104714794278023,0,0,0,0,0,0,0,0,-0.119215760662067,0,0,0,0,0,0,0.267161602866925,0,0,0.162418262633122,0.0982023273437182,0,0,0,0,0,-0.0317849993118517,0,0.0632516355143656,0,0,0,0,0,0,0.0389477390882908,0,0,0.059694142391315,0,0,0,0,0.176827712904989,0,0.0236360724016287
X2880.TT.EQUITY,-0.0786687395089239,0,0,0,0,0,0,0,0,0,0,0,-0.105938376960936,0,0,0,0,0,0,0,0,0,0,0,0,0.161228100589531,0,0,0,0.20845075965375,0.107462602964371,0.111255679913131,0,0.317209866331956,-0.0374263919481454,0,0,0,0,0,-0.018737801359912,0,0,0,0.0182118791775351,0,0,0,0.132346467839487,0,0,0
