,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.153245897471424,0,0,0,0.0464776671169271,0,0.172064462829497,0,0.0677292501054376,0,0,0,0,0,0,0.126415477026374,0,0,0,0,0.235980642369911,0.0976034129215092,0,0,0,0,0,0,0,0,0,0,0,0.113445807473785,0,0,0,-0.04866500933032,0,0,0,0,0,0,0,0,0,-0.00158577681729923,0.0801052448305439,0,0
X002142.CH.EQUITY,0.172494915876009,0,0,0,0,0.1723035520721,0,0,0,0.399494212477361,0,0,0,0.0593632700011879,0,0,0,0.073088640545881,0,0,0.00758796797981589,0,0,0,0,0.0490843666557537,-0.231681663782811,0,0,0.0315089236780165,0.0486844716583491,0,0,0,0,0,0,0,0,0,-0.213975489931797,0,0,0.299061037114458,0,0,-0.0110306815916059,0,0,0,0,0.012533429725697
X600000.CH.EQUITY,0.108099571294943,0,0,0.33489136166779,0,0,0,8.67361737988404e-19,0,0.0765809860202663,0,0,0,0,0,0,0,0.19850973642845,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241197957711122,0.0616016908933073,0,0,0,0,0.0102415881938441,0,0,0.0377805225576296,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.0829139516786697,0.00113694948782227,0,0,0.318246307623077,0,0,0,0,0,0,0,0,0,0,0,0.388238647907759,0,0,0,0,0,0,0,0,-0.167280070002002,0,0,0,0,0,0,0,0.019601746091662,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,-0.243134433389218,0,0,0,0,0,0.137247468180283,0,0,0,0,0,0,0,0.358984923332097,0,0,0,0,0,0,0,0,0,0.0203437705921261,0,0,0,0,0,0,0.103105804193519,0,0,0.118093314581677,0.277729033853263,0,0,0,0,0,0.23416714325042,0,0
X600036.CH.EQUITY,0.114525696033311,0.147958478407713,0,0,0,0,0,0,0,0,0,0,0.080686005300002,0.0392420086178103,0.000243421100010004,0,0,0,0,0.116859117808233,0,0.493160505760445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0710584849097472,0,-0.0630797910065622,0,-0.0131602250301606,0,0,0,0.166445018122849,0,0,0.204393370628319,0.0168014196101289,0.102409484027602
X600919.CH.EQUITY,0,0,0.162165434942967,0,0,0,0,0.112061548016985,0,0,0,0,0,0,0.0434367813530181,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0144561444529505,0,0,0.0609149409120429,0,0,0,0.0917902398242741,0,0,0,0,0,0,0,0,0.252696803950688,0,0.107762683407806,0.0576947057299388,0,0,0,0
X600926.CH.EQUITY,0.0533093746456271,0,0,0,0,0,0,0,0.0774450073074019,0,0,0,0,0,0,0,0,0.47772719016528,0,0,0,0,0,0,-0.0201533165991952,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137128665982374,0,0,-0.0858177307440605,0,0.0156280666147151
X601009.CH.EQUITY,0,0,0,0.157247399530951,-0.0734206294031214,0,0,0.164747325881065,0,0,0,0,0,0.104644609575492,0,0,0,0.140794423803644,0,0,0,0,0,0.0352698044214931,0.101820069311618,0,0,0,0,0,-0.0530389934794056,0,-0.0292720542642846,0,0,0,0.104785804978361,0.0460798724518168,0,0,0,0,0,0.217924151864914,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.45501730535625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202919058526488,0,0,0,0,0.00577100574508645,0,0,0,0,0.024559799317216,0,0.100905591785066,0,0.0371853968044341,0,0.0715404899659041,0.163246425483116,0,0,0,0
