,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.335108960386546,0.0792942723545331,0,0,0.0516698788153122,0,0,0,0,0,0,0,0,0,0,0,0,0.0311006111334682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296299592581347,0.0349500926126209,0,0.0373226936159015,0,0.0257780282830519,0,0,-0.114958096725025
X002142.CH.EQUITY,0.168625290499883,0,0,0,0,0.110479045850488,0.165766267410999,0,0,0,0,0,0.049516418477223,0,0,0.0819430331651922,0,0,0,0.0506842414141022,0,0,0,0,0,0,-0.0654986852185917,0,-0.00430195135267894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139500374244688,0,0.0172520443630199,0,0,0,0.0384450882232741,0
X600000.CH.EQUITY,0,0,0,0.136232340447559,0,0.0260200005546923,0,0,0,0,0,0.23008584251695,0.0372809321386052,0.0682457602998449,0,0,0.214275752906819,0,0,0,0,0,0,0,0,0,0,0.0890059375765706,0,0,0,0,0,0,0,0.0813168786227978,0,0,0.0114269004114232,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.385869459639798,0,0.0774583791284696,0,0,0,0,0,0.0309056032464445,-8.67361737988404e-19,0,0,0,0,0,0,0.0434644318167088,0,0,0,-1.73472347597681e-18,0,0.50833298373503,0,0,0,0.0935254632610806,0,0,0,-0.112434514567634,0,0,0,-0.0123315030226339,0,0,0,0,0,0,0,0,0,0,-0.00805779303189418,0,-0.0496662317537116,-0.0938945654285407,0
X600016.CH.EQUITY,0,0,0.132798100737375,0.0505325633757019,0,0,0,0,0,0,0,0,0,0,0.0858375585124684,0.0163327228349412,0.0181982010708941,0.21060885278882,0.143305700034932,0,0.10892395213269,0,0,0.124175343435062,0,0,0,0,0.0968229745225745,0,1.73472347597681e-18,0,0.0764621103896062,0,0,0,0,0,0,0.126696538928857,0,0,0,0,0,0,-0.0242089803878552,0,0,0,0,0
X600036.CH.EQUITY,0.178825965697724,0.369516479483074,0,0,0,0,0,0,0,0.0235443874435001,0,0,0,0,0,0,0.039997206699702,0.090998219917366,0,0,0,5.42101086242752e-20,0,0,0,0,0.180475002994365,0,0,0,0.136438252844769,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329725706981393,0,0
X600919.CH.EQUITY,0,0.0092775418286862,0,0,0,0,0,1.73472347597681e-18,0,0.028024478427627,0,0,0,0.117390180530898,0,0,0,0,0,0,0.207153032039963,0.0846059445441354,0,0,0,0,0,0,0,0,-0.0561936039530093,0,0,0,0,0,0,0,0,0,0,0.151417407415425,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,-1.73472347597681e-18,0,0.322939533901518,0,0,0,0.0266738384857039,0.187185455274305,0,0,0,0,0,0,0,0,0,0,0,0.0342733661140734,0,0,-0.0249114734112989,0,0,0,0,0,0.0659585275052767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0253009796673927,0
X601009.CH.EQUITY,0,0,0,0.0423459037763126,0,0,0,0.441457013587514,0,0.360426827501929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112736029723403,0,0.0447709347343033,0,0,-0.0169115482605889,0,0,-0.182099680978661,0.0278474457352825
X601166.CH.EQUITY,-1.38777878078145e-17,0.179495317878624,0,0,0,0.127237476965648,0,0,0.233257119059411,0,0,0,0.0349703300034423,0.158296276351104,0,0,0,0,0,0.0255581712416237,0,0.105938832122997,0,0,0,0,0,0,0,0,0,0,0,0,0.0131568138463046,0,0,0,0,0,0.0374510345278455,0,0,0,0,0,0,0,0,0,0,0
