,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.00908311567276796,0.0424797902184543,0,0,0.358349762558035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286787965482806,0,0.204024008046287,0,0,0,0,0,0,0,0,0,0,0,0,0.0186078895584028,0,0.0325340998645756,-0.0432015907654685,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0.180856197419209,0.429894826402491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240521287859005,0.0625010808178554,-0.0642318624410301,0,0.0990403659076263,0,0,0,0,0,0,0,0.0121508802266537,0,0,0,0.15458918395772,0,0,0.133910661301207,0,0,-0.347402750691005,0,0,0,0,-0.138732759474109,0
X600000.CH.EQUITY,0,0,0,0.0561309446926264,0,0.137973667486157,0.332144078889554,0,0,0,0,0,0,0,0,0,0,0,0.383092548703625,0,0,0,0,0.0806092571038438,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162915713300087,0,0,0,-0.0113268675713201,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0.459990016739918,0,0,0,-1.38777878078145e-17,0.0187295152553174,0,0,0,0,0.262658520785899,0,0,-0.0476482476150765,0,0.0918464798895483,0.17038361705981,0,0,0.0957213312927896,0,0,0,0,0,-0.118017714402961,0,0,0,0,0,0,0.0061852680515665,0,0,0,0,-0.0089757688668539,0,0,0,0,-0.0169231566071037,0.0740058501621978,-0.0620465439353384
X600016.CH.EQUITY,0,0.332299429717725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063330860029074,0,0,0,0,0,0.182553542627267,0,-0.262713578581765,0,0.579620908842371,0,0.0226870844014396,0,0,0,0,0.0326750575649713,0,0.0505128516615252,0,0,0,0.0178932208306519,0,0,0,0,0,0,0,0,-0.142791744117033,0,0,0,-6.93889390390723e-18,0
X600036.CH.EQUITY,0,0.0981051941713683,0.155668271348685,0,0,0,0,0,0.0115053990816406,0,0,0.0687504153142473,0.276562253529741,0,0,0.0873296997781876,0.0655559694789864,0.00978604085646348,0,0,0,0.0351594927511798,0.016366410264371,0,0.0339960409268428,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0405534961824708,0,-0.0225533575440356,0,0,0,0,0,0,0,0,0.164788506887702,0,0,0
X600919.CH.EQUITY,0,-0.11672656171053,0,0,0,0,0,0,0.0445184836755933,0,0,0,0.0218377620736635,0,0,0.569545913029588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176483098636261,0,0,0,0,0.0393479743705045,0,0.100050649132618,0,0,0,0,0,0,0,0.0702251022179581,0.03964377780272,0,0.0946031422819184,0
X600926.CH.EQUITY,0,0.272828950667388,0,0,0,0,0,0,0.145227120939957,0,0,-1.38777878078145e-17,0,0,0.0207661470831144,0,0,0,0,0,0,0.152374801391675,0,0,0,0,0,0,0,0,0,0.255327169856129,0,0.0149863450242895,0,0,0,0.0278885134511799,0.0311149926154017,0.00680061408201145,0,0,0,0.111919550777022,0,0,-0.130200203233296,0,0,0,-0.289420836992291,0,0.0196264295160742
X601009.CH.EQUITY,0,0.0118590229087664,0,0.766708811172741,0,0.0582760298139185,0,0,0,-0.0278900678367821,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174718253611363,0.0493809064195499,0,0,0,0.0819760810842858,0,0,0,0,0,0,0,0,0,0,0,-0.275323374356345,0,0,0.087313069477634,0,0,0.0713729181262031,-0.0409046300303794,0,0,-0.0136221111417048,0,0
X601166.CH.EQUITY,0,0,0.0606784708542066,0,0.0751994551167907,0.070683597781024,0,0.0736481093016197,0,0,0.546681806912952,0,0,0,0,0,0.0525169111688619,0.0765383872296336,0.00360948636981939,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0487408244924488,0,0,0,0,0,0.0528538610877934,0,0,0.045063844220181,0,0,0,0,0,0
X601169.CH.EQUITY,0,-0.0333901335199515,0,0,0,0,0,0,0,0.106413893133706,0,0,0,0,0,0,0,0.656726281670742,0.126735564322113,0,0,0,0,0.0290922409446894,0,0,0,0,0.0301979646148709,0.0424799199076962,0,0,-0.0345645469946621,0,0,0,0,0,0,0.0300540163020787,0,0,0,0,0,0,0.03076560838127,0,0,0,-0.0239809955879908,0.0934890205724769,-0.0198830351430889
X601229.CH.EQUITY,0,0.0102306486357736,3.46944695195361e-18,0,0,0.261278164315963,0,0,0,0,0,0,1.38777878078145e-17,0,0.733930301229898,0,0,0,0,0,0,0,0.280861117684638,-0.263556734061181,0,0,0,0,0,0,0,0,0,0,0.0789194874751198,0.0214621037442027,0,0,-0.106124692569814,0,0,0,0,0,0,0,0,0,0,-0.0715659017679837,0,0,0.0752601104903283
