,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.311728359225003,0,0,0,0.118344307161605,0.287429524655451,0,0.257213814447857,0,0,0,-0.0210799805678034,0,0,0,0,0,0,0,0,0,0,0,-0.0523003188279765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708576670213212,0,0,0,0.0253817827610184,0,0,0,-0.120942978870757,6.93889390390723e-18,-0.176387390573133,0.212673360284985
X002142.CH.EQUITY,0,0,0,0,0,0.146300558209082,0.0970303087526407,0,0.0489681314229584,0,0.018597886455182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20747616294491,0,0,0,0,0,0,0,0.0113237689844416,0,0,0,0.17207701647677,0,0,0,0,0,-0.0773116720342674,-0.0465045272900045,0,-0.0747473481228942
X600000.CH.EQUITY,0,0,0,0,0,0.107065492823525,0,0.0338772550125257,3.46944695195361e-18,0,0.0164120203016175,0,0.515785437399471,0,0,0,0,0.042425494557534,0.0154657824608818,0,0,0,0,0,0,0,0,0.0430988876277133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160999641165203,0,0,0
X600015.CH.EQUITY,0,0.0212487432502523,0,0,0,0,0,0.31065710562962,0,0,0,0,0,0,0,0.0477861216368193,0.132346469248933,0,0.183210486871677,0,0,0,0,0,0,0,0,0,0,0.171618562991292,0.0202922064900493,0,0,0,0,0,0,0,0,0.104110972743415,0,0,0,0.0767288573611774,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.475988872777379,0,0,0.163474724048719,0,0.00956805856576099,0.132314048103615,0,0.0940711973159316,-0.0040504552602107,-0.0013187414534072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497186605190532,0,-0.528195102998137,0,0,0,0,0,0,0.119476733357721,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.112581887208346,0,0,0,0,0,0,0,0,0.35503742114916,0,0,0,0,0.0673611910819262,0,0.0823770223694346,0.100423565958501,0,0.0133553479701389,0,0.0056470650332274,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113215470663645,0,0,0,0,0.0836004951258536,0,0,0.0462835671047754,-0.218331281080767,0,0
X600926.CH.EQUITY,0.240864681658605,0.105598903278888,0.245623535711097,0,0,0,0,0,0,0,0.013030880720546,0,0,0,0,0,0,0,0,0,0,0,-0.0605926074402625,0,-0.2342225949978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384679006431094,0,0,0,0,0.0202086783525016,0,0,0,0,-0.000797374797954235,0,0
X601009.CH.EQUITY,0,0,0,0.357268716943189,0,0,0,0,0,0,0.287385479437682,0.2118568314323,0,0.0340457808284956,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,-0.108447096016156,0,0.0224720245337444,0,0,0,0,0,0,0.0380298091055815,0,0.0249472667315653,0.0908364939887405,0.0321615065051588,0,0,0,0.0910648532946353,0,0
X601166.CH.EQUITY,0.326192762238858,0.185868536370441,0,0,0,0,0,0,0,0,0,0,0,0,0.2541824568286,0.0426527286903521,0,0,0.0797951571500337,0,0.0518266610714926,0,0.0188812184773211,0,0,0,0,0,0,0,0.00934142244918046,0,0,0,0,0,0,-0.0155545951663864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.078033986803362
X601169.CH.EQUITY,0,0,0,0,0.611568639577837,0.320020061018148,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.074628208514501,0,0,0,0,0.0480502797034847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.189957516053313,0,0,0,0,-0.0812628506783282,0,0,0,0,0
