,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,-1.38777878078145e-17,0.0807287081189858,0,0,0,0.0856594377903027,0,0,0,0,0,0,0,0,0.255362536904431,0,0,0,0,0,0.226054813004624,0,0,0,0,0,0,0,0,0,0,0.0535631000083139,0,0,0,0,0.0343631925457194,0,0.129649700610925,0,0,0.100338662245386,0,0,0,0,0,0,0.132352374809665
X002142.CH.EQUITY,0,0,0.0948616896292003,0,0,0.197789531341034,0,0,0.199247500758074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10411394586894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0333438641648317
X600000.CH.EQUITY,0,0.00680476636028765,0,0,0.458357715131625,0.172437589283339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133282509878338,0,0,0,0,0,0,0,0,0,0.188728635183798,0,0,0,0.0719054455662187,0,0.0618416444823857,0,0,0,0.0821836561100296,0,0,0,0,0,0,0.0153347890819869,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00579308117587193,0.113086348152638,0,0.0655259480712766,0.0975532083370483,0,0,0.200439090474924,0,0,0.0737749818589045,0.252574897458657,0,0.049955529156746,0,0.0552027877634922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633384999791365,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402655945086001
X600016.CH.EQUITY,0,0,0,0.185944490180355,0,0,0,0,0,0,0.15847398768419,1.38777878078145e-17,0,0,0,0,0.25486070167341,0,0,0.226406220228979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118580456241741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061085605592433,0,0
X600036.CH.EQUITY,0.229536851551144,0.190632808826893,0.177273389382657,0,0,0,0,0.130053079342542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393788985823873,0,0,0.00424081434569762,0,0,0,0,0,0,0,0.250002549556335,0,0,0,0,0,0,0.127341917237058,-0.129979337354374,0,0,0,0,0,0.040034784818929,0
X600919.CH.EQUITY,0,0,0,0,-6.93889390390723e-18,0,0,0,0.26428629463252,0,0,0,0,0,0,0,0.0710920641101695,0,0,0,0,0.290845109607014,0,0,0,0,0,0.0272640783018283,0,0,0,0,0,0.0174698216511843,0.0304146409120147,0.228464350103954,0,0.0750540486363784,0,0,0,0,0,0,0,0,0,-0.023361361440115,-0.0670323157021681,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0.0141209468215175,0,0,0,0,0.0889870701125502,0,0.0309806802605622,0,0,0,0.445206342585953,0,0,0,0,0,0,0,0,0,0,-0.195650707942965,0,0,0,0,0,0,0.147791759376602,0,0,0,0,0.0959900376235648,0,0,0,0,0,0,0,0,0,0.0209585323400876,0.0807324627061043,0
X601009.CH.EQUITY,0,0.120981112721458,0,0,0.00877074195974728,0,0.3721166212104,0,0,0.0703177036005951,0,0,0,0,0,0,0,0,0,0.118249927321485,0,0,0,0,0,0,-0.0192901940738321,-0.0456864790952378,0,0.123300207397753,0,-0.121239970856312,0,0.0860419401189761,0,-0.0734811130658123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186862860158791
X601166.CH.EQUITY,0.0352596367487741,0,0,0.0821711415811626,0,0,0,0.0974545346729545,0.0529234837054584,0,0,0.134779177004305,0,0,0,0,0.0485500907515566,0.053057018267149,0.104997579940819,0,0.0256400038226597,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304511979403554,0,0,0,0,0,0,0,0,0,0
