,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.219944095337507,0.081011481393649,0,0,0.642683585072644,0,0.0171453604978068,0,0,0,0,0,0,0,0,0,0,0,0,0.0837920865994803,0,0.0575390350526546,0,0,0,-0.152939215739363,0,0,-0.20186706834121,0,0.153846233112259,0,0,0,0,0,0.00825838471893086,0,0,0,0,0,0,0,0,0,0,0,0.0432403095541321,-0.0242005025193237
X002142.CH.EQUITY,0.25991060850212,0,0,0.231944708857355,0,0.159648805919034,0,0.0392105369803976,0,0,0,0.0249437240341296,0,0,0,0,0,0,0,0,0,0.0646295194591445,0,0,0,0,0,-0.210586934626174,0,0.0437887628629235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083017641233631,0.1877975417467,0,0,0,0,0.206417307869915,0
X600000.CH.EQUITY,0,0,0,0.2785597576577,0,0,0,0.0832707836939404,0.105829557384339,0.111072342090315,0,0,0,0,0,0,0,0.11623787886854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101613018105113,0,0,0.0477376005562592,0,0,0,0,0.054100881016932,0,0,0,0,0,0
X600015.CH.EQUITY,0.302425764089925,0,0.0676607249044332,0,0,0,0,0,0.0387174035780908,0,0,0,0,0,0,0,0,0.0754747553707817,0,0,0.0323299249568321,0,0,0,0,0,0.0740685277347109,0,0,0,0.0413062153629579,0,-0.201125344791605,0,0,0,0.224357330476849,0,0,0.0801424700453315,0.0955620688660247,0,0,0,0,0,0,0,-0.00675495124665521,0,0
X600016.CH.EQUITY,0,0,0,-0.00436768782041207,0,0,0,0,0,0.0757958763049396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.379225358442023,0,0,0,0,0,0,0,0,0,0,0,0.607821133044646,0,0,0,0,0,0,0,-0.0457609885500809
X600036.CH.EQUITY,0.150930448688732,0.0483729522218565,0,0.228905888704104,0,0,0,0.103969142403846,0,0,0,0,0.191109467022651,0,0,0,0,0,0,0,0.0169689047945775,0,0.0211583698445235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.274197086396513,0,2.77555756156289e-17,0,0,0,0,0,0,0,0.165429703222884,0,0,0.339586391631437,0,0,0,0,0,0.000539584988323206,0.00169951181948764,0,0,-0.0949623032155073,0,-0.0641784997317158,-0.0523113969639561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463464947246389,0
X600926.CH.EQUITY,0.0441043117910045,0,-4.33680868994202e-19,0,0,0,0,0,0.0798895996985281,0.202770185659157,0,0,0,0,0,0.0405498847806545,0,0.337138168891839,0,0,0,0,0,0,0,0,0,0,0,0,-0.000416643456074015,0,-0.0875771961478735,0,0,0,0,0,0,0,0,0,0,0,0,-0.142075199631156,0,0,0,0,0
X601009.CH.EQUITY,0,0,0,0,-0.147319476061382,0,0,0.281104648455443,0,0,0,0,0,0,0,0.379317248981433,0,0,0,0,0,0.0629523198955251,0,0,0,0,-0.542041901726441,0.17919487073074,0,0.0340584108397683,-1.38777878078145e-17,0.202378706608854,0,0,-0.121912824565418,0,0,0,0,0,0,-0.134087816692405,0,0,0,0,0.439325229166448,0,0,0.0401493323993174,-0.583782023418793
X601166.CH.EQUITY,0.587599806997039,-1.35525271560688e-20,0,0,0,0,0,0.193215272849518,0,0,0,0,0.0850644479306759,0,0,0,0,0,0,0,0,-0.120320155740813,0.0472422788562361,0,0,0,0,0,0,0,-0.039875431137298,0,0,0,0.0123910585408178,0.155587803881672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.00431226581477538,0,0,0,0,0,0,0,0,0.190549143280387,-0.108845680530708,0,0,0,0.00877837010228508,0,0.655944023562313,0,0,0,0.0635841864382308,0,0,0.0320148243682586,0,0,0,0,0,0,0,0,0,0.166789261616817,0,-0.0282561803514683,0,0,0,0,0,0,0,0,0,0,0.020940913992365,0
X601229.CH.EQUITY,0,0,0,-0.0775215143345467,0,0,0,0,0,0,0,0,0,0,-0.112116526065589,0,0,0,0.995619784035691,0,0,0,0,0,0,-0.0325324089257709,-0.0270836199623622,0,0,0.0133081572717181,0,0,0,0,0,0.0649809434102018,0,0,0,0,0,0,0.167023450484744,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0291742089963666,0,0,0,0.0153580677290755,0.027458266659621,0,0,0,0,0.126040542292999,0,0,0,0.0336402249444068,0,0,0,0,0.582983873835485,-0.0273075455085285,-0.0278915540187441,0,0,0,0.0162839820698193,0,0,0,0,0.16172249306861,0,0,0,0,0,0.183363530211609,0,0,0,0,0,0,0,0,-0.00473075013804288,-0.115213219134173,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968348661328973,0,-0.0377801105303172,-0.0112611961537969,0,0,0,0,0,0,0,0,0,-0.0922513945394961,0,0,0.11472861784372,0,0.0584152661270856,0,0,0,0,0,0,0,0,0,-0.0235473520540589,0,0,0,0.0362760293185144,0,0,0,0
X601398.CH.EQUITY,0,-0.0760586337950332,0.128604014320392,0,0,0,0,0,-0.0176234874290364,0,0,0,0.0196101964925878,0.751618556072666,0,0,0,0,0,0,0,0,0.209874573456916,0.00751264061652389,0,0,0,-0.0297250577581083,0,0,0,0,0,0,0,0,0,0,0,0,0.148212193172866,0,0,0,-0.13144024150134,0,0,0,0,-0.0591250984557746,0
X601577.CH.EQUITY,0,0,0,0,0,0,-1.38777878078145e-17,0.0424034156254398,0,0,0,0,0,0,0,0,0,0,0,0,0.213028023316105,0,0,0.230074812943169,0,0.846230266330245,0,0,0,0,0,0,0,0,0.189229909539755,0,0,0,0,0,0,0,0,0,0.0288135844985712,-0.272696204662127,0,0,0,0,0.0883660346845444
