,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0.103876929751785,0,0.127077718256212,0.0578215656544792,0,0,0,0,0.1845663157825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434770715579605,0,0,0,0,0.161863667608034,0,0.0040016587291317,0,0.0081149553325972,0,0,0,0,0,0,0.0662496183579729,0.0524643162366264,0,0,0
X002142.CH.EQUITY,0.311071910063553,0,0,0.153159729862652,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258466599510219,0,0,0,0,-0.136788105500793,0,0.372577179526627,0.0189840799186922,0,0,0,0,0,0,0,0,0.113344720824558,0,0,0,0,0,0,0,0,0.0694831721599996,0,0,0,0,0,0.0163311717623054,0
X600000.CH.EQUITY,0.0942159080002727,0,0,0,0.138882848815569,0.209847673676826,0.00416249384679442,0,0,0,0.142893403301622,0,0,0,0,0,0,0,0,0,0.173503877296726,0,0,0,0,0,0,0,0,0,0,0.102081627220448,0,0,0.0341913422085529,5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0.0404920307704109,0,0,0.379487375694489,0.0555209460694695,0,0,0,0,1.38777878078145e-17,0.375133089601658,0,0,0,0,0,0.0936757462033368,0,0,0,0,0,0,0.0236377816981104,0,0,0,0,0,0.00363560401003317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.0890490344596893,0,0,0.30677442941681,0,0.0433062880783835,0.00736127375696713,0.267629508588498,0,0,0,0.0450446239064796,0.025318272564734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0230929678566737,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.400141246094392,0,0.215578529813717,0,0,0,0.0485551559480073,0,0,0,0,0,0,0,0,0,0,-0.0469861511439731,0,0,0,-0.0476397370790099,0,0,0,0,0,0,0.0399284210520374,0.190420277593091,0,0,0,0.088820557073367,0,0.0167676296184963,-0.0440693191287842,0,0,0,0,0.117542163968486,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.0785593579372226,0,0,0.293859481460469,0.142734207084903,0,0,0,0,-1.73472347597681e-18,0,0,0.139549617373877,0,0,0.00441103577141771,0,0,0,0,-0.0193495465288823,0,0,0,0,0,0,0,0.0658094200493846,0,0,0,0.115832380748337,0.00811984935806674,0,0,0,0,-0.00738133442871489,0,0,0,0.0285060431579229,0,0,0,0,0,-0.00911064125488668
X601169.CH.EQUITY,0,0,0,0.0785216823546097,0.0918037515935664,0.295559483909108,0,0,0.198146434182961,0,0,0,0,0,0,0,0,0,0,0,0.247738414812227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0539561479372189,-0.0293673568236489,0,0,0,-0.0168136008963731,0,0,0,0,0,0.0589633669517706,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.415480899518964,0,0,0,0,0,0,0.0233807527513198,0,0.138903914685078,-2.77555756156289e-17,0,0,0,0.0548875419627508,-0.0273876766067323,0,0,0,0,0,0.0808660770039207,-0.0846628062402188,0.34341821563122,0,0,0,0,0,0,0,0,0,0,0.0990170308872747,0,0,0,-0.0416118188000058,0,0,0,-0.0497107028163219,0,0,-0.0348586106916105,0
X601288.CH.EQUITY,0,0.077144255482688,0,0,0,0,0,0,0,0,0.0957454546104771,0.373915617825799,0,0,0.0101468510616697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235919503008558,0,0,0,0,0,0,0.125012863050732,0,0.064838504215698,0,0,0,0.0303375946074097,0,0,0,0
