,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.113795801445523,0.118400005597705,0,0.121436866922331,0.129720373700405,0,0,0,0,0,0,0,0,0,0.100898325784452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698050349495829,0,0.0749673234190001,0.0959051988899309,0,0,0,0.0101708980719526,0,0.028447971629311,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.215375282915191,0,0,0.18889918806316,0.389612220170928,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356107063626232,0,0,0,0,0,0,0.0237540251857551,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.207777310144325,0,0,0,0,-0.15423906606957,-0.15517318175678,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.120909106117575,0,0,0.193383115865773,0,0,0,0.156233161540877,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258441359911132,0,0,0,0,-0.0302415021346172,0,0,0,0,0,0,0.0817094127892509,0,0,0.692974229386192,0,-0.113698262554708,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.154375442088486,0,0,0,0.215137264987049,0,0,0.148035899422085,0,0,0,0,0,0,0,0.057490888438675,0,0,0,0.432957226206528,-0.406938502206868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0444597976052336,0,0,0.0293291270952342,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.180822226705107,0.132297944391416,0,0,0,0.0211773387706497,-1.73472347597681e-18,0,0,0,0.385232801644083,0,0,0,0,0.189584366866522,0.00825907407981175,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0101986863018761,0,0,0,0,0,0,0,0,0.0163772936277765,0,0,0,0.00723340470837004
X601166.CH.EQUITY,0.0704037012962599,0.0137684248819149,0.0725138193820004,0.0492436195514624,0.0108107267717495,0,0,0,0,0,0.047350145365424,-3.46944695195361e-18,0.533149363473812,0.0504309166536368,0.0694144073123067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0328969246926917,0.0188199170181309,0,0,0,0,0,0,0,0,0.0215689733991415,0,0,0.0785799100671813,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.00383087899643,0,0,0,0,0,0,0.727252793945679,0,0,0,0,0,0,0,0.488429919435992,0,0,0,0,0,0,0,0,0,0,0.132085738322274,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.259815810171569,0,0,0,0,-0.156108130009292,0,0,0.0714318466230493
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.00281740382688723,0.0258243701926823,0,0.908670473190828,0,0,0,0,0.0502320697408979,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.10720925894122,0,0,-0.068077218194388,0,0,0,0.0332972270412218,-0.109272871511948,0,-0.0629315937771582,0,0,0,0,0,0,0,-0.0335886633465177
X601328.CH.EQUITY,0,0,0,0.327697848328934,1.38777878078145e-17,0,0.248325113655984,0.212763189598089,0,0,0,-6.93889390390723e-18,0.0103976402820889,0,0,0,0.00468618849308196,0,0,0,0,0.0473293677252998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256888089924357,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0.107795511190951,0,0,0,0,0,0,0,0,0,0,0,0.688342485053175,0,0,0,0,0,0,0,0,-0.127768288190168,0,0,-0.338795073395155,0,0,0,0,-0.138339954831137,0,0,0,0,0,0,0,0,0,-0.13393976419347,-0.083228035182042,0.039377991714273,0,0,-0.0966292523095797,0,0,0.431991413680584,0,0
X601818.CH.EQUITY,0,0,0.0738023082188837,0,0,0,0,0.0226258805638251,0.0220099218360486,0,0,0.275336670688165,0.0382504410914358,0,0,0,0,0,0,0.176077778275097,0,0,0,0,0,0,0,0,0,0,-0.0273874021183981,0.0225607542047848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0431774913520195,0.0296940394076431,0,0.0571407197732513,0,0,0.806387404243061,0,0,0,0,0.0267734047446812,0,0,0,0,0,0.00130195337295047,0,0,0,0,0,0,0,0,0,0,0.0467041412659118,0,0,0,0.0434892068573895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,-0.221310598343002,0,0,0,1.12021787104626,0.0128527536035005,0,0,0,0,0,0,0.10423532652845,0,0,0,0,0,0,0,0.138147551246086,0,0,0,0,0,0,0,0,0,0,-0.142850852248552,0,-0.160400903537415,0,0,0,0,0,0.0612514782468015,0,0,0,0,0,0,-0.0625941902142902,0,0,0.0996017584678156
X601998.CH.EQUITY,0,-0.0488084919999188,0,0,0,0.283509528745737,0,0,0,0.216255186793061,0,0,0.27110937896529,0,0,0,0,0,0,0,0.340731114360822,0,0,0,0,0,-0.121461966904716,0,0,0,-0.0714164799777888,0,0,0,0,0,0,-0.042668380380389,0,0,0.0267646584614338,0,0,0,0.0693539615426507,0,0,0,0,0,-0.134117922611224
X601658.CH.Equity,0,0,0,0,0,0.00135109450317508,0,0.222421697553887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291835451597895,0,0,0,0,0,0,1.73472347597681e-18,0,0.0556920691374444,-0.0452808399819701,0,0.293442501067377,-0.0682667299597369,0,0,0,0,8.67361737988404e-19
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.121294877110447,0,0,0,0,0,0,0.217589366343404,0.365490435301617,0.0151391855277118,0,0,0,0,0,0,0,0,0,0,0,-0.172273002888093,0,0,0.0496362658212729,0.123783984716741,0.0474491834552962,0.0617594490326871,0,0,0,0,0,0,0,0,0.13607640253472,0,0,0,0,0.0888228688190792
X2388.HK.EQUITY,0,0,0,0,0,0,0.0377691270903786,0.0448187331553879,0,0,0,0,0,0,0,0.263918964715759,0,0,0,0,0,0,0,0,0.0686929283349613,0,0,0,0,0.0174998243386804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164918627975553,0,0.0273467892201439,0,0.462208676971683,0
X5.HK.EQUITY,0,0,0,0,0,-0.0732943600479313,0.0280940848761908,0,0,0,0.0293080440137898,0,0,0,0,0.277133346795514,0.10921898862835,0,0,0,0,0,0,0,-0.16029641393939,0,0,0,0,-0.10101712290198,0,0,0,0,0,0,0,0,0.100139957489312,0.274032469025218,0,0,0.0303503732243469,0,0,0,0,0,0.285450260144409,0,0.223159221439466
X2886.TT.EQUITY,0,0.358228224468952,0,0,0,0,0,0,0,0,0,0,0,-0.0252303277644911,0,0,0,0.0389643405265328,0,-0.039862646399705,0,0,0.0196716675192243,0,0,0,-0.261353647916267,0,0,0.110578196775877,0,0,0,0,0,0,0,0.189291941203908,0.336278525342036,0,0.134159413593091,0,0,0,0,0,0.0624344909367417,0,0,0,0.105292388795681
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00674130050172174,1.73472347597681e-18,0.0384613612630263,-6.93889390390723e-18,0,0,0,-0.0197155198608797,0,0,0,0,0.126597055495997,0,0.532193055024016,0,0,1.38777878078145e-17,0.0892140961299169,0.0422736788886423,0,0,0,0.163981010185463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491395913976086,0
X000776.CH.EQUITY,0,-0.137742929671163,0,0.267718163035333,0,0,0.0572569525306787,0,0.00930313185888491,0,0,0,0,0,0,0,0,0,0,0.0758660755545705,0,0,0.0351953112284168,0,0,0.0275328769592702,0,0,0.332770362235667,0,0,0,0.408070369717656,0,0,0,0,0,0,0,0,0,0,0,0,0.0372718149552264,0,0,0,0,-0.02686821290664
X002736.CH.EQUITY,0,0,0,-0.0158769903143096,0,0,0,0,0.131912466997968,0,-0.0170980336400427,0,0.204340645319514,0,-0.0446602669228643,0,0,0,-0.0718541103760286,8.67361737988404e-19,0,0,0,0.459128525974992,0,0,0,-1.73472347597681e-18,0.312461800116703,-0.0148666212921383,0.0301369644772525,0,0,0,0,0,0,-0.0127307264108931,0,0,0,0,0.0248088299726625,0,0,0.0656192646723149,0,0,0,-0.0466712886245284,0
X300059.CH.EQUITY,-0.0196655892706264,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.137142283216837,0,0.125853662937629,0,0,0.0851807552621837,0.0312163598610352,0,0.213861901565514,0,0.154456128462405,0.0182472028512137,0.120823182579018,0,0,0,0,0,0,0,0,0,0,0,0,-0.255015416614967,0.055528415368637,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.020037044911432,0,0,0,0.0531959793514477,0,0,0,0,0,0,0,0,-0.0146582375640849,0,0,0,0.0198465495397319,0.0296033350976708,0,0,-0.0619365847442804,0.0380871694477566,0,0.682078030046253,0.015218964288539,0.00766845205155594,0,0,0,0,0.175102550959278,0,0,0,0,0,-0.00509569169037121,0,0,0,0,0.0677964433102499,0,0,-0.0108341615271978,-0.0544797047516462
X600837.CH.EQUITY,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.138666829359716,0,0,0,0,0.0236927069161531,0,0,0.146071348634838,0,0.0393428947245696,0.0966374312398848,0,0.536017330629361,0,-0.0295124688004494,0,0,0.0706556300804524,0,0.00477477649731939,0,0,0,0,0,0,0,0.0164501317878203,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0.597546518266148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.082772811343335,0,0.667960290641509,0,0,0,0,0,0.0291088438498113,0,0,0,0,0,0,0,-0.140998837785335,-0.38954098543726,0,0,0,0,-0.696367803269022,0.169651269742407,0,0,0,0,0,0,0,0,-0.0109327058345858
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538582178418485,0.0449876933408532,0,0.147007653105949,0.339446677685388,0.336049623238701,0,0,0,0.0578833466613008,0.0352971020305383,0,0,0,0,0,0,0,0,0.0719983731216998,-0.0333938760030392,0,0,0,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0.0214175915088225,0,0,0,0,0,0,0,0,0,0,0.0926966104346603,0,0,0,0,0,0.084986817455315,0.117359565182653,0.0357453396747632,0,0,0,0,0,0,0.453362238333205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285244209188789,0,0.0437096625832767,0,0,0.071206163296262,0,0
