,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.120280903583984,0,0,0.326990008538404,0,0,0,0,0,0,0,0,0,0,0,0,0.0291453033720119,0,0,0,0.235071033254971,0,0.0827306707296701,0,0,0,0,0,0,0,0,0,0,0.0495399640303479,0.0692218976782243,0,-5.42101086242752e-20,0.0670836690077102,0,0.0391370243781211,0,0,0,0,0.0734591184413577,-0.233706855967658,0,0,0,0
X002142.CH.EQUITY,0.239302860366051,0,0,0.0688002193246619,0.198015073519851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0737660200935719,0,0,-0.288742466496357,0.0877987795018302,0,0,0.166505833086524,0.432362285786144,0,0,0,0,0,0,0,0,0.0705781565867658
X600000.CH.EQUITY,0,0,0,0,0.149393947734873,0,0,0,0.230639964545357,0,0,0,0.11255648076466,0,0,0,0,0,0,0,0,0,0,0,0,0.290298850597013,0,0,0,0,-0.0243674908524144,0,0.00135805388991899,0,0,0,0,0.0842287280042826,0,0,0.71450056209749,0,-0.0740908702088073,0,0,0,-0.0482159024506997,0,0,0,0
X600016.CH.EQUITY,0,0.0291591077044446,0,0,0,0.0805765321836562,0,0,0.0438315198892934,0.111252613819828,0,0.20309881526986,0,0,0,0,0,0.0704699908255233,0,0,0.0682821892757195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.0210084857049431,0,0,0,0
X600036.CH.EQUITY,0.0120390619606694,0.170487156939446,0.172072675249187,0,0,0,0,0.0406049394984754,0.329163496492911,0,0,0,0,0.00603206604008775,0,0,0,0.0363600249880804,0.036973361552812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250919164866267,0,-2.16840434497101e-19,0.0420036201566513,0,0,0,0,0,0,0,0,0.114704168298575,0,0,0,0
X601166.CH.EQUITY,0,0,0.0453190646762113,0.074533195078127,0.112183210134546,0,0.256900446687145,0,0,0,0,0.0879452815828024,0,0.361398192063219,0,0.0475708414413101,0,0,0,0,0,0,0,0,0,0.0136922930001821,0,0,0,-0.0434639507198081,0,0,0,0.0383963307989257,0,0,0.00137494800099378,0,0,0,0,0,0,0.0271700473057977,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,-0.0353311610201549,0,0,0,0,0,0,0,0,0,0,0,0.769342495903386,0.0843918982632012,0,0,0,0,0.0158166966903641,0,0,0.0187230124881721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487876226265852,0,0,0.086562488437758,0,0,0.00473784751961485,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.800355390668652,0,0,0,0,0,0,6.93889390390723e-18,0.385815523768746,0,0,0,0,0,0,0,0,0,0.243235141412365,-0.0956634799256556,0,0,0,0,0,0,0,0,-0.203163137283164,0,0.0559416086944755,0,-0.217693361864313,0,0,0,0,-0.0364327109810315,0,0,0.104309195605515
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0179681733185921,0,0,0.911492747354913,0,0,0,0.00498070998656538,0.0299368569552264,0,0,0,-0.0886567074780762,0,0,0.0114593169336959,0,0,0,0,0,0,0,0.137039598296447,0,0,-0.048115583352533,0,0,0,0,-0.107379555405764,0,0,0,0,0,0,0,0,0.0259782478229199,-0.0365263703798687
X601328.CH.EQUITY,0,0,0.0660622765341486,0.330620967011532,0,0,0.00713104440798929,0.113346383622694,0.26593343332675,0,0.00882880719495285,0,0,0,0,0,0,0,0,0,0,0.11574047626065,-0.0538860610877218,0.0433843434928729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
