,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.339421975975153,0,0,0.0075252965097568,0.46282942125252,0,0,0,0,0,0,0.235567889422391,0,0,0.13304572169188,0.0165120933097757,0,0,0,0,0,0,0,0,0,0,0,-0.0790388958291333,0,0.17215458458202,0,0,0.00474422281009982,0,0,-0.0747252553446506,0,-0.0370716383706187,0,0,0,0,0,0,0,0,-0.0977880968794883,-0.304594360692242,0,0
X002142.CH.EQUITY,0.0278555795079529,0,0,0,0.167263153236058,0.124547269435245,0.0391078213661348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279062411013763,0.0846550548957707,0,0,0,0,0,0,0,0.200690238803947,0,0.097302332198614,0,0,0,0,0,0,0,0,-0.0705719948349812,0,-0.0501935307577669,0,0,0,0,-0.0178932451910117
X600000.CH.EQUITY,0,0,0,0.0655818014921475,0.054160294671604,0,4.33680868994202e-19,0,0.351637218158312,0,0,0,0,0.0872829166499386,0,0,0,0,0,0,0.103797863282495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723839056201267,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0.020747976183618,0.162244289244297,0,0,0.372055473755889,0,0.135589181059829,0.115483637946743,0,0,-0.229259186484447,-0.0336881253866592,0,0,-0.188895438534564,0,0,0,0,0,0,0,0,0.358148789962692,0,0,0,0.300256525179487,0,0,0,0,-0.117003460263954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0629965850091944,0,0.196297936548478,0.340231464784646,0,0,0,0,0,0,0.0525032949230394,0,0,0,-0.0706852767624637,0.0315523600808639,0.0834935995987694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876458030962106,0,0,0,0,0.0651526670540918,0,0,0.115268650251179,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.171050235306369
X601166.CH.EQUITY,0.228602042418162,0.158847136516429,0,0,0,0,0,0,0,0,0.363081046857008,0,0,0,0.0683245935397878,0,0.0339623199924658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00575872021878656,0,0,0,0,0,0.0858176668812572,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.25225935667745,0,0,0,0.238830745900772,0,0,0,0,0,0,0,0,0.121435089936737,0,0,0.17661258676373,0,0,0,0,0.0423719663768573,0,0.0984355531159113,0.247316353488874,0,0,0,3.46944695195361e-18,0.17271145314325,0.292108724949813,0,0,0,0,0,-0.062238112155807,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0217027128553577,0,0,0,0,0,0,0,0.0881929887634141,0,0.495231216401978,0.122872013912593,0.0934389646310978,0.0638496428746038,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.083173815300952,0,0,0,0,0.0164829377622327,0,0.0481338909843134,0,0,0,0,0,0,0,0,0.0117337897319839,0,0,0.0407149182923241,0,0
X601328.CH.EQUITY,0,0,0.328937444327132,0.0957156142381085,0,0,0,0,0,0,0,0,0.0575295726095945,0.0293511048121157,0.159664520652065,0,0,0,0,0,0,0,0,0,0,0,0.107484275316632,0,0,0,0,0,0,0,0.0084540537853431,0,0,0.00468983886719889,0,0,0,0,0,0,0,0,0,0.137043095287311,0,0,0.0538850206282718
X601398.CH.EQUITY,0,0.00358583175923876,0,0,0.0647576352520879,0,0,2.16840434497101e-19,0,0,0,0.253192395197935,0.342242234012064,0.119838658203689,0.130555015954929,0,-0.0118849620843389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026287173047172,0,0.0349427818436914,3.46944695195361e-18,0,0,0,-0.00946291811265685,0,0.118737275133303,0,0,0
