,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0.133115600144329,0,0,0,0.394807923794613,0,0,0,0,0,0,0.217705948774252,0,0,0,0,0,0,0,0.0168021405926369,0,0,0,0,0,0.184358912720741,0,0,0,0,0,0,0,0,0,0.0877282122180594,0,0,0,0,0,0,0,0,0.0211757526115065,-0.100007949724159
X002142.CH.EQUITY,0,0,0,0.150931205411375,0.0256063519826368,0.213337065676142,0,0,0.129960476162593,0,0,0,0.133078398990626,0,0,0,0,0,0,0,0.0500784784172887,0,-0.0665382366340404,0,0,0,0,0.039875822881368,0,0.0222682946337251,-0.212224023143906,0,0,-0.18229283596274,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.0566456037827544,0
X600000.CH.EQUITY,0,0,0,0.144997976634984,0,0.664267781639216,0,-0.0901821440559053,0,0,0,0,0,-0.415004035922466,0,0,0,0.100076422165801,0,0,0.0335559684007572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0423316152201669,0,-0.013647408274256,0,0,0.54253859139684,0,0,0,0,0,0,-0.012990749573652,0,0,0
X600015.CH.EQUITY,0,0,0,0,1.73472347597681e-18,0,0,0,0,6.93889390390723e-18,0.0683659664614814,0.047838617762639,0,0.0212521196936162,0.0316692435884432,0.0708042078373148,0.0297627884340211,0,0,0,0.0999292603789336,0,0.215007812193673,0.266755916590714,0.148591314965112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0151816997188572,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.13724377939372,0,0,0,0.488327954898532,0,0,0.118140153412719,0.19934644959277,0,0,0,-0.123256873847936,-0.0131505099532748,0,0,0,0,0,0,0,0,0.21840077414032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193632755709
X600036.CH.EQUITY,0.176541772608896,0.170432056374571,0.297095698620065,0,0,0,0,0,0,0,-0.025758907642535,0,0,0,0,0,0,0,0,0,0,0.13756918134344,0,0,0,0,0,0,0,0.0957080205085914,0,0,0.06306372759115,0,0,0.0395394238673149,0,0.239748124340544,0,0,0,0,0,0,0,-0.130810964595117,0,-0.0388061832256842,0,0,0
X600919.CH.EQUITY,0,0,0,0,0.0257290179817846,0,0,0,0.460074571256322,0,0,0.0164210735714908,0,0,0,0,0,0.184759505004369,0,0.100201960344117,0,0,0,0,0,0,0,0,0.0155537235231807,0,0,0,0.342978704183446,0,0,0,0,0,0,0,0,0,0,0,0,-0.179951983740824,0,-0.0117988518799738,-0.0708866098741509,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0450560413351624,0.118110156810125,0,0,0.0836790979399101,0,0.553975043889373,0,0,0,0,0,0.0400276598466892,-0.0154310730014121,0,0,0,-0.077539430955136,0,0,0,0,0,0,0,0.0331007893451061,0,0,0,0.159218291441497,0,0,0,-0.241740654755697,0.0273922248463771,0,0,0,0.0419384188869914,-0.00965931662854664
X601009.CH.EQUITY,0.153410204483546,0,0,0,0,0,0,0,0,0.296229556448284,0,0,0,0,0.0255234170744209,0,0.256555832564328,0.0177600390686604,0,0,0,0,0,0,0,0.0618097182535928,0,0,0,0,0.197320961902387,0,0,8.67361737988404e-19,0,0,0.0278629975180475,0,0,0,-0.145991149596053,0,0,0.100073747119165,0,0.106317103121398,0,0,0,0.0113305835430244,0
X601166.CH.EQUITY,0.206361372300688,0,0,0.0358573566229397,0,0,0,0,0.282816194495078,0,0,0,0,0,0.184050998724398,0.0133567422879582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0658435684251894,0,0,0,0,0,0,0.016112146764462,0,0.0450250972272232,0,0,0,0,0,0,0,0.0201831276572514,0
