,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0.329631641269557,0,0.0135829250472675,0,0.0235953998051752,0.102447181272949,0,0,0,0,0,0.0113534699588379,0,0,0,0,0.118970289000133,0,0,0,0,0,0,0.00262328568649381,0,0,0,0,0,0.0424237601029792,0,0,0.0449715982830077,0,0.0819372578169204,0.0180372930171902,0,0.0755285674335878,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0.052020990649973,0,0,0.0230012368499452,0,0,0,0.443845781363737,0,0,0.0551838603929514,0,0,0,0,0.193407486083543,0,0,0.099331119412995,0.122320789365308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0717644970535976,-0.0486453505801569,0,0,0.0134207929161964,0,0,0.127044759833172,0,0,0,0,0,0.081097896143277
X600000.CH.EQUITY,0,0,0,0,0,0.20620079251881,0,0.0225667359072598,0,0.0959365436797736,0,0.33266554724943,0,0.0257783004217133,0.19584909081696,0,0.0863673605985885,0.108483149027654,0,0.0252955983850433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432347927707494,0,0,0,0,0.130829862124784,0,0,0,0,0,0,0,0.000252348611745673,0
X600015.CH.EQUITY,0,2.71050543121376e-20,0,0,0,0,0.0338558947464101,0,0,0.102567705197701,0,0.411869456767353,0,0,0,0,0,0,0,0,0,0,0,0.204153723662514,0,0.0208281626470377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190834380231749,0,0,0.0542953649725447,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.063252403043384,0.102829625233153,0,0,0,0,0.155970579968714,0,0,0,0,0,0,0.283922744278633,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.171677036841126,0.182174096486925,0,0,0,0,0,0,0,0,0.248206179775565,0,0,0,0.0263043638599109,0,0,0.0474015520819503,0.0214565102415036
X600036.CH.EQUITY,0.51610228762102,0.193375407092686,0,0,0,0,0,0,-0.0937290433182717,0,-0.069684910948494,0,0,0,-0.0643678635899219,0,0.0761161183680988,0,0,0,0,0.182429542282196,0,-0.0448679135821076,0,0.0877404318968778,0,0,0,0,-0.049316146727973,0,0,0.134881075839167,0,0,0,0,0,0,-0.0364610198834093,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0791612590019613,0.079688772532171
X600919.CH.EQUITY,-0.0412868004168074,0,0,0,0,0,0,0.457745223802567,0,0,0,0,0,0,0,0,0,0.224593502667482,0,0.00011314474292854,0.0468016630952505,0,0.0802123473467055,0,0,0,0,0,0.0693992395207713,0,0,0,0,0,0,0.177387409305576,0,0,0,0,0,0,0,-0.145074917385928,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0.194362076500016,0,0,0,0,0.470991089518644,0,0.00844288206553556,0.0597799993728112,0,0,0,0,0.148583306378138,0.0263851230171174,0,0,0,0,-6.93889390390723e-18,0.0615584477425739,0.0389173906877573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0087441125410578,-0.142013277651703,0,0,0
X601009.CH.EQUITY,0,0,0,0,-0.331901551396888,0,0,0.327738913939579,0,0,0,0,0.0498173572323967,0,0,0,0,0,0,0,0,0,0,0.290659090778437,1.73472347597681e-18,0,0,0.0176514635951763,0,0,0.0145127665196679,0.132310663933338,0,0,0,0,0,0,0,0,0.261732749014473,0,0,0,0,0,0,0,0,0,-0.342448465801088
X601166.CH.EQUITY,0.163998307608651,0.104339748211487,0,0,0.305597227488234,0.0722148633888595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00984741904988779,0,0,0,0,0,0,0,0,0,0.00366771873586027,0,0.191811477521862,0,0,0,0,0.370478860808171,0,0,0
X601169.CH.EQUITY,0,0,0,0.0839827956026614,0.187614685714876,0,0.0240396377707583,0,0,0,0,0.167802988878375,0,0,0,0,0.0592242861690742,0,0,0,0.156234410138846,0,0,0.0156016767087123,0.0375318049490595,0,0,0,0,0,0,0,0,0,0,0,0.0577759587073839,0,0,0,0,0,0.0663134540007798,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.306509526045903,0.055086073573251,0,0,0,0,-0.0564434072748907,0,0.0163351842776576,0,0,0,0,0,0,0,0.0969948192444154,0,0,0,0.238057541222276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111564009790108,0,0,0.128031377944598,0,0.088152763611548,0,0,0,0,0,0,0,0.0269254271687068,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.231245265608857,0,0.621698841200313,0,0,0,-0.144068456917559,0,0,0,0,0,0,0,0.0533001147347424,0,0,0,0,0,-0.176946370993217,0,0,0,0,0,0,0.0915047529715346,0,0,0,-0.12143495321396,0,0,-0.0774740281916108
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.096040052146021,0,0,0,0,0.10533577884248,0,0.238132209413502,0,0,0,0,0.253637654937291,0,0,0,-8.67361737988404e-19,-0.0740017629350624,0,0,0,0,0,0,0,0,0,0,0.0234934284605092,0.0150152254746569,0,0,0,0,0,0,0,0,0,0,0,0,0.234984922150885,-0.0939201725532518
