,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.134585687576805,0,0.0562046607406045,0,0,0,0,0,0,0,0,0.0585128326865738,0,0.0865772120862858,0,0,0,0,0,0,0,0,0.0617818522686839,0,0,0,0,0.0307908811295124,0,0,0.0822486165833047,0.140790017527048,0,0,0,0,0.137896913851027,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.240549683967951,0,0,0,0,0.207366198668357,0,0,0,0,0,0,0,0,0,0,0.00703764665113136,0,0,0,0,0,0,0.239699511740964,-0.182196822524115,0,0,0,0,0.23884128096364,0.0796226158949131,0,0,0,0,0,0,0,0,-0.0557805944732061,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.44663423693316,0,0,0,0,0,0.108499916816446,0.125269357644951,0,0,0,0,0.0631299790188075,0,0,0,-0.121673579562465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182620302319381,0.00859996899616711,0,0,0,0,0,0.202774417120024,0,0,0
X600015.CH.EQUITY,0,0,-0.364059504825858,0,0,0.270879059411566,0,0,0,0,0,0,0.242377260260676,0.275378871419472,0,0.573045645999199,0,0,-0.227758849042565,0,0,0,0,0,0,0.0756331145138546,0,0,0,0,0,0,-0.0879901119347819,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,-0.0670225863722792
X600016.CH.EQUITY,0.0750688963931379,0,0.145561918243836,0.260529327940656,0,0,0,0,0.183302345706355,0,0.090428900101706,0,0.0241699560438361,0.0196374863663931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509945411608452,0,0,0,0,0.10691336402942,0,0,0,0,0,0,0,0,0,0,0,0,-0.0644988992195479
X600036.CH.EQUITY,0.586307582336604,0.0923809853086368,0,0.190745698757414,0,0,0,0,0,0,0,0,0.0717628381562568,0,0,0,0,-0.136298607333646,0,0,-0.0261837778123968,0,0,0,-0.0178015859465517,0,0,0.111113228652632,0,0,0,0,0,0,0.117574598790655,2.16840434497101e-19,0,0,0,0,0,0.181746052941521,0,0,0,-0.0229377890273629,0,0,0.0049770524501293,0
X601166.CH.EQUITY,0.0410307399355718,0.016186456531963,0.134680872877321,0,0,0.17357482957543,0,0,0,0.274281202866499,0.0134822633057954,0.151123473890679,0,0.0418381231045518,0,0,-8.67361737988404e-19,0.0644426483004841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138341550697996,0,0,0,0,0,0,-0.0470694217293597,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.128650919363209,0,0.321168147373239,0,0,0.125007552409672,0.0185994201131868,0.115470818132078,0,0,0,0,0.143878598837108,0,0,0,0,0,0,0,0,0,0.0258491513369296,0,0,0,0,0,0,0.0549848443183393,0,0,0.0241023698847061,0,0,0,0,0,0,0.0552039568775965,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.364959835533045,0.381371386225619,0,0.271138935296291,0,0,0,0,0.00136889718941883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379462088265888,0.0270860859964978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738837426561677,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.293488940388153,0,0,0,0,0,0.237707409980058,0,0,0,0,0,0,0,0,0,0,0,0,0.0202633248741094,0,0,0,0,0,0,0.131212217461044,-0.127335828842071,0,0,0,0.136125467486906,0,0,0,0,0.0384483312253455,0,0,0,0,0,0,0
