,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0,0.301499741151717,0,0,0.258547415551351,0,0.00209898488922269,0,0.200609275530192,0,0,0,0,-0.0307615726175429,0.133379449205446,0,0,-0.0220779861596665,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223156718879067,0,0.0587166678855498,0,0,0,0.0917629805649971,0,0,-0.209115723946147,0,0,0,0,0,0,0,-0.0436099252713775,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0.267044527065181,0.188570752595863,0,0,0,-0.0320361363528267,0,0,0,0,-0.247666372471275,0,0,0,0.0591852191552634,0,-0.0193719030391283,0,0,0,0,0,0,0,0,0,0,0.215001503809729,0,0,0,0,0,0,0.128735108312261,0,0,0,0,-0.0188633918813204,0,0.184598755277728,0,-0.182676968756974
X600000.CH.EQUITY,0.210581611947588,0,0,0,0.285419825416741,0,0,0,0,0.0178298114546729,0,0,0,0,0,0.1824791275584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555346633527167,0,0,0,0,0,0,0,0,0,0,0,-0.0588228999591727
X600015.CH.EQUITY,0,0,0,0,0,0,0.120381453441632,0,0,0,0,0,0,0,0,0.0784502380238879,0,0,0,0,0.273497193355058,0,0,0.121533443587614,0.0558337937287299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10223135328054,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0944433583329395,0.447043900490065,0,0,0.211441175068333,0,0.153377828795417,0,0,0.0729564982483639,0.0463913865827843,0,0,0,0.0605678497374835,0,0,0,0.0489365167144103,-0.0860396656266043,0,0,0,0,-0.0481747397798336,0,0.0127127224987344,0,0,0,0,0,0,0,0,0,0,-0.040389488985316,0,0,0,-8.67361737988404e-19
X600036.CH.EQUITY,0,0.010019309797452,0,0,0,0,0,0,0.167391354710746,0.295895910541045,0.269358593480714,0.0678691089537116,0,0,0,0,0,0.0685287711848814,0,0,0,0,0,-0.085911629198092,0,0.0832350676826742,0,0,0,0,0,0,0,0,0,0,0,0,0.041797258059241,0,0,0.0297550727296894,0.0708419401810266,0.0317173398899959,0,0,0,0,0,0.0151453942590291,-0.0553011140978349
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158770293299711,0,0.43420516598504,0,0.0989684005015632,0,0,0,0,0,0.00391395938531368,0,0.234464331778292,0.107236498266085,0,0.174217121666323,0,0,0,0,0,0,0,0,0,0,0,0,-0.161368973037502,0,0,0,0.0828266570578742
X600926.CH.EQUITY,0,0.13148863560968,0.0465658526050497,-0.0547028506435233,0,0,0,0,0,0.614378237395457,0,0,0,0,-0.230858176674747,0,0,0.0901538147438306,0,0,0,0,0.0157442001103104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0.079769358373743,0,0.16152699327395,0,0.190640411052041,0.129975322840217,0,0,0,0,0.0375157010851476,0,0,0,0,0,0,0,0,0,0.0123441578855887,0,0,0,0,0,0,0,0,0,0.0102003102083251,0,0,0,0,0.0110197816091379,0,-0.0280629605806567,0,0,0,0.220177449506908,0,0,0,0,0,0,0,-0.0785740724174153
X601166.CH.EQUITY,0.440624001733496,0,0,0,0.0344503822808716,0.143367455979091,-0.028735883215241,0.283214099897002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558327190225366,0,0,0.0226273167276681,-0.0893075077402429,0.135740767639536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.0906411553340839,0.0587621120550103,0,-0.128786433301078
