,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0.0856651512948391,0.0288216881233957,0.341660742560841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772310517815497,0.0323311982815546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109984075995873,0,0.0493811716424091,0,0,0,0,0,0,0.0283861902342837,0.0106094089001308,0,0,0,0
X002142.CH.EQUITY,0.372735628878557,0,0,0.0699302957603762,0,0,0,0,0.107211244255888,0,0,0,0,0,0,0,-0.0509677950591433,0,0,0,0,0,0,0.190155804706603,0.110381525282437,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0316138764092225,6.7762635780344e-21,0,0,0,0.059674171896084,0,0,0,0,0,0,0,0.123444222672671
X600000.CH.EQUITY,0,0,0,0,0.109027987007598,0.22729526498119,0,0.0709819018096758,0.0696516350044587,0,0.00523119935095884,0,0,0,0.0443347556039561,0,0,0,0.022047514547451,0,0.138694947587457,0,0,0,0,0,0,0,0,0.0273190904119413,0,0.102901081596019,0,0,0.0616603586151295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0.449137840757236,0,0,0,0.224986057453048,0,0,0,0,0.0343074492419768,0,0.176040689341325,0,0,0,-6.93889390390723e-18,0,0,0.0384212740345022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029584652938836,0,0,0,0,0,0,0,0.0798078317938138,0,0,0,0,0
X600016.CH.EQUITY,0,0.027584985192781,0,0.377584647481334,0,0,0.203909022014412,0,0.0555340407796714,0,0.148205258949172,0,0.0122339799835421,0,0.044429712120648,0,0,0,0,0,0,0,0,-0.0515486302592187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521667795737706,0,0,0,0.0077126460490094
X600036.CH.EQUITY,0.414290312576767,0.0447984935083545,0.238315424219402,0,0,0,0.0657404341143571,0,0,0,0,0,0.0721571708277065,0,0,0,0,0,0,0,0,-0.0432920060281002,0,-0.0030758077611393,0,0,0,0,0.0234577513566059,0,0,0,0,0,0.0375897654861546,0.0463368434553719,0,0,0,0,0,0.138327578193902,-0.0576318066945789,0,0,0,0,0,0,0,0.00149365665469357
X601166.CH.EQUITY,0.1603371736608,0.135242789059432,0,0,0.0516922304468719,0.114316546819485,0,0,0,0,0,0.0254367024690826,0,0.0690242844254621,0.176760520482155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108624097962475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057302970865269,0
X601169.CH.EQUITY,0,0,0,0.0355273905629748,0,0.114533934237873,0,0,0,0,0.00298726514709135,0,0,0,0.233252860317946,0.0282591154862879,0,0,0,0,0.241386715736232,0,0.0945844738080635,0,0,0,0,0,0.0719820725415426,0,0,0.0348077490264318,0,0,0.0304413982155043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.34153462528182,0,0,0,0,0,0,0.0407367604953165,0,0.163082760660667,0,0,0,0,0.103053635911244,0,0.20460129162449,0,0,0,0,0,-0.0804457230084373,0.0573870755395348,0,0,0,0,0,0.0293055392423939,0,0,0,0,0.0921349307417587,0,0,0.00152595045101916,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0570396574204454,0,0,0,0,0,0,0,0,0,0.175828511255891,0.439718333502769,0,0,0,0,0,0,0,0,0,0,0,-0.0464741779205636,0,0,0,0,0,0,0,0,0.127442335426585,0,0,0,0,0,0,0.0867131734709028,0,0.123797932327008,0,0,0,0.0417805248620767,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.127337136079021,0,0,0,0,0.236730381321388,0.164346578762575,0,0,0,0.0741125105807274,0,0,0.115503820328706,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.137891356063936,0,0,0,0,0,0,0,0.105895066755399,0.0165903237901728,0,0,0,0,0,-0.020901348228577,0,0.0354906364802483,0.0162544218769331,0.00129432003793738,0,0
X601398.CH.EQUITY,0.114217402531925,0,0,0,0,0.0344241323263311,0,0,0,0.0440818885058689,0,0,0,0.535381057169617,0.000355307704843451,0,0.0370160640222994,0,0.0310865304396012,0,0,0,0,0,0,0,0,0,0.0740110001369389,0,0,0,0.0248736529459797,0,0,0,0,0.0143247960699478,0,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,-1.38777878078145e-17,0.227127751483684,0.164356763456326,0,1.73472347597681e-18,0.119532504053901,0,1.38777878078145e-17,0,0,0.123519421407405,0,0,0,0,-0.0755927047851147,0,0,0,0,0,0,0,0,0,-0.0042528986935358,0,0,0.00836646401386321,0,0,0,0,0.0624491489991391,0.136868961513446,0,0.108322791211795,0,0,0,0,0,0.131181009593664,0,0,-0.0191707121744792,0,0.00720664731201801
X601939.CH.EQUITY,0,0,0,0,0,0,0.135157186259497,0.00507567928167063,0,0.181990877487669,0.0167339597564535,0.468105236161272,0,0,0.11199959578714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112531486067901,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.465654145920242,0,0,0,0.0287253657304917,0,0,0,0,0.290057762992507,0,0,0.0712214058442872,0,0,0.0376419792121386,0,0,-1.73472347597681e-18,0,0,0,0,-3.46944695195361e-18,0,0,0,0.101118708941206,0.0484964640668661,0.0256175013191368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046416375736072,0
X601998.CH.EQUITY,0,0,0,0.128393711097,0,0,0,0.0852730768379047,0,0.0419806095014342,0.244860581667906,0,0,0,0.131958901885816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133334199149988,0,0,0,0,0,0,0,0,0,0,0,0,-0.0313519541347019,0,0,0,0.0849500877346475,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,-0.0161246502541316,0,0,0,0,-0.27909623784461,0,0,-0.211009324636795,0,0.374991933475768,0.0336916213704075,0,0,0,0,0.136774585486501,0,0,0,0,0.378496539870842,0,0,0,0,0,0,0.18308737454692,-0.021785292649081,0,0,0,0.0432440130281239,0,0,0,0.11062084938929,0,0.122808664220186,0,0.116506366291183,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509518247081321,0,0.0740418300332466,0,0,0,0,0,0,0,0,0,0.0679107210618307,0,0,0,0,0,0.0067235193341209,0.03800572037346,0,0,0,0,0,0,0,0,0,0.18990992678812,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481823757479548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397957490728655,0,0,0,0,0.138552386100166,0,-6.93889390390723e-18,0,0,0,0,-0.508348794271722,0,0,0,0,-0.180725946068864,0.28986549225328,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589068911980075,0,0.00800056541102385,0,0,0,0.0501406720822845,0.299516669777071,0,0,0,0,0,0,0,0,0,0,0,0,0.049254483571348,0,0.00129271985372116,0,0,0,0,0,0,0,-0.0401362488522843
X000776.CH.EQUITY,0,0.0291474604269828,0,0.110125591252826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0728595856507173,0,0,0.65141252758777,0,0,0,0,0,0,0,0,0,0,0,0.0812638059330361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227428556279436,0.500469524748474,0,0,0.0549903464326258,0,0,-0.0700785502485746,0.187735538788665,0,0,0,-0.00862455997746284,-0.0672776979951021,0,0,0,0,-0.0217145998183519,0.149999878495783,0,0,0,0,0.00197950792071869,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498362614551611,0,0,0.00808564696262159,0,0.034663567418064,0,0.0782345992223234,0,0,0.0618469445746599,0.714920366460369,0,0,0.0214390215759384,0,0,0,0,0.0500560795043783,0.0921184090558757,0,0,0,0,0,0,0,0.0139432456472089,0,0,0,0,0,0
X600837.CH.EQUITY,0,0.0122432701801217,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158914944862974,0.0774510836977235,0,0.208961044689991,0,0.179986688544685,0,0,0,0,0,0.0424959920903117,0,0,0,0.0390363627634726,0,0,0,0,0,0,0,0,0,0,0,0,0.00031544710265026,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0304372111169051,0,0,0.316671896350753,0.0631206018013268,0.0677596376289675,0.42356739554546,-3.46944695195361e-18,0,-0.0399778993584798,0.166346290683989,0,0.0505857725772439,0,-0.0411412207466995,0,0,0,0,0,0,0,0,-0.0357089142823425,-0.00318291094351701,0,0,0.014297150740717,0,0,0,0,0.00876568416038458,-0.0105115192750835,-0.0332631262283797
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312644712642593,0,0,0,0,0,0,0,0,0.707440811584379,0,0,0,0,-0.0533851994377603,0,0,-0.100479446280105,-0.151855425575204,-0.0565051683995484,-0.0264658587973886,0.127895704597117,0.0565394076921389,0,0,0,0,0,0.270346617537359,0.0022463983526696
X601211.CH.EQUITY,0,0.0243178855961857,0,0,0,0,0,0,0,0.0705248196941887,0,0.0243652336671995,0,0,0,0,0,0,0,0.213841446404751,0,0.105476440922973,0.0407877808356763,0.136891297248856,0.385071320687806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0654176991318931,0.0315148486788113,0.0415398160257064,0,0.0217108935420781,0,0,0,0.0404445334194864,0,0
X601688.CH.EQUITY,0,0,0,0.038015703529676,0,0,0,0,0,0,0,0.0686071062669468,0,-4.33680868994202e-19,0,0,0.0306185908799241,0,0,0.0600989873006019,0,0,0.398578984661849,0,0.26225320268619,0,0,0,0,0,0,0,0,0.0826987063047536,0,0,0,0,0,0,0,0.0474163619245794,0,0,0,0.0185349796903007,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,4.33680868994202e-19,0,0.0259031227455134,0,0,0,0,0,0,0,0,0.116603412227892,0.0201481305571803,0,0,0,0,0,0,0,0,0,0,0,0,-0.0968880766553381,0,0,0.485575170968524,0,0,0,-0.033127135728752,0,0.195368599511086,0,0.0679775710440043,0,0.0966150283523969,-0.0332887943784794,0.101385688628594,0.0373523601724805,0,0.0466290848274344,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0950511390891216,0,0,0.275141865429445,0,0.105434180034835,0,0.124017955884989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252974715301235,0,0,0.0707703461709251,0,0,0.0180674302609245,0,0,0,0,0.0150099741610339,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.198881966248024,0,0,0,0,0,0,0,0,0,0.312199901022939,0,0,0.555665877100986,0,0,0,0,0,0,0,0,-0.291494835048921,0,0,0,0,0,-0.250452363405318,0.124362842989169,0.0643727397207204,0,0.143350562582833,0,0,0,-6.93889390390723e-18,0,0
X601336.CH.EQUITY,0.342613886182882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103412460020266,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0.252170541393657,0,0,0,0,0.192320901083502,0,0.091584900325336,0.132454669695956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0.0206147359896302,0,0,0,0,0,0.17134814988703,0,0,0,0,0,0,0,0,0,0,0,0,0.210528087101142,-0.0402251006482611,0,0,0,0.200173622910238,0,0.101299702301555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478683490901261,0
X601628.CH.EQUITY,0,0,0,0.157825812522099,0,0,0.195781128477772,0.171966520886013,0,0,0,0,0.0425427239888534,0,0,0,0,0.00169235520698411,0.0247254659263485,0,0,0,0,0,0,0,0,0,0,0,0,0.225666325525064,0,0,0,0,0.0048056570882234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101784008281561,3.46944695195361e-18,0,0.329581610860445,0,0,0,0,0,0,0,-0.0647334466100544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841263246461393,0,0.250185014744289,0,0,0
X2882.TT.EQUITY,0,0,0.0983791534008613,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954925107596278,0,0.301210370660386,0,0,0.140423100773781,0,0,0,0,0,0,0,0,0,0,-0.0146982775654073,0,0,0,0,0,0,-0.0404187668888657,-0.0258335344749785,-0.470121221445067,-0.319805500357009,0,0.391256412693974,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0560443616261535,0,0,0,0,0.0597125045366823,0.0871582527524252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740317674992026,0,0.114744622014098,0,0,0,0,0.116742417256495,-0.0484824790507637,0,0.053641056381487,0.0541704601893312,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.193875122613337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11836304781397,0,0,0,0,0,4.33680868994202e-19,0,0,0.0553466641717663,0.0106874504412214,0,0,0.397570610926353,0,0,0,0,0.0315927830067271,0.0344809179281443,0,0,0,0,0,0.0124321111570052,0.00786880987037918,0
