,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.300690532971528,0.127276570636023,0,0,0.257295263094367,0,0,0.037921391915238,0,0,0,0.21970572147253,0,0,0.109949561559876,0,0,0,0,0,0,0,0,0,0.128171481901223,0,0,0,0.0405009364728211,0,0.0973346007243878,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.163393357631466,0,-0.126893166360174,0,0,0,0,0,-0.243278505589174,0,0
X002142.CH.EQUITY,0.118192315870409,0,0,0,0,0.438106300881037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0800118941159046,0,0,0,0,0.17869926508489,0,0.166048233471803,0,0,0,0,-0.214241210332666,0,-0.0852211705203741,0,0,0.107081566710377,0,0,0,0,0,0,0.0500165615547975,-0.0105314136755178,-0.11929069296064
X600000.CH.EQUITY,0.0950811821989444,0,0,0.243115090427022,0,0.159530010757633,0,0,0,-6.93889390390723e-18,0.384755923880258,0,0,0,0,0,0,0,0,0.0566367042129788,0,0,0,0,0,0.113369982203325,0,0,0,0,0.0854880060688,0,0,0,0,-0.062533108549609,0,0.0638070057094634,0,0,0,0,0,0,0,0,0,-0.0933899159963731,0,0,0,0.128780470435528
X600015.CH.EQUITY,0,-0.0387599429274928,0,0,0.141583301882907,0,0,0.0877929935428328,0.0693999621285552,0,0,0,0.264290325635228,0,0,0.0371397493556381,0,0.00496803525969709,0.0139711277974561,0,0,0,0.0628902453095047,0,0,0,0.0825730618495664,0,0,0,0,0,0.231557358381648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.2222486082375,0.408228408838883,0,0,0,0,0.0808707216376965,0,0.157449354722361,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.251249566513843,0,0,0,-0.112184104262243,0.0801253010367848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101983537247404,0,0.0519643413152882
X600036.CH.EQUITY,0.230824519104574,0.0892638881037318,0.301753043490524,0,0,0,0.02633266053882,0,0,0,0,0,0,0,-0.0656925549186716,0,-0.0657409040713357,0.0372221367852725,0,0.0458561982096397,0,0,0.0592354307787809,0,0,0,0.0346345256309321,0,0.0388659095957548,0,0,0,0,0,0,0.225360301131341,0,0.0768498105478116,0,0,0,0,0.0489998365651282,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.4264922532557,0,1.73472347597681e-18,0,0,0,0,0.389781942161562,0.0288155684577535,0,0,0,0,0,0,0,0,0,-0.00195148526322943,0,0,0,0,0,0.00674321459452394,0,0,0,0,0,0.0498611245757535,0,0,0,0,0,0,0,0,0,0,0,0.0852560425754071,0,0,0,0
X601169.CH.EQUITY,0,0,0.385060471628195,0.373560139987244,0,0,0.0289498589488445,0,0,0,0.22609864455982,0,0,0,0,0,0,0,0,0,0,0.0271337230908911,0,0,0,0,0.0137729991657572,0,0,0,0.00395324768307878,0,0,0.0928753326782455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0191771972127774,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.142749285015969,0,0,0,0.395753260517772,0,0,0,0,0,0,0,0,0.427635465779742,0,0,0,0,0.185444582120666,0,0,0,0,0,0.0215864237041415,0,0,0,-0.134598579798368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,-0.0126097536868387,-0.00246755121713822,0,0,0,0,0,0.215984690080619,0,0,0.127837288617486,0,0.190977206554405,0.453029894144787,0,0,0.124361317163312,0,0,0,0,0,-0.00753352411027401,0,0,0,-0.132725678004086,0,0.0881331261510611,0,0,0,0,0,0,0.0501389700475375,0,0,0,0,0,0,0,0,0,0,-0.199809819455292,0.011213405027514,0,0,0.0768621790867705
X601328.CH.EQUITY,0,0,0.360379925761367,0.113645637582224,0,0.0611702112942438,0,0.0353363450375065,0,0,0,0,0,0,0.124397653070644,0.147383481271447,0,0,0,0,0,0,0,0,0.0695289443453977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530883642837235,0,0,0,-0.118384302752202,0,0,0.0548069155076512,0
X601398.CH.EQUITY,0,0.157100759825762,0,-6.93889390390723e-18,0,0,0,0,0,0.156544073194878,0.170947115584389,0,0,0,0,0,0.123543440497306,0,0,0,0,0,0,0,0,0.0212234692450311,0,0,0,0,0.0977376644435114,0,0,0,0,0,0.166069592587902,0,0,0,0,0,0,0,0,0,0,0,-0.0438676565396951,0.193486479122983,0,0
X601818.CH.EQUITY,0.455103944904141,0,0,0.426611536225075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0445443872292375,0,0,0.00903334489345437,0,-0.170173305477094,0,0,-0.111301079209363,0,0.0899623829226879,0.0881732429156041,0,0,-0.0972853588363135,-0.0526896221756423,0,0,0,0,0,0,0.0601162677596167
X601939.CH.EQUITY,0.0914737942314141,0,0.0150196773781435,0,0,0,0,0,0.428277111748874,0,0.0937255224486378,0.410661126851819,0,0,0,0.0936207941769478,0,0,0,0.0257620220837068,0,0,0,0,0.0881899459749357,0,0,0,0,0,0,0,0,-0.107583453048003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879803980879214,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.282360280335421,0.179470017353246,0,0.1752790978474,0,0,0,0.0736857087761346,0,0,0,0,0,0,0,0,0,0,0,0,0.0739209432098634,0,0,0,0.251497422820254,0,0,0,0,0,0,0,0,0.115281770671748,0,0,0,0.0160071725606955,0,0,0,-0.0042896842926145
X601998.CH.EQUITY,0,0,0.159948294209314,0.281692218547332,0.386274503461535,0,0,0,0,-0.0136610193187819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693887272608088,0,0,0,0,0,0,0.0999941586425236,0,-0.0486287525760151,0,0,0,-0.101682598566811,0,-0.0442697792070799,-0.0251971793577235,0,0,-0.0244927828897153
X601658.CH.Equity,0,0,0,0.441453748594506,0.764293724666589,0,0.350526770985763,0,0,0,-0.369137573519247,0,-0.368720986696383,0,0.171081661010575,0,0,0,0,0,0,-0.322373433318582,0,0.29932236851547,0,0,0,0.238840196543797,0,0,0,0,-0.230946666542607,0,0,0,-0.46709158119451,0.104888731652359,0,-0.0721977369260575,0.173498220970285,0,0.0923736035350078,0,-0.200783176861992,0,0,0,0,0,0,0.275633136532794
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566569836796312,0.0557822775795784,0,0,0,0.025138769292715,0,0,0,0,0,0.034984336976546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128251020085113,0,0,0,0,0,0,0.135891021956609
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380713400824576,0,0,0,0,0,0,0,0,0,0,0,0.0752683616857232,0,0,0,0,0,0.0848236367561829,0,0.128237035118502,0,0,0.00724226936041465,0,0.291759399914147,0,0.0497076090879101,0,0,0,0.00922486192839191,0,0,0
X5.HK.EQUITY,0,0,0.0953067544250976,0,0,0,0,0,0,0.188230731834377,0,0,0,0.0818520059277576,0.0413512014615891,0,0,0.432996698410943,0,0,0,0,-0.158894197058848,0,0,0,0,0,0,0,-0.0160460034456068,0,0,0,0,0,0,0,0,0,0.339011675866491,0,0,0,0,0,0,0,0,0,0.057942317058428,0
X000166.CH.EQUITY,0,0,0.0602979283104938,0,0,0,0,0.0432988880641795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477657884597843,0,0,0,0.0162008643696844,0,0.0313360556746471,0,0,0,0,0.11051874275715,0,0,0,0,0,0.0234602393909229,0,0,0,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0.097704261301295,0,0,0,0.203634700706394,0,0,0,0,0,0,0,0,0,0,0,0,0.157706198409207,0,0,0.377806833102712,0.0746964671140723,0,0,0,0,0,0,0,0,0,0,0,-0.0590652173364734,0,0,0.135556328548971,0,0,0,0,0.0206705199758112,0,0,0,0,0,-0.0640763769156933,0
X300059.CH.EQUITY,-0.116811525117613,0.0741685050898706,0,0,0,0,0,0,0.0824072433464385,0.0184485910143167,0,0,0,0,0,0,0,0,0,0.116567398777589,0,0,0,0,0.570994296854802,0,0.0925666536901046,0,0,0,0,0,0.183457589759332,0,0,0,-0.162402320349574,-0.0276391322010199,0,-0.0284135879110816,0,0,0,0,0,0,0,0,0,0,0,0
