,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0.239514282084296,0,0,0.539646955530122,0,0,0,0,0,0,0,0.0599807406287325,0,0,0,0.0769337060275462,0.0524357354766527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159771243126571,0,0,0,0,0,0,0.00817376561594288,0,0,0,-0.254940333024787,0,0,0,0,0
X002142.CH.EQUITY,0.155259408397422,0,0,0,0.659564546759697,0,0.15067062083329,0,0,0,0,0,0,0.108222769369339,0,3.46944695195361e-18,0,0,0,0,-0.109584036607264,0.092462859302999,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.206708623350616,0,0,0,0,0,0,0,0,0,-0.0205705337968931,-0.224267876270021,0,0,0,0
X600000.CH.EQUITY,0,-0.219862561361962,0,0,0,0,0,0,0,0.385153375763301,0.0599190592235831,0,0,0,0,0.362029691529473,0,0,0,0,0,-0.0276837739887487,0,0,0,0,0,0,0,0,-0.0294405674682803,0,0,0,0,0,0,0.258290661090141,0,0,0.510505563828824,0,-0.0086942922836164,0,0,0.193687278038702,0,0,0.0092410775565751,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.0897795673516174,0,0,0,0,0,0,0.199329020666167,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0.0640981471605685,0,0,0,0,0.108038364334604,-0.00589431451816168,0,0,0,0,0.294354788878319,0,0,0,0,0.0720240421240895,0,0.0245798058154448,0,0,0
X600036.CH.EQUITY,0.301272049686871,0.217457743588443,0,0,0,0,0,0,0,0,0.179177866152457,0,0,0.0264285600965032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110236928829712,0,0,0,0.127032009888313,0.0678638854934039,-0.0275014486816033,0,0,0.0489915917025063,0.0487055314667969,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0518275243850074,0,0,0,0,0,0.0111015558872589,0.198189247987992,0,0,0.0169249066858248,0.33402716154658,0,0,0,0,0,0,0,0,0.240659856402046,0,0,0,0,0.0427480211637422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523342911221902,0,0,0,0,0,0,0,0,0,0.0282622580913944,0
X601169.CH.EQUITY,0,0.00170536807538646,0,0,0,0,0,0.293184380731823,0.0267695821838658,0.0701173250705948,0.0237053855170489,0,0,0,0.194462666763242,0.103068646595418,0,0,0,1.73472347597681e-18,0.163248111791733,0.0191417913773261,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.0251002563569267,0,0,0,0,0,0,-0.0277708202680018,0,0,-0.0198871128303359,0,0
X601229.CH.EQUITY,0,0.197043974716511,0,0,0,0.418186437899297,0.469000627765928,0,0,0,0,0,-0.111633817723861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996696527141974,0,0,0,0,0,0.370657670518058,0,-0.353603095329591,0,0,0,-0.13652768707506,0,0,0,0,0,0,0,0,-0.0667334122136624,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.321787474204312,0.163098719362124,0,0,0.0936704525929732,0.21499656982479,0,0,0,0,0,0,0,0,0,0,0,0,0.101163404500858,0,0,0.0438927506882806,0.00127067356831194,0,0,0,0,0,-0.0481792458499424,0,0,0,0,0,-0.0514612733166271,0,0.110245249056277,0,0,0,0.026990779177669,0,0
X601328.CH.EQUITY,0,0,0.17116718302117,0.176307306458627,0,0,0.218621688848389,0,0.0411703537282671,0,0,0,0,0.0494156763560566,0,0,0,0,0,0.0932428951639072,0,0,0,0,0,0,0,0.0315301784675229,0.0755208003999486,0,0,0.0920503506134371,0,0,0,0,0,0,0,0,0,0.0915611101280144,0,0,0,0,0,0.0419351832806972,0,0,0,0
