,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0.106261430536495,0,0.129215506675177,0.0591789698987682,0,0,0,0,0.189988155760887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044658579608368,0,0,0,0,0.164217270953707,0,0.00406430195274947,0,0.00829672789380532,0,0,0,0,0,0,0.0659461690436174,0.0526033358400947,0,0,0,0
X002142.CH.EQUITY,0.398691786103078,0,0,0.0358260922926779,0,0.0224331048445806,0,0,0,0,0,0,0,0,0,0,-0.0246476763973606,0,0,0,0,0,0,0.289141619245703,0.0159314326619824,0,0,0,0,0,0,0.0511110551242066,0,0.0747584046328697,0,0,0,0,0,0,0,0,0.149820995441395,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.0608218027881016,0,0,0,0,0.188649131759524,0.0489090613959382,0,0,0,0.173138403417767,0,0,0,0,0,0,0,0,0,0.130609785968189,0,0,0,0,0,0,0,0,0,0,0.159288670459157,0,0,0.0764889136760255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.321165612052078,0,0,0,0,0,0,0.374738780201666,0,0,0,0,0.028823090050605,0.101531371806609,0,0,0,0,0,0,0.0830010602852321,0,0,0,0,0,0.0431111596456094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0.0891684716076471,0,0,0.309303244727818,0,0.0437531707622966,0.0074297795661647,0.270930698366918,0,0,0,0.0456460007561005,0.0256036092708823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231944266886347,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.381785236780806,0,0.244327076159676,0,0,0,0.0153706283726368,0,0,0,0,0,0.110866609180242,0,0,0,0,-0.0138464734656857,0,0,0,-0.037908967096949,0,0,0,4.33680868994202e-19,0,0,0.0714832879157548,0.132002031252424,0,0,0,0,0,0.0480692798217244,-0.0578253343117579,0,0,0,0,0.0936587626917476,-0.0206238399823314,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.0774376576191611,0,0,0.272560911871002,0.141209323276582,0,0,0,0,0,0,1.73472347597681e-18,0.157250827841181,0,0,0,0,0,0,0,-0.0135462137455458,0,0,0,0,0,0,0,0.0676355919034638,0,0,0,0.114817528681603,0.00719650834459894,0,0,0,0,0,0,0,0,0.0032940437748011,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0.153113239621258,0,0,0,0,0,0,0,0,0.272871212118305,0,0,0,0,0,0.327867089695484,0,0.00976874634425164,0,0,0,0,0,0.0534035900669628,0,0,0.0139146710942642,0,0.0296551437783889,0,0,0,0,0,0,0,0,0,0,0,0.0118897585700456,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.268632084285358,0,0,0,0,0,0,0,0.0550135606277979,0.167839461174004,0,0,0,0,0,0,0,0,0,0,0,0.385910144306846,-0.0652863200184814,0,0,0,0,0,0,0,0,0,0,0,0.153714114570113,0,0,0,0,0,0,0.0165267994530103,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0940185842905507,0.461861363232366,0,0,0.0303853340977855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454786318164652,0,0,0.183481020191107,0,0,0,0,0,0,0.130996930461851,0,0.0349565440360636,0,0,0,0.00861827958880455,0,0,0,0,0
X601328.CH.EQUITY,0.0282866785055544,0,0.113619639625127,0,4.33680868994202e-19,0.0365179362419514,0,0.211327901327385,0.155177884116346,0,0,0,0.062070216665825,0,0,0.187045839594328,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849203952659147,0,0,0,0,0.0101695291323398,0,0,0.0868514707139376,0,0,0,0,0,0,-0.00530808865159427,0,0.0227387531480384,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0.0503532661435526,0,0,0,0.0754618810984962,0,0,0,0.521223277880015,0.0922308686162261,0,0.0257283263491919,0,0.0311447678255144,0,0,0,0,0,0,0,0,0,0.0628944624943417,0,0,0,0.0402493821017282,0,0,0,0,0,0.00725869243685681,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0.0141349315817349,0,0,0.0496934981305716,0,0,0,0,0.104373095443758,0.101348982052502,0,0.147831587826233,0,0.0183798128654241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673715685594273,0.0957758903389483,0,0,0.0960440123758173,0.0219508828693601,0,0.097876389513006,0,0,0,0,0,0.164615894511685,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0547914777569101,0,0.0357310539123625,0.141364220257406,0.493260922083242,0.159100804203375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0505811999669237,0,0,0,0,0,0.013143381415155,0.0113358468349036,0,0,0
X601988.CH.EQUITY,0,0,0,0.207646981282241,0.31530400191877,0,0,0,0.111557338318884,0.215781929364728,0,0,0,0,0,0,0,0,0,0,0,0,0.0763780453631971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145317871678175,0,0
X601998.CH.EQUITY,0,0,0,0.200810952793891,0.0847472120555535,0,0,0.0328394175014875,0,0,0.160479863537601,0,0,0.132975634897654,0.0733878786474561,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0846693557878213,0,0,0,0,0.073451276112265,0,0,0,0,0,0,0,-0.0358930137880651,0,0,0,0,-0.0360850186934,0
