,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.107464221631081,0,0,0,0,0,0,0.271159468800146,0,0,0,0,0.174494706774969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240061709580868,0,0,0.0206438524064567,0,0,0,0,0,0.237436680259365,0,-0.211601267165982,0,0,0,0,0,-0.0386756225469202,0,0,0.0310631775144696,0,0
X002142.CH.EQUITY,0.187226449202422,0,0,0,0,0,0.186844455338543,0.0169008490896341,0.0173200246285711,0,0,0.0389423132120144,0,0,0,0,0,0,0,0,-0.0271373933326013,0,0,0,0,0,0,0,0.224215395098484,0,0,0,0,0,0,0,0.0679790415687253,0,0,-0.0672502045653731,0,0,0,0,0,0,-0.0390558229923369,0,0,0,0
X600000.CH.EQUITY,0,0.00788056367637487,0,0,0.265089971788318,0.151068245931725,0,0,0.0420097595039401,0,0,0.0738769132803718,0,0,0,0,0,0,0,0,0.0227157742862454,0,0,0.183003112227432,0,0,0,0,0.11486684786877,0,0,0,0,0,0,0.0169471017288348,0,0,0,0,0,0,0,0,0,0,0.0192542486654149,0,0,0,0.0981260732131717
X600015.CH.EQUITY,0,0,0,0,0.0937417701853285,0,0,0.430938699494716,0.140629079964855,0,-1.73472347597681e-18,0,0,0,0,0,0.0522473292973816,0,0.0652711522617157,0,0,0.0306984908438419,0,0,0,0,0,0.0239278103687624,8.67361737988404e-19,0,0.025210407874046,0,0,0,0,0,0.0058591990393182,0,0,0,0.0572886484899709,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.063886527317425,0,0.351209802226743,0,0,0,0,0.0894380912865529,0,0.155978773188718,0.0181102940572068,0,0,0.195520281928945,0,0,0,0,0.0837937399294454,0,0,0,0,0,0,0,0,0,0.152502564760225,0.00748781934642309,0,0,0,0,-0.0558280136110823,0,0,0.0937966031398582,0,0,0,0,0.0298749244722603,0,0,0,0,0,-0.101912591259051,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.0625366808099393,0,0,0.0364997575590342,0,0,0,0,0,0,0,0,0,0,-0.226331396009554,0,0,0.137995860822796,0,0,0,0.0837237934614418,0.528213041163908,-0.187066555655481,0,0,0,0,0,0.282125832854095,0,0,0.021775261371956,0.188439230223581,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0.230744657027834,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.379671602383409,0,0,-0.0629597764276544,0,0,0,0,0,0,0.100274031783757,0,0,0,0,0,0.140459287623584,0.124728490371757,0.0166792327117846,0,0,0,0,0,0,0,0,0,0,0,0,0.0990773967657637,0,0,0,0.268998770080534,-0.174409082170824
X601169.CH.EQUITY,0,0,0,0.862552307419446,0,0,0,0,0,0,0,0,0.162668201960213,0,0,0,0,0.1236437599754,0,0,-0.0660059080993239,0,0,0,0.109390394840724,0,0,0,0,0,0,-0.0254034444399802,-0.427817727700093,0,0,0,-0.131906044810845,0.325664071991512,-0.0122338781262032,0,0,0,0,0,0,0,0.0179589132119376,0,0,0,0.0697430408070305
X601229.CH.EQUITY,0.189838939988656,0.1508750401139,0,0,0.200568790103958,0,0.0414961473660861,0,0,0,0,0,0.137792372087802,0.393826334933346,0,0,0,0,-0.0559739056862204,0,0,0,0,0,0,0,0,0,0,-0.0358718100118567,0,0,-0.11039640842956,0,0,0,0,0,0,0,0,0,0,-0.0192010698105471,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.396637048905263,0,0,0,0,0,0,0,0.0624958426319539,1.73472347597681e-18,0,0,0,0,0.0485606061712913,0,0,0,0,0,0,0,0,0,0,0.0830971262739916,0.225510104774991,0,0,0,0,0,0,-0.0584997373690292,0,0,0,0,0,0.0850212113575526,0,0,0,0,0,0,0
