,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.216780231135,0.046455946039578,0,0,0.0970491768152447,0,0,-0.0926731941103109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649290141094225,0,0,0,0,0,0,0,0,0,0.0401587550287228,0,-0.208181401137597,0.171239877510386,0,0,0.216488843053848,0,0,0,0.11272209796663,0,0.0230591446475229,0,0.0351407915145741
X002142.CH.EQUITY,0.136580517240072,0,0,0,0,0.210777513287756,0,0.0975991016704464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24008652595447,0,0,0,0,0,0,-0.0363092731486439,0.125317215572816,0,0,0,0,0,0,-0.034673519409402,0.0496159201046005,-0.0279628196267563,0,0,0.186315988662906,0,0,0,0,0,0,0.0208211649895488,0,0.0454827335519558
X600000.CH.EQUITY,0,0,0,0,0,0.0705452295089298,0,0.0337846748772303,0,0,0,0,0,0,0,0,0.721613839315411,0,0,0,0,0,0,0,0,0,0.020400699844673,0,0,-0.173679002877573,0,0,-0.0354221615425132,0,0,0,0,0,0,0,0,0.0879648583223433,0,0,0.0168353929181983,0.0651881003060703,0,0,0,0,0,0.12311817669689
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.513977454550828,0,0,0,0,0.29026431780329,0,0.0539633522940331,0,0,0.0325340501462346,0,0,0,0,0,0,0,0,0.0144880865290901,0,0,0,0,0,0,0,0,0.676591906134676,0,0,0,0,-0.229883887446712,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.12031464300239,0.278238282482025,0,0,0.149716506083822,0,0.239179690923949,0,0.0521279519219602,0,0.0477226675248862,0,0,0.170233804167878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689355133319202,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.472646318994579,0,0,0,0,0,3.46944695195361e-18,0.290720605774014,0.0493688432738486,0,0,0,0,0,0.104055816611198,0,0,0,0,-3.46944695195361e-18,0.0106605009698934,0,0,0.0224912117672049,0.0293329464234195,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0.250685081927635,0,0,0,0,0,0,0.0386878374291085,0,0,0.0196883009958518,0,0,0,0,0.0242423153041701,0,0.0790763293775417,0.0461391643206391,0,0,0,0,0,0,0.211517923657794,0,0,0,0,0,0,0.0774412386921208,0.0504852927663301,-0.0547307112325979,0,0,0.273176788246419,0,0,0,0,0,0.0981847768042779,0,0,0,0,0.00204970394593583,0.320490238358745,0,-0.0173649701052374
X600926.CH.EQUITY,0.0439491286650472,0.0903021437677295,0,0,0,0,0.429880637952298,0,0.187080315171028,0,0,0,0,0,0.186643536990101,0.0769214676360124,0,0.112524427549193,0,0,0,0,0,0,-0.053322848801142,0,0,0.038586688437464,0,0,0,0,0,0,0,0,0,0,0,0,-0.0850777604972591,0,0,0,0,0,-0.00395388263578652,0,-0.107610665803493,0,0,0
X601009.CH.EQUITY,0,0,0,1.0842021724855e-19,0,0.0412956156970859,0,0,0,0,0,0.00511548118036255,0,0,0.0351084769682122,0,0,0.186663798089961,0,0,0.26011152441295,0.0176885088114002,0.0146986734845114,0,0,0,0,0,0,0,0,0.040040889133791,0,0,0.0438985587972232,0,0.0522751015181598,0,0,0.106305876059959,0,0.171103624302474,0,0.0997289142859099,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.020184357980076,0,0,0.175896775308516,0,0,0,0,0,0.028767936888415,0,0,0,0,0,0.0249491129349291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170634549990783,0.0455234186785303,0.138907106579373,0,0,0,0,0,0.168967359620299,0,0.0224352299252661,0.0611185369657281,0,0,0,0,0,0,0
