,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.135956958726913,0,0,0,0,0,0,-0.130866798752813,0,0,0.0567745883072639,0,0,0,0,0,0.0867230962225709,0,0,0,0,0,-0.0140934625402754,0,0,0,0,0,0,0,0,0.107509938469555,0,0,0.149381070874248,0,0,0.116750004793491,0,0.258763872890215,0.0596398219081525,0,0,0,0,0.0182925878590443,0
X002142.CH.EQUITY,0.140738085210381,0,0,0,0,0.188461333541763,0,0.139049410136543,0,0,0,0.0174125831031286,0,0,0.0469692282422681,-3.46944695195361e-18,0,0,0,0,0,0.249962375806471,0,0,0,0,0,0,0,0,0.121037407036328,0,0,0,0,0,-0.0228730154904021,0,0,0,0,0.174071284207666,0,0,0,0,0,0,-0.0461603701252239,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771897312159478,0,0,0,0,-0.0482635128175925,0.0667778707975484,0,-0.124152446749142,0,1.73472347597681e-18,0,0.0212792651738503,0,0,-0.0513718743558171,-0.0736104466327828,0,0,0,0,-0.170181945392106,0,0,0.0991602109116023,0,0,0.226550895470278,0,0,0,0,0,-0.0902756030429661,0,0.0647364505072496
X600015.CH.EQUITY,0,0.0233030935882619,0,0,0,0,0,0,0,0,0,0.811649584868243,0,0,0,0,0.241340862073001,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.00838960161185827,0.00100119901213271,0,0,0,0,0,0.0615159139411523,0.0356637464878188,0.473756910794517,0,0,0,0,-0.344240556034539,0,0,0,0,0,0,-0.175178877894476,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.117296455499357,0.28036573714056,0,0,0.181238624618192,0,0.202766700547622,0,0,0.0574929605693156,0,0,0.224328182045663,0,0,0.0755314518270781,0,0,0,0,0,0,0,0,0,0,0,0,0.00128748289258479,0,0,0,0,0,-0.00205998924680509,0,0,0,0,0,0
X600036.CH.EQUITY,0.386119310199455,0.0630158092631214,0,0,0,0,0,0,0.244605351533712,0,0,0,0,0,0,0,0,0.0386559046875656,0,0.201325821109948,0,0.00770338999966563,0.00416746325228908,0,-0.0387116731149682,0,0,0,0,-0.0942930867868283,0,0.0227714618167356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057792196094927,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.06139840579027,0,0,0,0,0,0,0,0,0.0994853652033211,0,0,0,0,-0.235320452324325,0,0,0,0,0.130884607856555,0,0,0,0,0.408357607995612,0,0,0,0,0,0.476411456381368,0,0,0,0,-0.0925105187172828,0,0,0.10410378422345,0
X600926.CH.EQUITY,0,0.236305747077283,0,0,0,0,0.312138916306013,0,0.19084437620292,0,0,0,0,0,0.0687057403798065,0.119394843918604,0,0.125451808483068,0,0,0,0,0,0,-0.0906129809053599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.186674088792509,0,-0.0819516212109743,0
X601009.CH.EQUITY,0,0.00590426853410474,0,0,0,-1.38777878078145e-17,0,0.0746372335423076,0,0,0,0.0743446338265125,0,0,0.010192464429894,0,0,0.237475651007535,0,0,0.0580188715261872,0,0,0,0,0,0,0,0,0,0,0.101327494105983,0,0.0738773067728406,0,0,0,0,0,0,0.321091516447429,0,0,0,0,0,0,0.135348051725563,0,0,0,0
X601166.CH.EQUITY,0.0126614528464477,0,0.00494053311912829,0,-4.33680868994202e-19,0.358639818614377,0,0,0,0,0,0.0305618649616673,0,0,0,0.030076919830791,0,0,0,0,0,0,0,0,0,0.0850445997780613,0,0,0,0,0,0,0,0,0.33473555655472,0,0,0,0,0,0.080795671960055,0,0,0,0,0,0,0,0,0,0,0
