,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,4.33680868994202e-19,0,0,0,0.126708593252416,0.112193957334484,0,0,0.493400637776147,0,0,0,0,0,0.270710335485716,0,-0.184233062025235,0,0,0,0,0,0,0,0,0,0,0.0688321196489132,0,0,0,0,0.0509969222251192,0,0,0,0,0,0,0,0,0,0,0.0635444127362271,0,0,0,0,0,0.0666804091209993,0
X002142.CH.EQUITY,0,0,0.156152524985357,0,0,0,0,0,0.0595080096394231,0,0,0,0,0,0.249300953918579,0,0,0,0,0,0,0,0,0,0,0,0,0.200179363441463,0,0.481584096747775,0,0,-0.299816509851331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105715989058371,-0.176815688532015,0
X600000.CH.EQUITY,0.030125733231976,0.159274659192101,0,0,0,0.17087232186755,0.00698546460963075,0,0.0889575460915065,0,0,0,0,0,0,0,0,0,0,0,0,0.244319532052379,0.0777865639533836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512819399755823,0,0.156195519178341,0,0,0,0,0.0202456592280308,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.0395989287034582,0,0,0,0,0,0,0,0,0.305777738201725,0,-0.0161922400935584,0,0,0,0.242452367787137,0,0,0,0.0688418664642571,0,0.0557105168534372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217119264274901,0,0,0.0218055853399381,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0672466301081311,0,0,0,0,0.219145703514737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0676943139151466,0,0,0,0,0,0,0,0,0,0,0,0.240372298907854,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.69883021435322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118505379723446,0.0444208055361334,0.0199220880853736,0,0,0.0168244501704401,0,0,4.33680868994202e-19,0,0,0.252185768618581,0,0,0,0,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0.173625716879116,0,0,0,0,0,0,0.13475862547999,0,0,0,0,0,0.406546508217638,0,0.0867326155406759,0,0,0.0121508342875407,0,0.14027140219516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228809803494813,0.0428299193140534,0
X600926.CH.EQUITY,0.0737572339509311,0,0.021247574907483,0.00593045531047023,0,0,0.202015602545602,0,0.110127778664789,0.032396993534358,0,0,0,0,0,0,0,0,0,0,0,0,0.263692869297214,0,0,-0.225307015955719,0,0,0,0,0,-0.139422003394344,0,0,0.255843089938275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164489148338057,0.0774649141261016
X601009.CH.EQUITY,-0.170733879475037,0,0,0,-0.217394123801384,0,0,0.418747294419504,0,0,0,0,0,0,-0.0243758108467361,0.06382964592623,0,0,0,0,0,0,0,0.179701710476448,0,0,-0.318331018376542,0,0,0,0,0,0,-0.156810192002872,0,0,0,0,0,0,0,0,0,-0.0988328275748691,0,0,0.379390586189526,0,0,0.691734119048389,0.171740188945643,-0.282970861978688
X601166.CH.EQUITY,0.44254576717813,0,0,0,0,0,0,0,0.214876285759508,0,0,0,0,0,0,0,0,0,0,0.0359351858806891,0,0,0.0398406407644597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0596575634105464,0.425240793238392,0.0779489632783459,-0.0128010784252772
