,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.15271139727984,0,0.0689015086413143,0,0,0,0.0517549839569971,0,0,0,0,0,0,0.0385768355381543,0,0,0,0,0,0,0.0310281886913402,0,0,0,0,0,0,0,0,0,0,0.16320957399757,0,0,0,0,0.211241818425734,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.232889536980784,0,0,0,0,0.024099822909206,0,0,0,0,0,0,0,0.115364169422991,0.0015088193085075,0,0.0565795943435486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309467707743046,0,0.0371188849760107,0,0.0428012457965444,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0881856419528397,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.0684728489598891,0,0.0244485886161863,0,0.175777453603742,0.0330940925618227,0,0.362860326308321,0,0,0,0,0.0826704637435899,0,0,0,-0.217444590401865,0,0,0,-0.0231349896244923,0,0,0,0,0,0,0,0,0,0,0,0,0.232364707044917,0,0,0,0,0,0,0,0.102158752240186,0,0,0
X600015.CH.EQUITY,0.0621893227391157,0,-0.25768401751567,0,0,0.00721070040275802,0,0,0,0,0,0,0.237696730360126,-1.73472347597681e-18,0,0.729296477043903,0,0,0,0,0,0,0,0,0.0225670226423091,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0.00611827809855855,0,0,0,0,0.0249479750235172,0,0,0,0,0,0,0,-0.342689002783011
X600016.CH.EQUITY,0.0408481676092104,0.0979305546905823,0.0627254787745548,0.222807244358941,0,0,0,0,0,0,0.358654800066286,0,0.0549365864776869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248253662158228,0,-0.0191178131649918
X600036.CH.EQUITY,0,0.223889467479861,0,0.285289977766726,0,0,-0.0588424549207701,-0.127550941282093,0,0,0.438566641084963,0,0.0320054932340608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810657896263063,0.234684648452896,0,0,0,0,0,0,0,0,0,0.0475412133357501,0,0.104723226287044,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.103013332176763,0.00559973436228634,0.262654884794865,0,0,0,0,0,0,0.263136155299974,0.164955675321714,0.0789672283928742,0,0,0,0,0,0.03864219592974,0,0,0,0,0,0,-0.0598893001142564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00696518200787551,0,0,0,0,0,0,0,0,0,0,0.0616899638496877,0
X601169.CH.EQUITY,0,0,0,0,0,0,0.0295040389343631,0,0.253472768937181,0.0247635790409029,0.0867298667901273,0,0,0,0,0.283774316922997,0,0,0,0,0,0,0,0,0,0.0923095538147203,0,0,0,0,0,0,0.0454142025645609,0.0445994611506856,0,0.0672606289903435,0,0.0132236742181667,0,0,0,0,0.0536740934775395,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.187316787444431,0.0901431573282059,0,0,0.034072038175867,0,0,0,0,0,0.40631903055356,0,0,0,0,0,0,0,0,0,0.0591146452736021,0,0.0701661897591441,0,0,0.0848680747196317,0,0,0,0,0,0,0,0.0682121442798457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16011266403001
X601288.CH.EQUITY,0,0,0,0,0,0,0.940958964635377,0,0,0,0,0,0,0,0,0,-0.1188839030676,0,0,0,0,0,0,0.0529197635630998,0,0.0519889375134947,0,0,0,0,0,0,0,-0.396774838941482,0,-0.0366849058348771,0,0,0,0,0,0,0,0,0.190992669308214,0,-0.30681769247179,0,0,0,0
