,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.179017683423057,-1.38777878078145e-17,0,0,0.0854608038019047,0.231108064694554,0,0,0,0,0,0,0,0.0353391641383963,0.2099638819923,0,0,0,0,0,0,0.095675694378685,0.00349002388337019,0,0,0,0,0,0.07859393307358,0.0319719094287577,0.096616156592981,0.012687030493846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,5.42101086242752e-20,0,0,0,0,0.726637754365616,0,0,0,0,0,0,0,0,0,0,0.0304923763739215,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295783756407038,0,0,0,0.0067359752077567,0,-0.154804819634319,0,0,-0.0522938649713913,0,0,0,0,0,0,0,-0.0574161007914282,0,0,-0.0591123150383017,0
X600000.CH.EQUITY,0.0311382734325266,0,0,0.208392464740464,0,0,0.153198609708155,0,0.0527871245937067,0,0.32426107052629,0,0,0,0,0,0,0,0,0,0.133436143700716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137043915265409,0,0,0,0,0,0,0,0,0,0,0,0,0.00697946958637633,0
X600015.CH.EQUITY,0,0,0.316346401076719,0,0.0107545445583082,0,0,0.249440016484637,0,0,0,0,0,0,0.101657706112256,0.227524417137504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330578155182604,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0.14418890308633,0,0,0,0,0.257957902243225,0.103653433680427,0,0.0888021058782116,0,0.0552964699151735,0.0953773145858892,0.0651390277329494,0,0,0,0,0,0,0,0,0,0,0,0,0.0967672863926852,0,0,0,0,0,0,0,0,0,0.0220384568993347,0,0,0,0,0,0,0,0,0.0831922791470824,0,0,0,0,0
X600036.CH.EQUITY,0.166832843304878,0,0,0.0241657513831931,0,0,0.267543576601326,0,0,0,0,0,0.161331933983337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482798063058699,0,0,0,0,0,0,0,0,0.117636210041392,0,0,0,0.0358544196269164,0,0,0.150334972627419,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,-0.0215169283229746,0,0,0,0.373553831242678,0,0.00952381710815052,0,0,0,0,0.504593102187211,0.284626495742733,0,0,-0.0682675556406148,0,0,0,0,0,0.0623947004789276,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182643553031932,0,0,0,0.0124566936613484,-0.0946339560493751,0,0,0,0.0788993268565999,0,0,0,0,0,0
X601169.CH.EQUITY,1.38777878078145e-17,0,0,0.392407226848971,0,1.0842021724855e-19,0,0,0,0,0.181477169847899,0,0.0390274978343565,0,0,0,0,0,0,0.0453194192898724,0,0.0821664447149714,0,0,0.0120804422909759,0,0,0,0,0,0,0,0.203898829015575,0.055842583060001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.0858845989501536,0.266077648375406,0,0,0,0,0,0,0.270102005732456,0,0,0,0.114544510773776,0,0,0.0239472124778708,0,0,0,0,0,0,0,0,0,0,0,0.129706433839291,0,0,0,0,0,0,0,0,0,0,0.100970502687457,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,8.67361737988404e-19,0,0,0,0,0,0.0262285604264627,0,0,0,0,0.249557614837471,0,0.178337384575652,0.448152672556255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485385448431408,0,0,0,0,0,0,0.0160415256130574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0517649231737954
X601328.CH.EQUITY,0,0,0.433862903174625,0,0.175719871162149,0,0,0.0407232666445168,0,0.00838475489113637,0,0,0,0.0783810472451126,0,0.133698679951411,0,0,0.028243710175422,0,0,0,0,0,0,0,0,0,0,0.0631990004217163,0,0,0,0,0,0,0,0.0199864837921187,0.0278044423750151,0,0,0,0,0,0,0.00786829812745654,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0.178332597340955,0,0,0,0.0572655609040169,1.38777878078145e-17,0,0.104096463657353,6.93889390390723e-18,0.13971533281353,0.0119710577472473,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133059183710675,0,0,0,0,0.351063540078629,0,0,0,0.000612756514557625,0,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0.0502344314740283,0.466839219019007,0,0,0,0,0,0,0,0,0.39078799885042,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.0174366042594234,0,0,0,0,0,0,0,0,0,0,0,0.0275211132581867,0,0,-0.00583341214279716,0,0,0,0,0,0,0,0.0229914325280955,-0.0655802483955121,0.0428797422149477,0
X601939.CH.EQUITY,0,0.201759322982198,0.415756486441975,0,0,0,0,6.93889390390723e-18,0.0188581358720912,0,0,0.255393909518133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102965591870946,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.219894183065955,0,0,0,0.220415274096038,0,0,0.13680440392173,0,0,0.107826257202447,0,0,0,0,0,0,0.0739994066159034,0,0,0,0,0,0,0,0,0,0,0.103739058220479,0,0.0591485634034693,0,0,3.46944695195361e-18,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0.168474175752906,0.282544046133721,0.210626769228285,-0.0810102059133752,0,0,0,0,0,0,0.162990636475837,0,0.0625232299275193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188106747806805,0,0,0,0,0,0,0.0971802338632005,-0.0569122941832046,0,0,0,0,0,0,0,-0.11349321716942,0,0,0.0536517129962088
X601658.CH.Equity,0,0,0,0.377731046173159,0,-0.170769439290426,0,0,0.783510903551048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,-0.274239208950956,0,0.219852919883693,0,0.0983447714575335,0,-0.148024899176932,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,-0.0144168385596918,0,0,0,0,0,0,0,0,0,0,-0.0934350308870659,0,0,0,-0.0451269326053816,0,0.471606986041765,0,0,0,0,0,0,0,0.135537152590848,0,0,0.0434139624826064,0,0,0,0,0,0.234095389244748,-0.0191940950867946,0,0,0,0,0,0,0.136880381637512,0.0654650910370605,0.0935285549060719,0,0,0,0,0,-0.0253822332841775
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.168582537253296,0,0,0,0,0,0,0.259649314346025,0,0,0.0351996313690637,0,0,0,0,0,0,0,0,0.0564414796568026,0,0,0,0,0,0,0,0.149887943620369,0,0,0,0,0,0,0,0.130254153951749,0,0.167834856040612,0,0,0,0
X5.HK.EQUITY,0,0.0242517822289988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747663753286522,0,-0.0595355617523499,0,0,0,0,0,0.190480962391596,0,0,0,0,0,0,0,0,0.111001434351504,0,-0.0466180967314925,0.122009062196789,0,0,0,0,0.106343502062616,0,0,0,0,0.0923893188277255,-1.0842021724855e-19,0,0
X000166.CH.EQUITY,0,0,0.00214101064460581,0,0,0,0,0,0,0,0,0,0.0636263504908702,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0897773085778121,0.217060289237076,0.0825817854663269,0.37979934949603,0.196629289476631,0,0,0,0,0,0.000574625347888306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00464658134438875
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112505931463063,0,0,0.0222283771533361,0,0,0.10365237110903,0.491143982987579,0.311973234612703,0,0,0.0491015124733257,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.025418557905588,0.0632225864237857,0,0,0,0,0,0,0,0,0,-0.0254129235847299,0.0100928977203023
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0241872342940862,0,0,0,0,0,0,0,0,0,0.232388817436266,0.387740059020752,0,0,0.410140055918373,0,0,0.042618181544229,0,0,0.0117649779731903,0,0,0,0,0,0,0,0,0,0,-0.322700757890113,0,0,0,0,0,0,0,0,0.0450173383786921,0,-0.0381489326418892
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207369189454268,0.0668333639115982,0,0,0,0,0,0.359469451246896,0.194650120435659,0,0,0,0.0415735768512969,0,0,0,0,0,0,0,0,0,0.00128230263511035,0,0,0.0244626628275747,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948171034455413,0.270467709240451,0.0260187143344612,0,0,0,0,0.324529254161416,0.143014007297789,0,0,0,0,0,0,0,0,0,0,0.097073079768848,0,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.123062978001405,0.160437247337193,0,0,0.348563734106165,0,0,0.107493974664164,0,0,0,0,0.13668789537228,0,0,0,0,0,0,0,0.0160308029037266,0,0,0,3.46944695195361e-18,0,0,0,0,0.014502627769724,0,0
X601066.CH.EQUITY,-0.0385774872357233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0600014015497545,0,0,0.0592931946176886,0.153532362033105,0.336021110198152,0.0417161814134281,0.157704743533143,0,0.102034285526972,0,0,0.176966339065224,0,0,0,0,0,0.133954515663908,0,0,0,0,0,0,0.162221674363044,0,0,0,0,0,0,0,0,-0.241615745549471,-0.054181726266618
X601211.CH.EQUITY,0,0,0.0365203902227965,0,0.263856307525739,0,0,0.154148029303445,0,0,0,0,0,0,0,0,0.0223022497063707,0,0,0,0,0,0.108771684174371,0.0724378354169916,0.13337713804644,0.221824283408054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,6.93889390390723e-18,0,0.078711357499198,0,0,0,0.145083433586465,0,0,0,0,0,0,0,0,0,0,0,0.0798314857162134,0.249808835546969,0,0.162344678636961,0,0,0,0.132174119613529,0,0,0,0,0,0,0,0,0,0,0,0,0.0284700005376676,0,0,0,0,0,0,0,0.0230376418749992,0,0,0
X388.HK.EQUITY,0.121792316757344,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.239722710091002,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.104262120659082,0.160285099035449,0,0,0,0.0867071788041712,0.0373959825662542,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0
X601318.CH.EQUITY,0.290886842971487,0.0498102980047421,0,0,0,0,0,0,0,0,0,0.169283276519319,0.0503344318148492,0,0,0,0,0,0,0,0,0,0,0.139863544432788,0,0,0,0,0,0,0,0,0,0,0.191027346927364,0,0,0,0,0,-0.0660955173551545,0,0,0,0,0.0171382043636946,0,0,0,0.157772620789042,0,0.0893552400112397
X601319.CH.EQUITY,0.0717121301169913,-0.0660846572539901,0,0.0236232820144179,0,0,0,0.0415543535961482,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.263986226513328,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.507571186381081,0,0,0,0,0,0.0917081890006135,0,0,0,0,0,0,-0.0811347942535142,0,0,-0.0837302169781321,0,0,0.172059592138874
X601336.CH.EQUITY,0.18524733590945,0.0452905654695732,0,0.15421981821394,0.0386558709351836,0,0,0,0.0843818993790948,0,0.15313480551804,0,0,0,0,0.0302658842261589,0,0,0,0,0,0.11663627407044,0,0,0,0.0908066886910885,0,0,0,0,0,0,0,0.0117962408078898,0,0,0,0,0,0.0166054136255651,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0.0752318462071854,0,0,0.209427800264789,0,0,0.176774458946606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209595193357397,0,0.0575379205426519,0,0,0.0412929532187345,0,0.159446802924926,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.104616814040924,0,0,0,0,0,0,0,0,0,0.406733459099095,0.013071515726841,0,0,0,0,-0.113729179638734,0,0,0,0,0,0,0,0,-0.0390693667328977,0,0.269138626887418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124541782376134,0.112667532080372,-0.0283919233057833,0,0.00935266339213221
X1299.HK.EQUITY,8.67361737988404e-19,0,0,0,0,0,0.119853788972484,0,0,0,0,0,0,0,0,0,0,0.278535954330223,0,0,0,0,0,0,0,0,0,0,0,0.141535113714487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00847328674214207,0,0.0933506048635594,0,0,0
X2881.TT.EQUITY,0,0.182381242678633,0,0,0,0,0,0,0,0,0,0,0,0.148308722134552,0,0,0,0,0.104263439208299,0,0,0,0,0,0,0,0,0,0,0.0114696857242558,0,0,0,0,0,0.0668460436227429,0,0.152009405739876,0,0,0.0713062804277863,0,0,0,0,0,0,0,0.13683710642031,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0.0719620230667272,0,0,0,0.00812790783042458,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.163353952787937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373661889348019,0,0,0,0.0403258169281004,0,0,0,0,0,0,0,0.326765776604336,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0498407494981058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150192065261611,0.563349209910774,0,0,0,0,0,0.145968910776704,0,0,0,0,0
X001979.CH.EQUITY,0,-0.0272584580900002,0,0.457201471245168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0916790273502258,0,0,0,0,0,0.0446650262049518,0,0,0,0,0,0,0.0905208062392035,0,0.0993742738733235,0,0,0,0,0,0.160513020256253,0,0,0,0,0.021689099103363
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0.203714176185203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101690079975142,0,0.292495677422477,0.089106684284868,0,0,0,0,0,0.0535554083695775,0,0,0.11281525889223,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.271114057599795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161467075058913,0,0,0,0,0,0,0.0715484661817018,0,0,0,0,0,0.606101109078754,0,0,0,0,0
X1113.HK.EQUITY,0,0.0813747660363689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.0794151562080144,0,0,-0.151546293960327,0,0,0.0513589603779581,0,0,0,0,0,0,0,0.0109995356609208,0.203443436684947,0.131377032008402,0,0,0,0,0.452415926296855,0,0.140241548658262,0,0,0,6.93889390390723e-18,0.00736838629007546,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2458273789946,0,0,0,0,-0.027713040102148,0,0,0,-0.00958498301671722,0,0,0,0,0,0,0,0,0,0,0.0558658082747905,0,0,0,0,0.157292861576366,0,0.458877131195465,0.0185427532523351,0.0661908148574198,0,0,0,0,0
