,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.485641657709414,0,0,0,0,0.0174551685068022,0,0.0614671921908717,0,0.0624734738539722,0,0,0,-0.0855517920761042,0,0,0,0,0,0,0.00841397903061967,0,0,0,0,0,0,0,0,0,0,0,0.0712561242390136,0,0,0.142508681340687,0,0,0.197115681752851,0,0,0,0,0,0,0,0,0,0.0124794388802633,0.13700883273032,0
X002142.CH.EQUITY,0.181950478733426,0,0,0,0,0.27501109840799,0,0.210709631830298,0.0881251999154719,0,0,0,0,0,0,0,0,0,0,0,0,0.0240312877130493,0.045093644667963,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.148996977745771,0,0,0,-4.33680868994202e-19,0,0,-0.158330560961119,0,0,0,0,0.137552046814141,0.00909302429175671,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.195575617758142,0,0,0,0,0,0,0.687708057576333,0,0.00953808765608791,0.0182604089507654,-0.0460822977368598,0.137436822540609,0,0,0,0,0,0,0,0,0,0.0277672661048832,0,-0.122146545804898,0.0204696197052685,0,0,0,0,0.0187580928942207,0.0994164911320023,0,0,0.144283881446071,0,0,0,0,0,0,0,0.0219072342246686
X600015.CH.EQUITY,0,0,0,0,0.0656190493931559,0,0,0.12228080126477,0.0759078063090172,0,0,0,0,0,0,0,0.424964104720045,0.13789067964721,0,0,0.00853030784177636,0,0,0,0,0.00728206339913039,0,0,0,0,0,-0.119112075848318,-0.149593381663618,0,0,0,0,0,0.483344669518284,0,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0.101910401539471,0,0,0,0,0,0,0.225804628006985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286474604393303,0.0892285198726053,0,0,-0.134531035689074,0.191849743798259,0,0,0,0,0,-0.217818281735933,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.393898738480325,0,0,0,0,0,0,0,0,0,0,0,0.0836389074823742,0,0,0,0,0.224905134140336,0,-0.231808942380523,0,0.0961261297039015,0,0,0.108132853811043,0,0,0,0,0,0,0.0211600145956632,0,0,0,0,0,0,0.254820614468535,0,0,0,0.256557585635454,0.0488747743971289,0,0,0,0,-0.0204735916666622,0,0
X600919.CH.EQUITY,0.379333195245119,0,0,0,0,0,0,0.215632574000741,0,0,0.0769670374217991,0.0103857543957343,0,0,0,0,0,0.064802621528617,0,0,0.0139283824038964,0,0,0.37273495375247,0,0,0.299727352163679,0,0,0,0,0,0,-0.109175029919215,0,0,0,0,0,-1.73472347597681e-18,0,-0.082567906720516,0,0,0,0,0,0.0239288693350622,0,0,0,0
X600926.CH.EQUITY,0,0.0951653099284072,0,0,0,0,0,0,-0.125845639638036,0,0,0,0,0,0,0,0,0.699734547283953,0,0,0,-0.0251419337229838,0,0.00590048474726608,0,0,0,0,-0.154888739020751,0,0,0,0,-0.0462736577193066,0,0,0,0,-0.0529283812634542,0,0,0,0,0,0.241292723439148,0,0,-0.0519858438170291,0,0,1.73472347597681e-18,0.0842210630314552
X601009.CH.EQUITY,0.0777703969320052,0.0474907915758444,0,0.0924341700582961,0,0,0,0,0,0,0,0.0273142196947546,-0.0776459413910632,0,0,0.112092367396388,0,0,0,0.00324336656403054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00770491619984172,0.307361810128009,0,0,0,0,0.0275267406778545,0,0,0,0,0,0
X601166.CH.EQUITY,0.158669560772635,0.135981686824154,0.138531528078807,0,0,0.272451671195638,0,0,0,0,0,0.101374577653543,0,0,0,0,0,0,0,0,0,0,0,0.0080817012839798,0,-0.0845224774679576,0,0,0,-0.0807355791621203,0,0,0.221392551112491,-0.0368120303128837,0.0867072358649262,0,0,0,0,0.21966234527125,0,0,0,0,-0.0350568170545798,0,-0.158556691253378,0,0,0,-0.108183011715657,0
X601169.CH.EQUITY,0.0279930425078366,0,0,0,0,0,0.328896111549574,-0.109126535194124,0,0.0932140774879352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786380717566016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44982837009606,0.00365810610111245,0.0348787764495326,0,0,-0.125163221234005,0,0,-0.0429872311294379,0,0,0
X601229.CH.EQUITY,0,0,0,0.175352094267302,0,0,0.0816727068316721,0,0.115422266692633,0,-0.0358551955067107,0,0,-0.159662451901882,0.639459585448219,0,-0.00862672118903738,0,-0.0767241243069313,0.14529315189151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0805998820599702,0.0736580266784762,0.308076100352286,0,0,0,0,0,0,0,0,0,0,0,0,0.0980954446592208,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.0729374410494565,0,0,0,0,0,0,0,0,0.142975003563775,0,0,0,0,0,0.0660309118415325,0,0,0.100668415480921,0,0,0,0,0,0,0,0,0,0.0613388938282737,0,0,0,0,-1.73472347597681e-18,0,0,0.166871951349498,0,0,0,0,0,0,0,0,0.00610698980885759
X601328.CH.EQUITY,0,0,0,0,0.0895099059020334,0,0,0,0,0.123235048966448,0,0,0,0,0,0.24052036237932,0,0.0245476948521083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225564909459511,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,-0.0832377780351051,0,-0.116418590231467,0,0,0,0,0.285847465509988,0,0,0,0.911700461474568,0,0,0,0,0,0,0,-0.0300143267948808,0.041486095803894,0,0,0,0,0.21615233317032,-0.0250291330357468,-0.00527506643241612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.500260501300898,0,0,0,0,0,-0.242840129782559,0,-3.46944695195361e-18
X601577.CH.EQUITY,0,0,0,0,0.164241185983691,0,0,0.411031177254056,0,0,0,0,0.00334541468827436,0.0151102525037987,0.53878987744186,0,0,0.0949404857172898,0,0.00336930734515239,0,0,0.0522484136943733,0,0,0,0,0,0,0.0733622809436001,0.103940454842665,0,0,0,-0.121254780095486,0,0,0,0,0,0,0,0,0,0.151886930893334,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,1.11667232804373,0,0,0,0,0,0,0,0,0,0,0,0.00789386618157699,-0.122686920932826,0,-0.0203948055609302,0,0,0,0,0,0,0,0,-0.00023837398710071,0,0,0,-0.199215279036894,0.0371196045558206,0,0,0,0,0,0,0.0608205067852186,0,0,0,0,0,0,0,0,0,0,0,0,-0.0200162967511764
X601838.CH.EQUITY,0,0,0,0.0345367328792069,0,0.0945951636475932,0.345193201922683,0.140604328561856,0,0,0,0.00799194103060742,0,0,0.0263353509707447,0.091118584600109,0,0,0.344144033864135,0,0,0.0840063685494785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034840503782041,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.0662397534776309,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0171199784891635,0.176721012372135,0,0,0,-0.112281139886048,0.0399039302571449,0,0.0629770344717186,0,0,0,0,0.0216508156212148,0,0,0,0,0,0,0,0,0,0,0,-0.128578757423001,-0.0389322981419988,0.160425946184299,0,0,0,-0.304791573195353,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201110808028891,0,0,0,0,0,0,0,0.0836965124661013,0,0,0.186283096017658,0.016095910920061,0,0,0,0,0,0,-0.146270649064655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0.20390120741251,0,0,0.12351115487767,0,0,0,0.0550963413594399,0,0,0,0,0,0,0,0,0,0,0,0,0.0485952650063271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237520568336578,0,0,0,0,0,0,0,0.0510103683878107,0,-0.164525574842908,-0.174378457669369
