,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0,0,0,0,0.345508556145532,0,0,0,0.00525777771204883,0,0,-0.106437201659916,0,0,0,0,0,0,0,0,0,0.0364572280674073,0,0,0,0,0.0721158466550647,0,0,0,0,0,0,0,0,0,0,0,-0.147810906836829,0,0.0592945432401595,0,0.229414420261092,0,0.0308633188688822,0,0,0,0,0.210544258907493,0.057754341565967
X002142.CH.EQUITY,0.111617347687829,0,0,0,0,0.272709452152604,0,0.0316809205670337,0,0,0,0,0,0,0,0.0618820539795311,0,0,0,0,0.0389514300900835,0,0.223296245534715,0,0,0,0,0,0,-0.0319571190565013,0.127931108454732,0,0,0,0,0,0,-0.063558245244672,0.0892655441967604,-0.0348380736686833,0,0,0.176348799775279,0,0,0,0,0,0,0,0.0406759126853438,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103247531362471,0,0,0.729537740992963,0,0,0,3.46944695195361e-18,0,-0.0758506528063012,0,0,0,0,0,0,-0.154137545106918,0,0,-0.0753762125686205,0,0,0,0.126219713259887,0,0,0,0,0.0151145566448634,0,0,0.190579373964703,0.120512912985861,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.180936950816786,0,0,0,0.54300487649358,0,0,0,0,0.120491773811755,0,0.153924290380073,0,0,0.0982167393594684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603464850919578,0,0,0,0,-0.24026717306812,0,0,0,0,0,0.0838497901177289,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.120320183670966,0.27825858979694,0,0,0.149725035086791,0,0.239163463804119,0,0.0521166850144036,0,0.0477178299601319,0,0,0.170227362115231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689318009940993,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.472646318994579,0,0,0,0,0,3.46944695195361e-18,0.290720605774014,0.0493688432738486,0,0,0,0,0,0.104055816611198,0,0,0,0,-3.46944695195361e-18,0.0106605009698934,0,0,0.0224912117672049,0.0293329464234195,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0
X600919.CH.EQUITY,0.0522654857522539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508629034137846,0,0,0.103029551590096,0,0,0,0,0,0,0.230333204958527,0,0,0,0,0,0,0,0.0992579074463176,0,0,0,0.277017133420793,0,0,0,0,0,0.146242500455047,0,0,0,0,0,0.238532546072275,-0.0901557111400377,0
X600926.CH.EQUITY,0.0439491286650472,0.0903021437677295,0,0,0,0,0.429880637952298,0,0.187080315171028,0,0,0,0,0,0.186643536990101,0.0769214676360124,0,0.112524427549193,0,0,0,0,0,0,-0.053322848801142,0,0,0.038586688437464,0,0,0,0,0,0,0,0,0,0,0,0,-0.0850777604972591,0,0,0,0,0,-0.00395388263578652,0,-0.107610665803493,0,0,0
X601009.CH.EQUITY,0,0,0,0,0,0.0413104479139971,0,0,0,0,0,0.00512984979306351,0,0,0.0350966830622047,0,0,0.18666902267746,0,0,0.260075792926804,0.0176889037004801,0.0147059229853655,0,0,0,0,0,0,0,0,0.0400456463965809,0,0,0.0438886457598422,0,0.0522506035278825,0,0,0.106301877674271,0,0.171141570620942,0,0.0997085063576012,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.020184357980076,0,0,0.175896775308516,0,0,0,0,0,0.028767936888415,0,0,0,0,0,0.0249491129349291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170634549990783,0.0455234186785303,0.138907106579373,0,0,0,0,0,0.168967359620299,0,0.0224352299252661,0.0611185369657281,0,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0.461988113888436,0,0.195520623085143,0,0,0.00465602547094785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576492244133092,0.0158607649338208,0,0,-0.00417872693286793,0,0,0,0.0262076865368469,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0225318775233013,0,-0.226190975049145,0,0,-0.0715364145431387,0,0,-0.211555825288983
X601229.CH.EQUITY,0.0187491244519823,0,0,0.395279455630647,0.176878831530697,0,0,0,0.023500902672104,0,0.354492777487145,0,0,0,0,0.26590142652915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00488033584358328,0
X601288.CH.EQUITY,-0.148707072110929,0,0,0,0,0,0,0,0.143836374605067,0,0,0,0,0,0.60029615904999,0,0,0,0,0.0275323530630884,0,0,0.0826891106966756,-0.08836767890765,0.225765116605483,0,0,0,0,0,0,0,-0.108001406711414,-8.67361737988404e-19,0.0579198478361415,0,0,0,0,0.0366431421680773,0,0,0,0,0,0,0,0,0,0,-0.0489326575870878,-0.0511567719252481
X601328.CH.EQUITY,0,0,0,0,0.231502581857504,0,0,0,0,0.0985306290995529,0,0,0,0,0.0449234681532135,0.0830188198166763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112942217702482
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.056238030808461,0,0,0,0.0654268512579806,0.21442145781942,0,0,0.181381195208558,0,0.261887882132843,0.0540760883505636,0.110771635357846,0,0.0428822163131409,0,0,0,0,0,0,0,-0.0737366390432492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0859411061994327,0,0,0,-0.0343363562450114,0
