,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.131297347816415,0.0312799985481127,0,0,0.15259806734353,0,0.156476016938494,0,0.0172816775230667,0,0.0365669068112448,0,0,0,0,0.11598818748999,0,0,0,0,0.164773189041901,0.0457106985435178,0,0,0,0,0,0,0,0,0,0,0,0.0965831186646484,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.0771793560452519,0,0
X002142.CH.EQUITY,0.205366083904682,0,0,0,0,0,0,0,0,0.489612497943227,0,0,0,0.024822213508189,0,0,0.164983045592808,0,0,0,0.0311581212718276,0,0,0,0,0.0850008506730678,-0.309118525936917,0,0,0.101159457905383,0.0544298718364428,0,0,0,0,0,0,0,0,0,-0.00831473039940383,0,0,0,0,0,-0.036251802620573,0,0,0,0,0
X600000.CH.EQUITY,0.0794283735876529,0,0,0.0865596228122644,0,0,0,0.147271214415387,0.135910992510339,0,0.316491451289584,0,0,0,0,0,0,0.194810889323515,0,0,0,0,0,0,0,0,0,0,0,-0.065826349643037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703090999136346,0,0,0,0,0,0,-0.10366243679541
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.078932684484891,0.0826221234621993,0,0,0.35083884246856,0,0,0,0,0,0,0,0,0,0,0,0.266257880688144,0,0,0,0,0,0,0.0877387640784502,0,-0.148051865113216,0,0.0215559812338845,0,0,0,0,0,0.0749952564395691,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,-0.358952942180098,0.0031192308788723,0,0,-0.0578247098592524,0,0.124599185307988,0,0,0,0,0,0,0,0.334171780019445,0,0,0,0,0,0,0.115445035769407,0,0,0,0,0,0,0.0404993698795358,0.0214741007731807,0,0.136009346701729,0.247577094085088,0,0.117038208674085,0,0,0,0,0,-0.0411285002139959,0.249014719581107,0,-0.0646396282655783
X600036.CH.EQUITY,0.101577896990217,0.155832884061421,0,0,-0.0217033314939004,0,0,0.0165085797023446,0.0617878995188706,0,0,0,0,0,0,0,0,0,0,0,0,0.509518747482231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00484192215404305,-0.116033340349088,0,0,0,0.119347783041738,0,0,0.164032548212885,0.00973278030444737,0
X600919.CH.EQUITY,0,0,0.135174682453216,0,0,0,0,0.0907747590613638,0,0,0.0653163678809101,0,0,0,0.041171794999776,0,0,0.018157794070564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830115946034527,0.0533787309265761,0,0,0.0480670753020302,0,0,0,0,0,0,0,0,0.318630372105363,0.0107840582157218,0.0981940592059529,0.0230595075890627,0,0,0,0
X600926.CH.EQUITY,0.011858442794036,0,0,0,0,0,0,0,0.0849242729407926,0,0,0,0,0,0,0,0,0.493758462748638,0,0,0,0,0,0,-0.0282020676729422,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.134380278701548,0,0,-0.0806369628506556,0,-0.00646891627142585
X601009.CH.EQUITY,0,0,0,0.0651892145171933,0,0,0,0.287950385213637,0,0,0,0,0,0.108998811039467,0,0,0,0.0181407315349971,0,0,0,0,0,0,0.153661129599647,0,0,0,0,0,0,0,0,0,0,0,0.193501877856762,0.00443928715046614,0,0,0,0,0,0.171146619298894,0,0,-0.143911277446706,0,0,0,0,0
X601166.CH.EQUITY,0.411796438699925,0,0.0289418401771089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.203490169993666,0,0,0,0,0.0388722307355862,0,0,0,0,0,0,0.158888932103722,0,0,0,0.0946821362971302,0.142099961106684,0,0,0,0
