,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.147920740500592,0,0.0819131869628978,0,0,0,0,0,0,0,0,0.110918232466556,0,0.120259815115211,0,0,0,0,0,0.0880424676326124,0,0,0,0.0192899522048278,0,0,0,0.0237873351521203,0.09056616986858,0,0,0.0323058354583685,0.157328747842017,0,0,0,0.0222722626624044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0.0560896133040494,0.183409107169897,0,0,-0.0666720114825124,0,0.237899050037566,0.139656584967854,0,0.0213055326629427,0,0,0,0,0,0,0,0,0,0,0,0,0.237449528040761,0,0.156886674371364,0,0,0,-0.0848744194988163,0,0,0,-0.218990529567924,0,0,0,0,0,0,0,0.150771051968547,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.228520178335267,0.169430796432776,0,0,0,0.121105196812672,0,0,0,0,0,0,0,0,0,0,-0.285392234463084,0,0,0,0,-0.0652269817785097,0,0,0,0,0,0.0754611132361168,0,0,0,0,0,0,0.310748889108053,0,0,0,0,0,0,0,0.0132929826124871,0,0,-0.0828441982327311,-0.0472883739032271
X600015.CH.EQUITY,0.251713041073906,0,-0.166802421520758,0,0,0,0,0.171304435880032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037828613892844,0,0.160063893128864,0,0,0,0,0,0,0,0,0,0.0363664281834775,0,0.206097997711135,0,0,0,0,0,0,0,0,0,0,-0.529018447537318,0
X600016.CH.EQUITY,0,0,0.0961258741252245,0.197731823466475,0,0,0,0,0,0,0,0,0.283295758240482,0,0,0.0553667137936374,0,0,0,0,0,0,0,0,0,0,0.0283805481768669,0,0,0,0,0,0,0,0,0,0.045065726919667,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270739776474821,0
X600036.CH.EQUITY,0,0,0.0484143117348495,0.197680541316673,0,0,0,0,-0.0162196126618923,0,0.459093261598055,0,0.114084051190822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772650752170455,0,0,0,0,0,0,0,-0.223320412328633,0,0,0,0,0,0,0,0,0.170321398741009,0,0,0,0,0.138546815765301
X601166.CH.EQUITY,0.0332890219660717,0,0.278695973060541,0,0,0.105092098035705,0,0,0,0.272378934275169,0,0.166410658622847,0,0,0,0,0,0.0459918740776228,0,0,0,0,0,0,0,-0.0932270757315176,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.023851129077148,0,0.105662553105207,0,0,0,0,0,0,0,0,0,0,0.0578916686833176,0,0.00499801705947394
X601169.CH.EQUITY,0,0,0,0.50041302194414,0,0,0,0,0,0.00899890726386793,0.111174464233396,0.00224805644918275,0.0691178471667916,0,0,0,0,0,0,0,-0.1689510524395,0,0,0,0,0.13906280208128,0,0,0,0,0,0,-0.236262668266257,0,0,0.252500592775944,0,0.850179899496595,0,0.201691160254374,0,0,0.0574061658278795,0,0,-0.0555691737127275,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.216724142089895,0,0.0532493337427712,0,0,0.2339464649735,0,0,0,0,0.413819986038702,0,0,0,0,0,0,0,0.0693370700965884,0,0,0,0,0,0,0,0,0,0,0,0,0.107417469256927,0,0,0,0,0,-0.00784908134001818,0,0,0,0,0,0,0,0,0,0,0,-0.0658137405514275,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.253842941656156,0,0,0,0,0,0,0,0,0,-0.0992993801608786,0,-0.0934155742327208,-1.38777878078145e-17,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.135212827284456,0,0,0.363395447027052,0,0,0,0,0,0.0168277966559051,0,0,0,-0.0908418881254596,0,0,0,0,0
